Source Name	Characteristics [organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[ecotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[ecotype]
GSE2473GSM47011	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for hyl1 and hst-15 samples.	GSE2473GSM47011 sample	GSE2473GSM47011 extract	total_RNA	GSE2473GSM47011 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 1	GSM47011.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47020	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for dcl2, dcl3, rdr1, and rdr2 samples.	GSE2473GSM47020 sample	GSE2473GSM47020 extract	total_RNA	GSE2473GSM47020 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 10	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 10	GSM47020.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47021	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for dcl2, dcl3, rdr1, and rdr2 samples.	GSE2473GSM47021 sample	GSE2473GSM47021 extract	total_RNA	GSE2473GSM47021 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 11	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 11	GSM47021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47022	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for dcl2, dcl3, rdr1, and rdr2 samples.	GSE2473GSM47022 sample	GSE2473GSM47022 extract	total_RNA	GSE2473GSM47022 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 12	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 12	GSM47022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47012	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for hyl1 and hst-15 samples.	GSE2473GSM47012 sample	GSE2473GSM47012 extract	total_RNA	GSE2473GSM47012 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 2	GSM47012.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47013	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for hyl1 and hst-15 samples.	GSE2473GSM47013 sample	GSE2473GSM47013 extract	total_RNA	GSE2473GSM47013 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 3	GSM47013.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47049	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for rdr6-15.	GSE2473GSM47049 sample	GSE2473GSM47049 extract	total_RNA	GSE2473GSM47049 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 39	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 39	GSM47049.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47050	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for rdr6-15.	GSE2473GSM47050 sample	GSE2473GSM47050 extract	total_RNA	GSE2473GSM47050 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 40	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 40	GSM47050.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47051	Arabidopsis thaliana	inflorescence	stages 1 to 12	wild type	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. Control for rdr6-15.	GSE2473GSM47051 sample	GSE2473GSM47051 extract	total_RNA	GSE2473GSM47051 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 41	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	Col-0 41	GSM47051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	wild type	Col-0
GSE2473GSM47052	Arabidopsis thaliana	inflorescence	stages 1 to 12	rdr6-15	Col-0	inflorescence stages 1 to 12:  Inflorescence stages 1 to 12.  RNA was extracted using TRIzol, purified using Qiagen RNA Midi Kit, and labeled using Ambion MessageAmp. rdr6-15 mutant allele.	GSE2473GSM47052 sample	GSE2473GSM47052 extract	total_RNA	GSE2473GSM47052 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	rdr6-15 42	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	rdr6-15 42	GSM47052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-2473-processed-data-1626361062.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2473/E-GEOD-2473.processed.1.zip	rdr6-15	Col-0
