Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4760GSM107586	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h, recover 24C 2d, and heat shock 44C 45 min:  3-d old seedlings were heat treated for 1 h at 37 degree C, recovered for 2 d at 24 degree C, and heat treated for 45 min at 44 degree C. Ecotype: Col-0 wild type; Stage: 5-d old; Tissue: whole seedling	GSE4760GSM107586 sample	GSE4760GSM107586 extract	total_RNA	GSE4760GSM107586 LE	biotin	synthetic_RNA	Wt_seedling_HS44_rep1	A-AFFY-2	Wt_seedling_HS44_rep1	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107579	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h:  5-d old seedlings were heat treated for 1 h at 37 degree C. Ecotype: Col-0; HsfA2 T-DNA knockout line (SALK_008978); Stage: 5-d old; Tissue: seedling	GSE4760GSM107579 sample	GSE4760GSM107579 extract	total_RNA	GSE4760GSM107579 LE	biotin	synthetic_RNA	HsfA2KO_seedling_HS37_rep1	A-AFFY-2	HsfA2KO_seedling_HS37_rep1	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107436	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock, control:  seedling, heat shock, control. Ecotype: Col-0 wild type; Stage: 5-d old; Tissue: whole seedling	GSE4760GSM107436 sample	GSE4760GSM107436 extract	total_RNA	GSE4760GSM107436 LE	biotin	synthetic_RNA	Wt_seedling_control_rep1	A-AFFY-2	Wt_seedling_control_rep1	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107444	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock, control:  seedling, heat shock, control. Ecotype: Col-0 HsfA2 T-DNA knockout line (SALK_008978); Stage: 5-d old; Tissue: seedling	GSE4760GSM107444 sample	GSE4760GSM107444 extract	total_RNA	GSE4760GSM107444 LE	biotin	synthetic_RNA	HsfA2KO_seedling_control_rep1	A-AFFY-2	HsfA2KO_seedling_control_rep1	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107587	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h, recover 24C 2d, and heat shock 44C 45min:  3-d old seedlings were heat treated for 1 h at 37 degree C, recovered for 2 d at 24 degree C, and heat treated for 45 min at 44 degree C. Ecotype: Col-0 wild type; Stage: 5-d old; Tissue: whole seedling	GSE4760GSM107587 sample	GSE4760GSM107587 extract	total_RNA	GSE4760GSM107587 LE	biotin	synthetic_RNA	Wt_seedling_HS44_rep2	A-AFFY-2	Wt_seedling_HS44_rep2	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107577	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h:  5-d old seedlings were heat treated for 1 h at 37 degree C. Ecotype: Col-0 wildtype; Stage: 5-d old; Tissue: seedling	GSE4760GSM107577 sample	GSE4760GSM107577 extract	total_RNA	GSE4760GSM107577 LE	biotin	synthetic_RNA	Wt_seedling_HS37_rep2	A-AFFY-2	Wt_seedling_HS37_rep2	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock, control:  seedling, heat shock, control. Ecotype: Col-0 HsfA2 T-DNA knockout line (SALK_008978); Stage: 5-d old; Tissue: seedling	GSE4760GSM107445 sample	GSE4760GSM107445 extract	total_RNA	GSE4760GSM107445 LE	biotin	synthetic_RNA	HsfA2KO_seedling_control_rep2	A-AFFY-2	HsfA2KO_seedling_control_rep2	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107580	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h:  5-d old seedlings were heat treated for 1 h at 37 degree C. Ecotype: Col-0 HsfA2 T-DNA knockout line (SALK_008978); Stage: 5-d old; Tissue: seedling	GSE4760GSM107580 sample	GSE4760GSM107580 extract	total_RNA	GSE4760GSM107580 LE	biotin	synthetic_RNA	HsfA2KO_seedling_HS37_rep2	A-AFFY-2	HsfA2KO_seedling_HS37_rep2	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107446	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock 37C 1h:  5-d old seedlings were heat treated for 1 h at 37 degree C. Ecotype: Col-0 wildtype; Stage: 5-d old; Tissue: seedling	GSE4760GSM107446 sample	GSE4760GSM107446 extract	total_RNA	GSE4760GSM107446 LE	biotin	synthetic_RNA	Wt_seedling_HS37_rep1	A-AFFY-2	Wt_seedling_HS37_rep1	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
GSE4760GSM107443	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling, heat shock, control:  seedling, heat shock, control. Ecotype: Col-0 wild type; Stage: 5-d old; Tissue: seedling	GSE4760GSM107443 sample	GSE4760GSM107443 extract	total_RNA	GSE4760GSM107443 LE	biotin	synthetic_RNA	Wt_seedling_control_rep2	A-AFFY-2	Wt_seedling_control_rep2	E-GEOD-4760-processed-data-1628191152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4760/E-GEOD-4760.processed.1.zip
