Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1429298 1	mbd11.3	mbd11 mutant_10 days old seedling	"mbd11 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 3"	Col-0	EFO	EFO_0005148	mbd11 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429298 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429298 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429298	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429298_mbd11.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429298_sample_table.txt norm	GSM1429298_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd11 mutant
GSM1429297 1	mbd11.2	mbd11 mutant_10 days old seedling	"mbd11 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 2"	Col-0	EFO	EFO_0005148	mbd11 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429297 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429297 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429297	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429297_mbd11.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429297_sample_table.txt norm	GSM1429297_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd11 mutant
GSM1429296 1	mbd11.1	mbd11 mutant_10 days old seedling	"mbd11 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 1"	Col-0	EFO	EFO_0005148	mbd11 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429296 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429296 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429296	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429296_mbd11._1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429296_sample_table.txt norm	GSM1429296_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd11 mutant
GSM1429295 1	mbd6.3	mbd6 mutant_10 days old seedling	"mbd6 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 3"	Col-0	EFO	EFO_0005148	mbd6 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429295 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429295 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429295	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429295_mbd6.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429295_sample_table.txt norm	GSM1429295_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd6 mutant
GSM1429294 1	mbd6.2	mbd6 mutant_10 days old seedling	"mbd6 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 2"	Col-0	EFO	EFO_0005148	mbd6 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429294 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429294 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429294	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429294_mbd6.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429294_sample_table.txt norm	GSM1429294_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd6 mutant
GSM1429293 1	mbd6.1	mbd6 mutant_10 days old seedling	"mbd6 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 1"	Col-0	EFO	EFO_0005148	mbd6 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429293 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429293 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429293	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429293_mbd6.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429293_sample_table.txt norm	GSM1429293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd6 mutant
GSM1429292 1	mbd4.3	mbd4 mutant_10 days old seedling	"mbd4 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 3"	Col-0	EFO	EFO_0005148	mbd4 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429292 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429292 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429292	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429292_mbd4.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429292_sample_table.txt norm	GSM1429292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd4 mutant
GSM1429291 1	mbd4.2	mbd4 mutant_10 days old seedling	"mbd4 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 2"	Col-0	EFO	EFO_0005148	mbd4 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429291 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429291 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429291	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429291_mbd4.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429291_sample_table.txt norm	GSM1429291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd4 mutant
GSM1429290 1	mbd4.1	mbd4 mutant_10 days old seedling	"mbd4 mutant of Arabidopsis thaliana 10-day-old seedling, Biological replicate 1"	Col-0	EFO	EFO_0005148	mbd4 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429290 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429290 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429290	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429290_mbd_4.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429290_sample_table.txt norm	GSM1429290_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	mbd4 mutant
GSM1429289 1	Wild 3	WT_10 days old seedling	"wild type Arabidopsis thaliana 10-day-old seedling, Biological replicate 3"	Col-0	EFO	EFO_0005148	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10 days old seedling	P-GSE59133-2	ArrayExpress	P-GSE59133-3	ArrayExpress	GSM1429289 extract 1	total RNA	P-GSE59133-4	ArrayExpress	GSM1429289 LE 1	Biotin	P-GSE59133-5	ArrayExpress	GSM1429289	A-AFFY-2	ArrayExpress	array assay	P-GSE59133-6	ArrayExpress	GSM1429289_Wild_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.raw.1.zip	P-GSE59133-1	ArrayExpress	GSM1429289_sample_table.txt norm	GSM1429289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59133/E-GEOD-59133.processed.1.zip	wild type genotype
