Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [light]
GSM766320 1	4-day-old seedlings grown under RL/LD	RL/LD treated atbzip16	RL/LD treated atbzip16, biological rep3	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766320 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766320 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766320	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766320_BH0071-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766320_sample_table.txt norm	GSM766320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766319 1	4-day-old seedlings grown under RL/LD	RL/LD treated atbzip16	RL/LD treated atbzip16, biological rep2	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766319 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766319 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766319	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766319_BH0071-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766319_sample_table.txt norm	GSM766319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766318 1	4-day-old seedlings grown under RL/LD	RL/LD treated atbzip16	RL/LD treated atbzip16, biological rep1	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766318 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766318 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766318	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766318_BH0010-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766318_sample_table.txt norm	GSM766318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766317 1	4-day-old etiolated seedlings	RL/LD treated Ler	RL/LD treated Ler, biological rep3	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766317 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766317 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766317	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766317_BH0071-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766317_sample_table.txt norm	GSM766317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766316 1	4-day-old etiolated seedlings	RL/LD treated Ler	RL/LD treated Ler, biological rep2	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766316 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766316 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766316	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766316_BH0071-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766316_sample_table.txt norm	GSM766316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766315 1	4-day-old etiolated seedlings	RL/LD treated Ler	RL/LD treated Ler, biological rep1	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766315 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766315 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766315	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766315_BH0010-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766315_sample_table.txt norm	GSM766315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	red-light and long-day (0.5 μmole m-2 sec-1)
GSM766314 1	4-day-old seedlings grown under RL/LD	etiolated atbzip16	etiolated atbzip16, biological rep3	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766314 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766314 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766314	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766314_BH0071-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766314_sample_table.txt norm	GSM766314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	dark
GSM766313 1	4-day-old seedlings grown under RL/LD	etiolated atbzip16	etiolated atbzip16, biological rep2	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766313 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766313 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766313	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766313_BH0071-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766313_sample_table.txt norm	GSM766313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	dark
GSM766312 1	4-day-old seedlings grown under RL/LD	etiolated atbzip16	etiolated atbzip16, biological rep1	4	day	seedling	Ler	EFO	EFO_0005154	atbzip16	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766312 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766312 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766312	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766312_BH0010-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766312_sample_table.txt norm	GSM766312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	atbzip16	dark
GSM766311 1	4-day-old etiolated seedlings	etiolated Ler	etiolated Ler, biological rep3	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766311 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766311 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766311	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766311_BH0071-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766311_sample_table.txt norm	GSM766311_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	dark
GSM766310 1	4-day-old etiolated seedlings	etiolated Ler	etiolated Ler, biological rep2	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766310 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766310 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766310	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766310_BH0071-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766310_sample_table.txt norm	GSM766310_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	dark
GSM766309 1	4-day-old etiolated seedlings	etiolated Ler	etiolated Ler, biological rep1	4	day	seedling	Ler	EFO	EFO_0005154	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE30910-2	ArrayExpress	P-GSE30910-3	ArrayExpress	P-GSE30910-4	ArrayExpress	GSM766309 extract 1	total RNA	P-GSE30910-5	ArrayExpress	GSM766309 LE 1	biotin	P-GSE30910-6	ArrayExpress	GSM766309	A-AFFY-2	ArrayExpress	array assay	P-GSE30910-7	ArrayExpress	GSM766309_BH0010-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.raw.1.zip	P-GSE30910-1	ArrayExpress	GSM766309_sample_table.txt norm	GSM766309_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30910/E-GEOD-30910.processed.1.zip	wild type	dark
