Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[Genotype]	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[GENOTYPE]	FactorValue[GROWTH CONDITION]
GSE17099GSM427055	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	35S::HRE1	Col-0	seedling	7	days	P-G17099-2	P-G17099-1	GSE17099GSM427055 sample	P-G17099-5	GSE17099GSM427055 extract	total_RNA	P-G17099-3	GSE17099GSM427055 LE biotin	biotin	synthetic_RNA	35S::HRE1 Aerobic Replicate No. 2	A-AFFY-2	P-AFFY-6	GSM427055.CEL	GSM427055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE1	normoxia
GSE17099GSM427797	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	Arabidopsis seedlings	35S::HRE2	Col-0	seedling	7	days	P-G17099-9	P-G17099-6	GSE17099GSM427797 sample	P-G17099-8	GSE17099GSM427797 extract	total_RNA	P-G17099-3	GSE17099GSM427797 LE biotin	biotin	synthetic_RNA	35S::HRE2 Hypoxic Replicate No. 1	A-AFFY-2	P-AFFY-6	GSM427797.cel	GSM427797.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE2	hypoxia
GSE17099GSM427795	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	35S::HRE2	Col-0	seedling	7	days	P-G17099-7	P-G17099-6	GSE17099GSM427795 sample	P-G17099-8	GSE17099GSM427795 extract	total_RNA	P-G17099-3	GSE17099GSM427795 LE biotin	biotin	synthetic_RNA	35S::HRE2 Aerobic Replicate No. 1	A-AFFY-2	P-AFFY-6	GSM427795.cel	GSM427795.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE2	normoxia
GSE17099GSM427799	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, wt; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, wt; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	wild_type	Col-0	seedling	7	days	P-G17099-10	P-G17099-6	GSE17099GSM427799 sample	P-G17099-8	GSE17099GSM427799 extract	total_RNA	P-G17099-3	GSE17099GSM427799 LE biotin	biotin	synthetic_RNA	Col-0 wt Aerobic Replicate No. 1	A-AFFY-2	P-AFFY-6	GSM427799.cel	GSM427799.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	wild_type	normoxia
GSE17099GSM427807	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	Arabidopsis seedlings	35S::HRE1	Col-0	seedling	7	days	P-G17099-12	P-G17099-6	GSE17099GSM427807 sample	P-G17099-8	GSE17099GSM427807 extract	total_RNA	P-G17099-3	GSE17099GSM427807 LE biotin	biotin	synthetic_RNA	35S::HRE1 Hypoxic Replicate No. 1	A-AFFY-2	P-AFFY-6	GSM427807.cel	GSM427807.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE1	hypoxia
GSE17099GSM427801	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	35S::HRE2	Col-0	seedling	7	days	P-G17099-10	P-G17099-6	GSE17099GSM427801 sample	P-G17099-8	GSE17099GSM427801 extract	total_RNA	P-G17099-3	GSE17099GSM427801 LE biotin	biotin	synthetic_RNA	Col-0 wt Aerobic Replicate No. 2	A-AFFY-2	P-AFFY-6	GSM427801.cel	GSM427801.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE2	normoxia
GSE17099GSM427052	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	35S::HRE1	Col-0	seedling	7	days	P-G17099-2	P-G17099-1	GSE17099GSM427052 sample	P-G17099-5	GSE17099GSM427052 extract	total_RNA	P-G17099-3	GSE17099GSM427052 LE biotin	biotin	synthetic_RNA	35S::HRE1 Aerobic Replicate No. 1	A-AFFY-2	P-AFFY-6	GSM427052.cel	GSM427052.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE1	normoxia
GSE17099GSM427796	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	growth stage: seedling; ecotype: Columbia 0, 35S::HRE2; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: untreated control	Arabidopsis seedlings	35S::HRE2	Col-0	seedling	7	days	P-G17099-7	P-G17099-6	GSE17099GSM427796 sample	P-G17099-8	GSE17099GSM427796 extract	total_RNA	P-G17099-3	GSE17099GSM427796 LE biotin	biotin	synthetic_RNA	35S::HRE2 Aerobic Replicate No. 2	A-AFFY-2	P-AFFY-6	GSM427796.cel	GSM427796.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE2	normoxia
GSE17099GSM427806	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, wt; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	growth stage: seedling; ecotype: Columbia 0, wt; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	Arabidopsis seedlings	wild_type	Col-0	seedling	7	days	P-G17099-11	P-G17099-6	GSE17099GSM427806 sample	P-G17099-8	GSE17099GSM427806 extract	total_RNA	P-G17099-3	GSE17099GSM427806 LE biotin	biotin	synthetic_RNA	Col-0 wt Hypoxic Replicate No. 2	A-AFFY-2	P-AFFY-6	GSM427806.cel	GSM427806.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	wild_type	hypoxia
GSE17099GSM427808	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings, no additional description required. growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	growth stage: seedling; ecotype: Columbia 0, 35S::HRE1; age: 7 days; germination: aerobic; growth conditions: Murashige-Skoog growth conditions, half-strength, sucrose 30 mM, 23Â°C, light/dark 12/12 photoperiod; treatment: hypoxic treatment	Arabidopsis seedlings	35S::HRE1	Col-0	seedling	7	days	P-G17099-12	P-G17099-6	GSE17099GSM427808 sample	P-G17099-8	GSE17099GSM427808 extract	total_RNA	P-G17099-3	GSE17099GSM427808 LE biotin	biotin	synthetic_RNA	35S::HRE1 Hypoxic Replicate No. 2	A-AFFY-2	P-AFFY-6	GSM427808.CEL	GSM427808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.raw.1.zip	P-G17099-4	E-GEOD-17099-processed-data-1825424049.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17099/E-GEOD-17099.processed.1.zip	35S::HRE1	hypoxia
