Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[Genotype]	Comment[genetic variation]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ECOTYPE]	FactorValue[GENOTYPE]
GSM477883 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	C24	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	C24	siliques	wild_type	  	P-GSE19259-2	GSM477883 extract 1	total RNA	P-GSE19259-3	GSM477883 LE 1	biotin	P-GSE19259-4	GSM477883	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477883.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477883_sample_table.txt norm	GSM477883_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	C24	wild_type
GSM477882 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	C24	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	C24	siliques	wild_type	 	P-GSE19259-2	GSM477882 extract 1	total RNA	P-GSE19259-3	GSM477882 LE 1	biotin	P-GSE19259-4	GSM477882	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477882.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477882_sample_table.txt norm	GSM477882_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	C24	wild_type
GSM477881 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	C24	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	C24	siliques	wild_type	 	P-GSE19259-2	GSM477881 extract 1	total RNA	P-GSE19259-3	GSM477881 LE 1	biotin	P-GSE19259-4	GSM477881	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477881.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477881_sample_table.txt norm	GSM477881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	C24	wild_type
GSM477880 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	C24	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	C24	siliques	wild_type	 	P-GSE19259-2	GSM477880 extract 1	total RNA	P-GSE19259-3	GSM477880 LE 1	biotin	P-GSE19259-4	GSM477880	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477880.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477880_sample_table.txt norm	GSM477880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	C24	wild_type
GSM477879 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	met1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Col-0	siliques	met1 mutant	T-DNA knock-out mutation	P-GSE19259-2	GSM477879 extract 1	total RNA	P-GSE19259-3	GSM477879 LE 1	biotin	P-GSE19259-4	GSM477879	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477879.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477879_sample_table.txt norm	GSM477879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Col-0	met1 mutant
GSM477878 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	met1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Col-0	siliques	met1 mutant	T-DNA knock-out mutation	P-GSE19259-2	GSM477878 extract 1	total RNA	P-GSE19259-3	GSM477878 LE 1	biotin	P-GSE19259-4	GSM477878	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477878.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477878_sample_table.txt norm	GSM477878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Col-0	met1 mutant
GSM477877 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	met1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Col-0	siliques	met1 mutant	T-DNA knock-out mutation	P-GSE19259-2	GSM477877 extract 1	total RNA	P-GSE19259-3	GSM477877 LE 1	biotin	P-GSE19259-4	GSM477877	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477877.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477877_sample_table.txt norm	GSM477877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Col-0	met1 mutant
GSM477876 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	met1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Col-0	siliques	met1 mutant	T-DNA knock-out mutation	P-GSE19259-2	GSM477876 extract 1	total RNA	P-GSE19259-3	GSM477876 LE 1	biotin	P-GSE19259-4	GSM477876	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477876.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477876_sample_table.txt norm	GSM477876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Col-0	met1 mutant
GSM477875 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	fis1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Ler-0	siliques	fis mutant	EMS-induced mutation	P-GSE19259-2	GSM477875 extract 1	total RNA	P-GSE19259-3	GSM477875 LE 1	biotin	P-GSE19259-4	GSM477875	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477875_sample_table.txt norm	GSM477875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Ler-0	fis mutant
GSM477874 1	Seeds stratified and planted in soil and let to grow till flowering. Crosses done at this stage 22C average, 22C day, 22C night 65% average, 65% day, 65% night.	fis1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after fertilization	Ler-0	siliques	fis mutant	EMS-induced mutation	P-GSE19259-2	GSM477874 extract 1	total RNA	P-GSE19259-3	GSM477874 LE 1	biotin	P-GSE19259-4	GSM477874	A-AFFY-2	P-GSE19259-5	P-GSE19259-6	GSM477874.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.raw.1.zip	P-GSE19259-1	GSM477874_sample_table.txt norm	GSM477874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19259/E-GEOD-19259.processed.1.zip	Ler-0	fis mutant
