Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM389471 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_mirNGA_2	Inflorescence_nga	Inflorescence_miR-NGA_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	35S:miR-NGA, targeting the nga1-4	P-GSE15555-2	GSM389471 extract 1	total RNA	P-GSE15555-3	GSM389471 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389471	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389471_sample_table.txt norm	GSM389471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	35S:miR-NGA, targeting the nga1-4
GSM389470 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_mirNGA_1	Inflorescence_nga	Inflorescence_miR-NGA_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	35S:miR-NGA, targeting the nga1-4	P-GSE15555-2	GSM389470 extract 1	total RNA	P-GSE15555-3	GSM389470 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389470	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389470_sample_table.txt norm	GSM389470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	35S:miR-NGA, targeting the nga1-4
GSM389469 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_Ngaquad_2	Inflorescence_nga	Inflorescence_ngaquad_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	nga1-1 nga2-1 nga3-1 nga4-1	P-GSE15555-2	GSM389469 extract 1	total RNA	P-GSE15555-3	GSM389469 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389469	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389469.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389469_sample_table.txt norm	GSM389469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	nga1-1 nga2-1 nga3-1 nga4-1
GSM389468 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_Ngaquad_1	Inflorescence_nga	Inflorescence_ngaquad_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	nga1-1 nga2-1 nga3-1 nga4-1	P-GSE15555-2	GSM389468 extract 1	total RNA	P-GSE15555-3	GSM389468 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389468	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389468_sample_table.txt norm	GSM389468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	nga1-1 nga2-1 nga3-1 nga4-1
GSM389467 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_WT_7	Inflorescence_Control	Inflorescence_wt_7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389467 extract 1	total RNA	P-GSE15555-3	GSM389467 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389467	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389467_sample_table.txt norm	GSM389467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
GSM389466 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_WT_6	Inflorescence_Control	Inflorescence_wt_6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389466 extract 1	total RNA	P-GSE15555-3	GSM389466 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389466	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389466_sample_table.txt norm	GSM389466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
GSM389465 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger.	Inf_Ler_WT_5	Inflorescence_Control	Inflorescence_wt_5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389465 extract 1	total RNA	P-GSE15555-3	GSM389465 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389465	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389465.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389465_sample_table.txt norm	GSM389465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
GSM389293 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger. Long days	Inf_Ler_WT_4	Inflorescence_Control	Inflorescence_wt_4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389293 extract 1	total RNA	P-GSE15555-3	GSM389293 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389293	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389293_sample_table.txt norm	GSM389293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
GSM389292 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger. Long days	Inf_Ler_WT_3	Inflorescence_Control	Inflorescence_wt_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389292 extract 1	total RNA	P-GSE15555-3	GSM389292 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389292	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389292_sample_table.txt norm	GSM389292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
GSM389291 1	30 DAS Ler ecotype inflorescence of flowers stages 12 and younger. Long days	Inf_Ler_WT_2	Inflorescence_Control	Inflorescence_wt_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 DAS	Ler	wild type	P-GSE15555-2	GSM389291 extract 1	total RNA	P-GSE15555-3	GSM389291 LE 1	Standard affymetrix protocol 	P-GSE15555-4	GSM389291	A-AFFY-2	  	P-GSE15555-5	P-GSE15555-6	GSM389291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.raw.1.zip	P-GSE15555-1	GSM389291_sample_table.txt norm	GSM389291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15555/E-GEOD-15555.processed.1.zip	wild type
