Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [time]	Unit [time unit]	FactorValue [treatment]
GSM991922 1	Arabidopsis_ein2_elf18_2h	67_ein2_elf18_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991922 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991922 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991922	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991922_67_ein2_elf18_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991922_sample_table.txt norm	GSM991922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	elf18
GSM991921 1	Arabidopsis_ein2_elf18_2h	66_ein2_elf18_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991921 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991921 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991921	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991921_66_ein2_elf18_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991921_sample_table.txt norm	GSM991921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	elf18
GSM991920 1	Arabidopsis_ein2_elf18_2h	65_ein2_elf18_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991920 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991920 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991920	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991920_65_ein2_elf18_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991920_sample_table.txt norm	GSM991920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	elf18
GSM991919 1	Arabidopsis_WT_elf18_2h	64_WT_elf18_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991919 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991919 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991919	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991919_64_WT_elf18_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991919_sample_table.txt norm	GSM991919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	elf18
GSM991918 1	Arabidopsis_WT_elf18_2h	63_WT_elf18_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991918 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991918 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991918	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991918_63_WT_elf18_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991918_sample_table.txt norm	GSM991918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	elf18
GSM991917 1	Arabidopsis_WT_elf18_2h	62_WT_elf18_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991917 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991917 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991917	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991917_62_WT_elf18_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991917_sample_table.txt norm	GSM991917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	elf18
GSM991916 1	Arabidopsis_bak1_pep2_10h	61_bak1_pep2_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991916 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991916 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991916	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991916_61_bak1_pep2_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991916_sample_table.txt norm	GSM991916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	10	hour	Pep2
GSM991915 1	Arabidopsis_bak1_pep2_10h	60_bak1_pep2_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991915 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991915 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991915	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991915_60_bak1_pep2_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991915_sample_table.txt norm	GSM991915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	10	hour	Pep2
GSM991914 1	Arabidopsis_bak1_pep2_10h	59_bak1_pep2_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991914 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991914 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991914	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991914_59_bak1_pep2_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991914_sample_table.txt norm	GSM991914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	10	hour	Pep2
GSM991913 1	Arabidopsis_pepr1 pepr2_pep2_10h	58_p1p2_pep2_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991913 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991913 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991913	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991913_58_p1p2_pep2_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991913_sample_table.txt norm	GSM991913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	10	hour	Pep2
