Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Characteristics [BioSourceType]	Characteristics [GeneticModification]	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [min temperature]	Parameter Value [start time]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [genotype]	Factor Value [GrowthCondition]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
AS-hyg_+C-L_rep1	7	days	Arabidopsis thaliana	wild_type	Columbia-0	seedling	frozen_sample	  	P-MEXP-55930	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	AS-hyg_+C-L_rep1	P-MEXP-1210	none	total RNA	AS-hyg_+C-L_rep1	total_RNA	P-AFFY-2	AS-hyg_+C-L_rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	AS-hyg_+C-L_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	plus carbon, minus light	AS-hyg_+C-L_rep1	010-AS-DK-1sucrose_b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
AS-hyg_-C+L_rep1	7	days	Arabidopsis thaliana	wild_type	Columbia-0	seedling	frozen_sample	  	P-MEXP-55932	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	AS-hyg_-C+L_rep1	P-MEXP-1210	none	total RNA	AS-hyg_-C+L_rep1	total_RNA	P-AFFY-2	AS-hyg_-C+L_rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	AS-hyg_-C+L_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	minus carbon, plus light	AS-hyg_-C+L_rep1	001-AS-LT-0sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
AS-hyg_-C+L_rep2	7	days	Arabidopsis thaliana	wild_type	Columbia-0	seedling	frozen_sample	  	P-MEXP-55932	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	AS-hyg_-C+L_rep2	P-MEXP-1210	none	total RNA	AS-hyg_-C+L_rep2	total_RNA	P-AFFY-2	AS-hyg_-C+L_rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	AS-hyg_-C+L_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	minus carbon, plus light	AS-hyg_-C+L_rep2	008-AS-LT-0sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
cli186_-C-L_rep2	7	days	Arabidopsis thaliana	cli186 mutant	Columbia-0/AS-hyg line	seedling	frozen_sample	induced_mutation	P-MEXP-55929	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	cli186_-C-L_rep2	P-MEXP-1210	none	total RNA	cli186_-C-L_rep2	total_RNA	P-AFFY-2	cli186_-C-L_rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	cli186_-C-L_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	cli186 mutant	minus carbon, minus light	cli186_-C-L_rep2	015-F186-DK-0sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666804.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
cli186_+C-L_rep2	7	days	Arabidopsis thaliana	cli186 mutant	Columbia-0/AS-hyg line	seedling	frozen_sample	induced_mutation	P-MEXP-55930	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	cli186_+C-L_rep2	P-MEXP-1210	none	total RNA	cli186_+C-L_rep2	total_RNA	P-AFFY-2	cli186_+C-L_rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	cli186_+C-L_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	cli186 mutant	plus carbon, minus light	cli186_+C-L_rep2	016-F186-DK-1sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
AS-hyg_+C+L_rep2	7	days	Arabidopsis thaliana	wild_type	Columbia-0	seedling	frozen_sample	  	P-MEXP-55931	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	AS-hyg_+C+L_rep2	P-MEXP-1210	none	total RNA	AS-hyg_+C+L_rep2	total_RNA	P-AFFY-2	AS-hyg_+C+L_rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	AS-hyg_+C+L_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	plus carbon, plus light	AS-hyg_+C+L_rep2	007-AS-LT-1sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	P-MEXP-2613	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
cli186_+C+L_rep1	7	days	Arabidopsis thaliana	cli186 mutant	Columbia-0/AS-hyg line	seedling	frozen_sample	induced_mutation	P-MEXP-55931	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	cli186_+C+L_rep1	P-MEXP-1210	none	total RNA	cli186_+C+L_rep1	total_RNA	P-AFFY-2	cli186_+C+L_rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	cli186_+C+L_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	cli186 mutant	plus carbon, plus light	cli186_+C+L_rep1	004-F186-LT-1sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
cli186_-C-L_rep1	7	days	Arabidopsis thaliana	cli186 mutant	Columbia-0/AS-hyg line	seedling	frozen_sample	induced_mutation	P-MEXP-55929	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	cli186_-C-L_rep1	P-MEXP-1210	none	total RNA	cli186_-C-L_rep1	total_RNA	P-AFFY-2	cli186_-C-L_rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	cli186_-C-L_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	cli186 mutant	minus carbon, minus light	cli186_-C-L_rep1	011-F186-DK-0sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666804.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
AS-hyg_-C-L_rep1	7	days	Arabidopsis thaliana	wild_type	Columbia-0	seedling	frozen_sample	  	P-MEXP-55929	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	AS-hyg_-C-L_rep1	P-MEXP-1210	none	total RNA	AS-hyg_-C-L_rep1	total_RNA	P-AFFY-2	AS-hyg_-C-L_rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	AS-hyg_-C-L_rep1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	minus carbon, minus light	AS-hyg_-C-L_rep1	009-AS-DK-0sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666804.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
cli186_+C+L_rep2	7	days	Arabidopsis thaliana	cli186 mutant	Columbia-0/AS-hyg line	seedling	frozen_sample	induced_mutation	P-MEXP-55931	P-MEXP-55928	Basal MS, +/- 1% sucrose	22	7	cli186_+C+L_rep2	P-MEXP-1210	none	total RNA	cli186_+C+L_rep2	total_RNA	P-AFFY-2	cli186_+C+L_rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v3	cli186_+C+L_rep2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	cli186 mutant	plus carbon, plus light	cli186_+C+L_rep2	005-F186-LT-1sucrose.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1112-processed-data-1590666805.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1112/E-MEXP-1112.processed.1.zip
