Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE5449GSM153873	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lej1 unopened flowers when the anthers are not yet opened.:  Gene expression data from unopened flowers of wild-type plant. LEJ1 knock-out line (lej1); Flowers with anther stage from 1 to 12	LEJ1 knock-out line (lej1); Flowers with anther stage from 1 to 12	lej1 unopened flowers when the anthers are not yet opened.	P-G5449-1	GSE5449GSM153873 sample	P-G5449-3	GSE5449GSM153873 extract	total_RNA	P-G5449-2	GSE5449GSM153873 LE biotin	biotin	synthetic_RNA	KO-B, biological rep3	A-AFFY-2	KO-B, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153864	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabiodopsis wild-type unopened flowers when the anthers are not yet opened.:  Gene expression data from unopened flowers of wild-type plant. wild-type (ecotype Col-0); Flowers with anther stage from 1 to 12	wild-type (ecotype Col-0); Flowers with anther stage from 1 to 12	Arabiodopsis wild-type unopened flowers when the anthers are not yet opened.	P-G5449-1	GSE5449GSM153864 sample	P-G5449-3	GSE5449GSM153864 extract	total_RNA	P-G5449-2	GSE5449GSM153864 LE biotin	biotin	synthetic_RNA	WT-B, biological rep2	A-AFFY-2	WT-B, biological rep2	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153875	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lej1 open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. LEJ1 knock-out line (lej1); Flowers with anther stage from 13 to 14	LEJ1 knock-out line (lej1); Flowers with anther stage from 13 to 14	lej1 open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM153875 sample	P-G5449-3	GSE5449GSM153875 extract	total_RNA	P-G5449-2	GSE5449GSM153875 LE biotin	biotin	synthetic_RNA	KO-OF, biological rep3	A-AFFY-2	KO-OF, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM124898	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lej1 open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. LEJ1 knock-out line (lej1); Flowers with anther stage from 13 to 14	LEJ1 knock-out line (lej1); Flowers with anther stage from 13 to 14	lej1 open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM124898 sample	P-G5449-3	GSE5449GSM124898 extract	total_RNA	P-G5449-2	GSE5449GSM124898 LE biotin	biotin	synthetic_RNA	KO-OF, biological rep1	A-AFFY-2	KO-OF, biological rep1	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153866	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabiodopsis wild-type open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	Arabiodopsis wild-type open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM153866 sample	P-G5449-3	GSE5449GSM153866 extract	total_RNA	P-G5449-2	GSE5449GSM153866 LE biotin	biotin	synthetic_RNA	WT-OF, biological rep2	A-AFFY-2	WT-OF, biological rep2	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153871	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEJ1-overexpressed open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. LEJ1-overexpressed Arabidopsis; Flowers with anther stage from 13 to 14	LEJ1-overexpressed Arabidopsis; Flowers with anther stage from 13 to 14	LEJ1-overexpressed open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM153871 sample	P-G5449-3	GSE5449GSM153871 extract	total_RNA	P-G5449-2	GSE5449GSM153871 LE biotin	biotin	synthetic_RNA	OE-OF, biological rep3	A-AFFY-2	OE-OF, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153869	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEJ1-overexpressed unopened flowers when the anthers are not yet opened.:  Gene expression data from unopened flowers of wild-type plant. LEJ1-overexpressed Arabidopsis; Flowers with anther stage from 1 to 12	LEJ1-overexpressed Arabidopsis; Flowers with anther stage from 1 to 12	LEJ1-overexpressed unopened flowers when the anthers are not yet opened.	P-G5449-1	GSE5449GSM153869 sample	P-G5449-3	GSE5449GSM153869 extract	total_RNA	P-G5449-2	GSE5449GSM153869 LE biotin	biotin	synthetic_RNA	OE-B, biological rep3	A-AFFY-2	OE-B, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153865	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabiodopsis wild-type unopened flowers when the anthers are not yet opened.:  Gene expression data from unopened flowers of wild-type plant. wild-type (ecotype Col-0); Flowers with anther stage from 1 to 12	wild-type (ecotype Col-0); Flowers with anther stage from 1 to 12	Arabiodopsis wild-type unopened flowers when the anthers are not yet opened.	P-G5449-1	GSE5449GSM153865 sample	P-G5449-3	GSE5449GSM153865 extract	total_RNA	P-G5449-2	GSE5449GSM153865 LE biotin	biotin	synthetic_RNA	WT-B, biological rep3	A-AFFY-2	WT-B, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM124894	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabiodopsis wild-type open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	Arabiodopsis wild-type open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM124894 sample	P-G5449-3	GSE5449GSM124894 extract	total_RNA	P-G5449-2	GSE5449GSM124894 LE biotin	biotin	synthetic_RNA	WT-OF, biological rep1	A-AFFY-2	WT-OF, biological rep1	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
GSE5449GSM153867	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabiodopsis wild-type open flowers when anthesis occurs.:  Gene expression data from unopened flowers of wild-type plant. wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	wild-type (ecotype Col-0); Flowers with anther stage from 13 to 14	Arabiodopsis wild-type open flowers when anthesis occurs.	P-G5449-4	GSE5449GSM153867 sample	P-G5449-3	GSE5449GSM153867 extract	total_RNA	P-G5449-2	GSE5449GSM153867 LE biotin	biotin	synthetic_RNA	WT-OF, biological rep3	A-AFFY-2	WT-OF, biological rep3	E-GEOD-5449-processed-data-1712184812.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5449/E-GEOD-5449.processed.1.zip
