Source Name	Comment [Observation]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Comment[ABRC seed stock id]	Provider	Protocol REF	Protocol REF	Parameter Value [light hours]	Unit [TimeUnit]	Parameter Value [night humidity]	Parameter Value [light intensity]	Parameter Value [media]	Parameter Value [light source]	Parameter Value [day temperature]	Unit [TemperatureUnit]	Parameter Value [day humidity]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Used Label]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	Factor Value [COMPOUND]
35S-AtMYB44-2	delayed flowering, enhanced abiotic stress resistane	35S::AtMYB44	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	35S-AtMYB44-2	P-CAGE-24583	total RNA	RNA polymerases	E_35S-AtMYB44-2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_35S-AtMYB44-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_35S-AtMYB44-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_35S-AtMYB44-2	35S-AtMYB44-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	35S::AtMYB44	none
WT-2	  	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	WT-2	P-CAGE-24583	total RNA	RNA polymerases	E_WT-2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_WT-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_WT-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_WT-2	WT-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	wild_type	none
35S-AtMYB44-1	delayed flowering, enhanced abiotic stress resistane	35S::AtMYB44	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	35S-AtMYB44-1	P-CAGE-24583	total RNA	RNA polymerases	E_35S-AtMYB44-1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_35S-AtMYB44-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_35S-AtMYB44-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_35S-AtMYB44-1	35S-AtMYB44-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	35S::AtMYB44	none
35S-AtMYB44-NaCl2	delayed flowering, enhanced abiotic stress resistane	35S::AtMYB44	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	35S-AtMYB44-NaCl2	P-CAGE-24583	total RNA	RNA polymerases	E_35S-AtMYB44-NaCl2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_35S-AtMYB44-NaCl2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_35S-AtMYB44-NaCl2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_35S-AtMYB44-NaCl2	35S-AtMYB44-NaCl2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	35S::AtMYB44	NaCl
35S-AtMYB44-NaCl1	delayed flowering, enhanced abiotic stress resistane	35S::AtMYB44	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	35S-AtMYB44-NaCl1	P-CAGE-24583	total RNA	RNA polymerases	E_35S-AtMYB44-NaCl1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_35S-AtMYB44-NaCl1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	H_35S-AtMYB44-NaCl1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_35S-AtMYB44-NaCl1	35S-AtMYB44-NaCl1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	35S::AtMYB44	NaCl
WT-1	  	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	WT-1	P-CAGE-24583	total RNA	RNA polymerases	E_WT-1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_WT-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_WT-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_WT-1	WT-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	wild_type	none
atmyb44-2	  	AtMYB44 knock-out	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	atmyb44-2	P-CAGE-24583	total RNA	RNA polymerases	E_atmyb44-2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_atmyb44-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_atmyb44-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_atmyb44-2	atmyb44-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	AtMYB44 knock-out	none
atmyb44-1	  	AtMYB44 knock-out	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26294	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	atmyb44-1	P-CAGE-24583	total RNA	RNA polymerases	E_atmyb44-1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_atmyb44-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_atmyb44-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_atmyb44-1	atmyb44-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	AtMYB44 knock-out	none
WT-NaCl1	  	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	WT-NaCl1	P-CAGE-24583	total RNA	RNA polymerases	E_WT-NaCl1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_WT-NaCl1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	H_WT-NaCl1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_WT-NaCl1	WT-NaCl1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	wild_type	NaCl
WT-NaCl2	  	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	WT-NaCl2	P-CAGE-24583	total RNA	RNA polymerases	E_WT-NaCl2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_WT-NaCl2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_WT-NaCl2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_WT-NaCl2	WT_NaCl2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	wild_type	NaCl
atmyb44-NaCl1	  	AtMYB44 knock-out	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	atmyb44-NaCl1	P-CAGE-24583	total RNA	RNA polymerases	E_atmyb44-NaCl1	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_atmyb44-NaCl1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	H_atmyb44-NaCl1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_atmyb44-NaCl1	atmyb44-NaCl1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	AtMYB44 knock-out	NaCl
atmyb44-NaCl2	  	AtMYB44 knock-out	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5 Boyes key	CS60000	ABRC	P-CAGE-26293	P-CAGE-24580	16	h	60	200	542	530	23	degree_C	60	atmyb44-NaCl2	P-CAGE-24583	total RNA	RNA polymerases	E_atmyb44-NaCl2	total_RNA	P-CAGE-26295	RNA polymerases	biotin	L_atmyb44-NaCl2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS450_0004	H_atmyb44-NaCl2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_atmyb44-NaCl2	atmyb44_NaCl2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-30-processed-data-1513703718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-30/E-ATMX-30.processed.1.zip	AtMYB44 knock-out	NaCl
