Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell type]	Characteristics [growth conditions]	Characteristics [line]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [CELL TYPE]	FactorValue [GROWTH CONDITIONS]	FactorValue [LINE]
GSM1082923 1	pericycle cells, protoplasted, FACS sorted	line J2731-5 days control conditions+ 2 days salt conditions, biological rep3	pericycle cells	5 days control condition + 2 days salt condition	J2731	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082923 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082923 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082923	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082923_sample_table.txt norm	GSM1082923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	pericycle cells	5 days control condition + 2 days salt condition	J2731
GSM1082922 1	pericycle cells, protoplasted, FACS sorted	line J2731-5 days control conditions+ 2 days salt conditions, biological rep2	pericycle cells	5 days control condition + 2 days salt condition	J2731	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082922 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082922 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082922	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082922_sample_table.txt norm	GSM1082922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	pericycle cells	5 days control condition + 2 days salt condition	J2731
GSM1082921 1	pericycle cells, protoplasted, FACS sorted	line J2731-5 days control conditions+ 2 days salt conditions, biological rep1	pericycle cells	5 days control condition + 2 days salt condition	J2731	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082921 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082921 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082921	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082921_sample_table.txt norm	GSM1082921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	pericycle cells	5 days control condition + 2 days salt condition	J2731
GSM1082920 1	pericycle cells, protoplasted, FACS sorted	line J2731-7 days-control conditions, biological rep2	pericycle cells	7 days control condition	J2731	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082920 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082920 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082920	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082920_sample_table.txt norm	GSM1082920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	pericycle cells	7 days control condition	J2731
GSM1082919 1	pericycle cells, protoplasted, FACS sorted	line J2731-7 days-control conditions, biological rep1	pericycle cells	7 days control condition	J2731	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082919 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082919 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082919	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082919_sample_table.txt norm	GSM1082919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	pericycle cells	7 days control condition	J2731
GSM1082918 1	cortex cells, protoplasted, FACS sorted	line J1551-5 days control conditions+ 2 days salt conditions, biological rep3	cortex cells	5 days control condition + 2 days salt condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082918 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082918 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082918	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082918_sample_table.txt norm	GSM1082918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	5 days control condition + 2 days salt condition	J1551
GSM1082917 1	cortex cells, protoplasted, FACS sorted	line J1551-5 days control conditions+ 2 days salt conditions, biological rep2	cortex cells	5 days control condition + 2 days salt condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082917 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082917 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082917	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082917_sample_table.txt norm	GSM1082917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	5 days control condition + 2 days salt condition	J1551
GSM1082916 1	cortex cells, protoplasted, FACS sorted	line J1551-5 days control conditions+ 2 days salt conditions, biological rep1	cortex cells	5 days control condition + 2 days salt condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082916 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082916 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082916	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082916_sample_table.txt norm	GSM1082916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	5 days control condition + 2 days salt condition	J1551
GSM1082915 1	cortex cells, protoplasted, FACS sorted	line J1551-7 days-control conditions, biological rep3	cortex cells	7 days control condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082915 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082915 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082915	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082915_sample_table.txt norm	GSM1082915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	7 days control condition	J1551
GSM1082914 1	cortex cells, protoplasted, FACS sorted	line J1551-7 days-control conditions, biological rep2	cortex cells	7 days control condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082914 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082914 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082914	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082914_sample_table.txt norm	GSM1082914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	7 days control condition	J1551
GSM1082913 1	cortex cells, protoplasted, FACS sorted	line J1551-7 days-control conditions, biological rep1	cortex cells	7 days control condition	J1551	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE44307-2	ArrayExpress	P-GSE44307-3	ArrayExpress	P-GSE44307-4	ArrayExpress	GSM1082913 extract 1	total RNA	P-GSE44307-5	ArrayExpress	GSM1082913 LE 1	biotin	P-GSE44307-6	ArrayExpress	GSM1082913	A-AFFY-2	ArrayExpress	array assay	P-GSE44307-1	ArrayExpress	P-GSE44307-7	ArrayExpress	GSM1082913_sample_table.txt norm	GSM1082913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44307/E-GEOD-44307.processed.1.zip	cortex cells	7 days control condition	J1551
