Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	Factor Value [dose]	Unit[concentration unit]
GSM1065184 1	Gene expression data from Arabidopsis Thaliana, Indigo Carmine	Indigo Carmine	Indigo Carmine 0.5 uM,  biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065184 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065184 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065184	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065184_IC3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065184_sample_table.txt norm	GSM1065184_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Indigo Carmine	0.5	micromolar
GSM1065183 1	Gene expression data from Arabidopsis Thaliana, Indigo Carmine	Indigo Carmine	Indigo Carmine 0.5 uM,  biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065183 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065183 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065183	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065183_IC2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065183_sample_table.txt norm	GSM1065183_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Indigo Carmine	0.5	micromolar
GSM1065182 1	Gene expression data from Arabidopsis Thaliana, Indigo Carmine	Indigo Carmine	Indigo Carmine 0.5 uM,  biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065182 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065182 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065182	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065182_IC1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065182_sample_table.txt norm	GSM1065182_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Indigo Carmine	0.5	micromolar
GSM1065181 1	Gene expression data from Arabidopsis Thaliana, Methyl Violet	Methyl Violet	Methyl Violet 0.5 uM,  biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065181 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065181 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065181	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065181_MV3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065181_sample_table.txt norm	GSM1065181_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Methyl Violet	0.5	micromolar
GSM1065180 1	Gene expression data from Arabidopsis Thaliana, Methyl Violet	Methyl Violet	Methyl Violet 0.5 uM,  biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065180 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065180 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065180	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065180_MV2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065180_sample_table.txt norm	GSM1065180_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Methyl Violet	0.5	micromolar
GSM1065179 1	Gene expression data from Arabidopsis Thaliana, Methyl Violet	Methyl Violet	Methyl Violet 0.5 uM,  biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065179 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065179 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065179	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065179_MV1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065179_sample_table.txt norm	GSM1065179_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	Methyl Violet	0.5	micromolar
GSM1065178 1	Gene expression data from Arabidopsis Thaliana, Control2	Control for Methyl Violet and Indigo Carmine	Control for MV3 and IC3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065178 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065178 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065178	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065178_C3A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065178_sample_table.txt norm	GSM1065178_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	none	  	        
GSM1065177 1	Gene expression data from Arabidopsis Thaliana, Control2	Control for Methyl Violet and Indigo Carmine	Control for MV2 and IC2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065177 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065177 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065177	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065177_C2A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065177_sample_table.txt norm	GSM1065177_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	none	  	        
GSM1065176 1	Gene expression data from Arabidopsis Thaliana, Control2	Control for Methyl Violet and Indigo Carmine	Control for MV1 and IC1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065176 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065176 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065176	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065176_C1A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065176_sample_table.txt norm	GSM1065176_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	none	  	        
GSM1065175 1	Gene expression data from Arabidopsis Thaliana, Hydrogen Peroxide	Arabidopsis Thaliana, Hydrogen Peroxide	Hydrogen Peroxide 500 uM,  biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE43551-2	ArrayExpress	P-GSE43551-3	ArrayExpress	P-GSE43551-4	ArrayExpress	GSM1065175 extract 1	total RNA	P-GSE43551-5	ArrayExpress	GSM1065175 LE 1	biotin	P-GSE43551-6	ArrayExpress	GSM1065175	A-AFFY-2	ArrayExpress	array assay	P-GSE43551-7	ArrayExpress	GSM1065175_PER3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.raw.1.zip	P-GSE43551-1	ArrayExpress	GSM1065175_sample_table.txt norm	GSM1065175_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43551/E-GEOD-43551.processed.1.zip	hydrogen peroxide	500	micromolar
