Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [temperature]	Unit [temperature unit]
GSM908553 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 23C repC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908553 extract 1	total RNA	P-GSE37014-5	GSM908553 LE 1	biotin	P-GSE37014-6	GSM908553	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908553_pft1-1-23C-C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908553_sample_table.txt norm	GSM908553_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	23	degree celsius
GSM908552 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 23C repB	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908552 extract 1	total RNA	P-GSE37014-5	GSM908552 LE 1	biotin	P-GSE37014-6	GSM908552	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908552_pft1-1-23C-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908552_sample_table.txt norm	GSM908552_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	23	degree celsius
GSM908551 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 23C repA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908551 extract 1	total RNA	P-GSE37014-5	GSM908551 LE 1	biotin	P-GSE37014-6	GSM908551	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908551_pft1-1-23C-A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908551_sample_table.txt norm	GSM908551_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	23	degree celsius
GSM908550 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 16ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 16C repC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908550 extract 1	total RNA	P-GSE37014-5	GSM908550 LE 1	biotin	P-GSE37014-6	GSM908550	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908550_pft1-1-16C-C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908550_sample_table.txt norm	GSM908550_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	16	degree celsius
GSM908549 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 16ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 16C repB	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908549 extract 1	total RNA	P-GSE37014-5	GSM908549 LE 1	biotin	P-GSE37014-6	GSM908549	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908549_pft1-1-16C-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908549_sample_table.txt norm	GSM908549_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	16	degree celsius
GSM908548 1	10-day-old pft1-1 seedlings, grown on MS salts agar plates, at 16ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	pft1 16C repA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	pft1-1	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908548 extract 1	total RNA	P-GSE37014-5	GSM908548 LE 1	biotin	P-GSE37014-6	GSM908548	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908548_pft1-1-16C-A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908548_sample_table.txt norm	GSM908548_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	pft1-1	16	degree celsius
GSM908547 1	10-day-old Columbia (WT) seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	WT 23C repC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	wild type	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908547 extract 1	total RNA	P-GSE37014-5	GSM908547 LE 1	biotin	P-GSE37014-6	GSM908547	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908547_Col-0-23C-C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908547_sample_table.txt norm	GSM908547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	wild type	23	degree celsius
GSM908546 1	10-day-old Columbia (WT) seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	WT 23C repB	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	wild type	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908546 extract 1	total RNA	P-GSE37014-5	GSM908546 LE 1	biotin	P-GSE37014-6	GSM908546	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908546_Col-0-23C-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908546_sample_table.txt norm	GSM908546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	wild type	23	degree celsius
GSM908545 1	10-day-old Columbia (WT) seedlings, grown on MS salts agar plates, at 23ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	WT 23C repA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	wild type	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908545 extract 1	total RNA	P-GSE37014-5	GSM908545 LE 1	biotin	P-GSE37014-6	GSM908545	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908545_Col-0-23C-A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908545_sample_table.txt norm	GSM908545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	wild type	23	degree celsius
GSM908544 1	10-day-old Columbia (WT) seedlings, grown on MS salts agar plates, at 16ºC under continuous light cool-white fluorescent light, 80 micromoles/sec m2	WT 16C repC	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	Columbia ecotype	wild type	seedling	EFO	EFO_0001992	P-GSE37014-3	P-GSE37014-2	P-GSE37014-4	GSM908544 extract 1	total RNA	P-GSE37014-5	GSM908544 LE 1	biotin	P-GSE37014-6	GSM908544	A-AFFY-2	  	P-GSE37014-7	P-GSE37014-8	GSM908544_Col-0-16C-C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.raw.1.zip	P-GSE37014-1	GSM908544_sample_table.txt norm	GSM908544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37014/E-GEOD-37014.processed.1.zip	wild type	16	degree celsius
