Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Characteristics [genotype]	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics[strain or line]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [developmental stage]
S15a rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 15a	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S15a rep1	P-MEXP-137720	S15a rep1	total_RNA	P-AFFY-2	S15a rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S15a rep1	A-AFFY-2	P-AFFY-6	S15a rep1	s15arep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 15a
S12 rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 12	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S12 rep1	P-MEXP-137720	S12 rep1	total_RNA	P-AFFY-2	S12 rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S12 rep1	A-AFFY-2	P-AFFY-6	S12 rep1	S12rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 12
S12 rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 12	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S12 rep3	P-MEXP-137720	S12 rep3	total_RNA	P-AFFY-2	S12 rep3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S12 rep3	A-AFFY-2	P-AFFY-6	S12 rep3	s12rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 12
S13 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 13	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S13 rep2	P-MEXP-137720	S13 rep2	total_RNA	P-AFFY-2	S13 rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S13 rep2	A-AFFY-2	P-AFFY-6	S13 rep2	s13rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 13
S15b rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 15b	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S15b rep1	P-MEXP-137720	S15b rep1	total_RNA	P-AFFY-2	S15b rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S15b rep1	A-AFFY-2	P-AFFY-6	S15b rep1	s15brep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 15b
S15b rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 15b	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S15b rep2	P-MEXP-137720	S15b rep2	total_RNA	P-AFFY-2	S15b rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S15b rep2	A-AFFY-2	P-AFFY-6	S15b rep2	s15brep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 15b
S15b rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 15b	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S15b rep3	P-MEXP-137720	S15b rep3	total_RNA	P-AFFY-2	S15b rep3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S15b rep3	A-AFFY-2	P-AFFY-6	S15b rep3	s15brep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 15b
S12 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 12	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S12 rep2	P-MEXP-137720	S12 rep2	total_RNA	P-AFFY-2	S12 rep2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S12 rep2	A-AFFY-2	P-AFFY-6	S12 rep2	s12rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 12
S13 rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 13	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S13 rep1	P-MEXP-137720	S13 rep1	total_RNA	P-AFFY-2	S13 rep1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S13 rep1	A-AFFY-2	P-AFFY-6	S13 rep1	s13rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 13
S13 rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stamen abscission zone	EFO	EFO_0002473	fresh_sample	wild type	floral stage 13	Columbia	Col-0	P-MEXP-134455	P-MEXP-137718	S13 rep3	P-MEXP-137720	S13 rep3	total_RNA	P-AFFY-2	S13 rep3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	S13 rep3	A-AFFY-2	P-AFFY-6	S13 rep3	s13rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1474-processed-data-1593933755.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1474/E-MEXP-1474.processed.1.zip	floral stage 13
