Source Name	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [biosource type]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [treatment]	Factor Value [genotype]	Factor Value [time]	Unit [time unit]	Factor Value [light]
Ulm_1-7_4days-345nm_1hr-305nm_Rep1_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2677	P-MTAB-2675	P-MTAB-2663	E_Ulm_1-7_4days-345nm_1hr-305nm_Rep1_ATH	total_RNA	P-AFFY-2	L_Ulm_1-7_4days-345nm_1hr-305nm_Rep1_ATH	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-7_4days-345nm_1hr-305nm_Rep1_ATH	A-AFFY-2	P-AFFY-6	Ulm_1-7_305nm-1h_Rep1_ATH1.CEL	Ulm_1-7_305nm-1h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	1	hour	UV-B light regimen (345 nm)
Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2677	P-MTAB-2675	P-MTAB-2663	E_Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH	total_RNA	P-AFFY-2	L_Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH	A-AFFY-2	P-AFFY-6	Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH1.CEL	Ulm_1-9_4days-345nm_1hr-305nm_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	1	hour	UV-B light regimen (345 nm)
Ulm_1-8_4days-345nm_1hr-305nm_Rep2_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2677	P-MTAB-2675	P-MTAB-2663	E_Ulm_1-8_4days-345nm_1hr-305nm_Rep2_ATH	total_RNA	P-AFFY-2	L_Ulm_1-8_4days-345nm_1hr-305nm_Rep2_ATH	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-8_4days-345nm_1hr-305nm_Rep2_ATH	A-AFFY-2	P-AFFY-6	Ulm_1-8_4days-345nm_1hr305nm_Rep2_ATH1.CEL	Ulm_1-8_4days-345nm_1hr305nm_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	1	hour	UV-B light regimen (345 nm)
Ulm_3-6_cop1-305-1h_Rep3_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2672	P-MTAB-2675	P-MTAB-2673	E_Ulm_3-6_cop1-305-1h_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-6_cop1-305-1h_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-6_cop1-305-1h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-6_cop1-305-1h_Rep3_ATH1.CEL	Ulm_3-6_cop1-305-1h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	1	hour	UV-B light regimen (345 nm)
Ulm_3-4_cop1-305-1h_Rep1_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2672	P-MTAB-2675	P-MTAB-2673	E_Ulm_3-4_cop1-305-1h_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-4_cop1-305-1h_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-4_cop1-305-1h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-4_cop1-305-1h_Rep1_ATH1.CEL	Ulm_3-4_cop1-305-1h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	1	hour	UV-B light regimen (345 nm)
Ulm_3-5_cop1-305-1h_Rep2_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2672	P-MTAB-2675	P-MTAB-2673	E_Ulm_3-5_cop1-305-1h_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-5_cop1-305-1h_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-5_cop1-305-1h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-5_cop1-305-1h_Rep2_ATH1.CEL	Ulm_3-5_cop1-305-1h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	1	hour	UV-B light regimen (345 nm)
Ulm_2-6_uvr8-305-1h_Rep3_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2671	P-MTAB-2675	P-MTAB-2660	E_Ulm_2-6_uvr8-305-1h_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-6_uvr8-305-1h_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-6_uvr8-305-1h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-6_uvr8-305-1h_Rep3_ATH1.CEL	Ulm_2-6_uvr8-305-1h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	1	hour	UV-B light regimen (345 nm)
Ulm_2-4_uvr8-305-1h_Rep1_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2671	P-MTAB-2675	P-MTAB-2660	E_Ulm_2-4_uvr8-305-1h_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-4_uvr8-305-1h_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-4_uvr8-305-1h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-4_uvr8-305-1h_Rep1_ATH1.CEL	Ulm_2-4_uvr8-305-1h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	1	hour	UV-B light regimen (345 nm)
Ulm_2-5_uvr8-305-1h_Rep2_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2671	P-MTAB-2675	P-MTAB-2660	E_Ulm_2-5_uvr8-305-1h_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-5_uvr8-305-1h_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-5_uvr8-305-1h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-5_uvr8-305-1h_Rep2_ATH1-2.CEL	Ulm_2-5_uvr8-305-1h_Rep2_ATH1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	1	hour	UV-B light regimen (345 nm)
Ulm_1-10_4days-345nm_6hr-305nm_Rep1_ATH	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2665	P-MTAB-2675	P-MTAB-2670	E_ Ulm_1-10_4days-345nm_6hr-305nm_Rep1_A	total_RNA	P-AFFY-2	L_ Ulm_1-10_4days-345nm_6hr-305nm_Rep1_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_ Ulm_1-10_4days-345nm_6hr-305nm_Rep1_A	A-AFFY-2	P-AFFY-6	Ulm_1-10_4days-345nm_6hr-305nm_Rep1_ATH1.CEL	Ulm_1-10_4days-345nm_6hr-305nm_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	6	hour	UV-B light regimen (345 nm)
