Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[GR inducible system using transgenic Arabidopsis carrying pGL1]	Characteristics[GR inducible system using transgenic Arabidopsis carrying pGL3]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM315474 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with Dex treatment for 24 hours, sample 2	Arabidopsis pGL3::GL3-GR with Dex treatment for 24 hours, sample 2	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315474 extract 1	total RNA	P-GSE12551-3	GSM315474 LE 1	Biotin	P-GSE12551-4	GSM315474	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315474.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315474_sample_table.txt norm	GSM315474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315473 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with Dex treatment for 24 hours, sample 1	Arabidopsis pGL3::GL3-GR with Dex treatment for 24 hours, sample 1	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315473 extract 1	total RNA	P-GSE12551-3	GSM315473 LE 1	Biotin	P-GSE12551-4	GSM315473	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315473_sample_table.txt norm	GSM315473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315472 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with mock treatment for 24 hours, sample 2	Arabidopsis pGL3::GL3-GR with mock treatment for 24 hours, sample 2	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315472 extract 1	total RNA	P-GSE12551-3	GSM315472 LE 1	Biotin	P-GSE12551-4	GSM315472	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315472_sample_table.txt norm	GSM315472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315471 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with mock treatment for 24 hours, sample 1	Arabidopsis pGL3::GL3-GR with mock treatment for 24 hours, sample 1	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315471 extract 1	total RNA	P-GSE12551-3	GSM315471 LE 1	Biotin	P-GSE12551-4	GSM315471	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315471_sample_table.txt norm	GSM315471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315470 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with Dex treatment for 4 hours, sample 3	Arabidopsis pGL3::GL3-GR with Dex treatment for 4 hours, sample 3	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315470 extract 1	total RNA	P-GSE12551-3	GSM315470 LE 1	Biotin	P-GSE12551-4	GSM315470	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315470_sample_table.txt norm	GSM315470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315469 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with Dex treatment for 4 hours, sample 2	Arabidopsis pGL3::GL3-GR with Dex treatment for 4 hours, sample 2	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315469 extract 1	total RNA	P-GSE12551-3	GSM315469 LE 1	Biotin	P-GSE12551-4	GSM315469	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315469.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315469_sample_table.txt norm	GSM315469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315468 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with Dex treatment for 4 hours, sample 1	Arabidopsis pGL3::GL3-GR with Dex treatment for 4 hours, sample 1	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315468 extract 1	total RNA	P-GSE12551-3	GSM315468 LE 1	Biotin	P-GSE12551-4	GSM315468	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315468_sample_table.txt norm	GSM315468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315467 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with mock treatment for 4 hours, sample 3	Arabidopsis pGL3::GL3-GR with mock treatment for 4 hours, sample 3	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315467 extract 1	total RNA	P-GSE12551-3	GSM315467 LE 1	Biotin	P-GSE12551-4	GSM315467	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315467_sample_table.txt norm	GSM315467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315466 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with mock treatment for 4 hours, sample 2	Arabidopsis pGL3::GL3-GR with mock treatment for 4 hours, sample 2	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315466 extract 1	total RNA	P-GSE12551-3	GSM315466 LE 1	Biotin	P-GSE12551-4	GSM315466	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315466_sample_table.txt norm	GSM315466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315465 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL3::GL3-GR with mock treatment for 4 hours, sample 1	Arabidopsis pGL3::GL3-GR with mock treatment for 4 hours, sample 1	  	:GL3-GR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315465 extract 1	total RNA	P-GSE12551-3	GSM315465 LE 1	Biotin	P-GSE12551-4	GSM315465	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315465.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315465_sample_table.txt norm	GSM315465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
