Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[COMPOUND]	FactorValue[GENOTYPE]
GSM226922 1	atmyc2 cop1-6 double mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 2	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_BL+ABA_2	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226922 extract 1	total RNA	P-GSE8955-5	GSM226922 LE 1	Biotin	P-GSE8955-6	GSM226922	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226922_sample_table.txt norm	GSM226922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	atmyc2 cop1-6 double mutant
GSM226921 1	atmyc2 cop1-6 double mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 1	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_BL+ABA_1	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226921 extract 1	total RNA	P-GSE8955-5	GSM226921 LE 1	Biotin	P-GSE8955-6	GSM226921	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226921_sample_table.txt norm	GSM226921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	atmyc2 cop1-6 double mutant
GSM226920 1	cop1-6 mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 2	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_BL+ABA_2	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226920 extract 1	total RNA	P-GSE8955-5	GSM226920 LE 1	Biotin	P-GSE8955-6	GSM226920	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226920_sample_table.txt norm	GSM226920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	cop1-6 mutant
GSM226919 1	cop1-6 mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 1	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_BL+ABA_1	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226919 extract 1	total RNA	P-GSE8955-5	GSM226919 LE 1	Biotin	P-GSE8955-6	GSM226919	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226919_sample_table.txt norm	GSM226919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	cop1-6 mutant
GSM226918 1	atmyc2 mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 2	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_BL+ABA_2	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226918 extract 1	total RNA	P-GSE8955-5	GSM226918 LE 1	Biotin	P-GSE8955-6	GSM226918	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226918_sample_table.txt norm	GSM226918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	atmyc2 mutant
GSM226917 1	atmyc2 mutant seedlings grown under constant blue-light along with abscisic acid, biological rep 1	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_BL+ABA_1	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226917 extract 1	total RNA	P-GSE8955-5	GSM226917 LE 1	Biotin	P-GSE8955-6	GSM226917	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226917_sample_table.txt norm	GSM226917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	atmyc2 mutant
GSM226916 1	Wild-type seedlings grown under constant blue-light along with abscisic acid, biological rep 2	10-day-old wild-type Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old wild-type seedlings	WT_Seedling_BL+ABA_2	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226916 extract 1	total RNA	P-GSE8955-5	GSM226916 LE 1	Biotin	P-GSE8955-6	GSM226916	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226916_sample_table.txt norm	GSM226916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	wild_type
GSM226915 1	Wild-type seedlings grown under constant blue-light along with abscisic acid, biological rep 1	10-day-old wild-type Arabidopsis seedlings grown under constant blue-light and presence of abscisic acid	10-day-old wild-type seedlings	WT_Seedling_BL+ABA_1	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-11	P-GSE8955-12	P-GSE8955-4	GSM226915 extract 1	total RNA	P-GSE8955-5	GSM226915 LE 1	Biotin	P-GSE8955-6	GSM226915	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226915_sample_table.txt norm	GSM226915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	abscisic acid	wild_type
GSM226914 1	atmyc2 cop1-6 double mutant seedlings grown under constant blue-light, biological rep 2	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant blue-light	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_BL_2	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226914 extract 1	total RNA	P-GSE8955-5	GSM226914 LE 1	Biotin	P-GSE8955-6	GSM226914	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226914_sample_table.txt norm	GSM226914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	atmyc2 cop1-6 double mutant
GSM226913 1	atmyc2 cop1-6 double mutant seedlings grown under constant blue-light, biological rep 1	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant blue-light	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_BL_1	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226913 extract 1	total RNA	P-GSE8955-5	GSM226913 LE 1	Biotin	P-GSE8955-6	GSM226913	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226913_sample_table.txt norm	GSM226913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	atmyc2 cop1-6 double mutant
