Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Ecotype]	Characteristics [Individual]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [OrganismPart]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [compound]	Term Source REF	Term Accession Number	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana	12	days	Columbia-0	AlcA_LFY_EtOH-2	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::LFY	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_LFY_EtOH-2	P-MEXP-11413	P-MEXP-11414	E_AlcA_LFY_EtOH-2	total_RNA	P-AFFY-2	L_AlcA_LFY_EtOH-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_LFY_EtOH-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::LFY	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM5	AlcA_LFY_EtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181531	12	days	Columbia-0	AlcA_GUS_EtOH-2	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::GUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_GUS_EtOH-2	P-MEXP-11413	P-MEXP-11414	E_AlcA_GUS_EtOH-2	total_RNA	P-AFFY-2	L_AlcA_GUS_EtOH-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_GUS_EtOH-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::GUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM3	AlcA_GUS_EtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181537	12	days	Columbia-0	AlcA_STM_EtOH-2	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::STM	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_STM_EtOH-2	P-MEXP-11413	P-MEXP-11414	E_AlcA_STM_EtOH-2	total_RNA	P-AFFY-2	L_AlcA_STM_EtOH-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_STM_EtOH-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::STM	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM7	AlcA_STM_EtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181536	12	days	Columbia-0	AlcA_STM_EtOH-1	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::STM	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_STM_EtOH-1	P-MEXP-11413	P-MEXP-11414	E_AlcA_STM_EtOH-1	total_RNA	P-AFFY-2	L_AlcA_STM_EtOH-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_STM_EtOH-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::STM	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM6	AlcA_STM_EtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181533	12	days	Columbia-0	AlcA_GUS_H2O-2	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::GUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11349	P-MEXP-11329	AlcA_GUS_H2O-2	P-MEXP-11413	P-MEXP-11414	E_AlcA_GUS_H2O-2	total_RNA	P-AFFY-2	L_AlcA_GUS_H2O-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_GUS_H2O-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	water	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377	35S::AlcR/AlcA::GUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM1	AlcA_GUS_H2O-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181532	12	days	Columbia-0	AlcA_GUS_H20-1	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::GUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11349	P-MEXP-11329	AlcA_GUS_H2O-1	P-MEXP-11413	P-MEXP-11414	E_AlcA_GUS_H2O-1	total_RNA	P-AFFY-2	L_AlcA_GUS_H2O-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_GUS_H2O-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	water	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377	35S::AlcR/AlcA::GUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM0	AlcA_GUS_H2O-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181534	12	days	Columbia-0	AlcA_LFY_EtOH-1	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::LFY	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_LFY_EtOH-1	P-MEXP-11413	P-MEXP-11414	E_AlcA_LFY_EtOH-1	total_RNA	P-AFFY-2	L_AlcA_LFY_EtOH-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_LFY_EtOH-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::LFY	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM4	AlcA_LFY_EtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181530	12	days	Columbia-0	AlcA_GUS_EtOH-1	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::GUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_GUS_EtOH-1	P-MEXP-11413	P-MEXP-11414	E_AlcA_GUS_EtOH-1	total_RNA	P-AFFY-2	L_AlcA_GUS_EtOH-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_GUS_EtOH-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::GUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM2	AlcA_GUS_EtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181539	12	days	Columbia-0	AlcA_WUS_EtOH-2	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::WUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_WUS_EtOH-2	P-MEXP-11413	P-MEXP-11414	E_AlcA_WUS_EtOH-2	total_RNA	P-AFFY-2	L_AlcA_WUS_EtOH-2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_WUS_EtOH-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::WUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM9	AlcA_WUS_EtOH-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181538	12	days	Columbia-0	AlcA_WUS_EtOH-1	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::AlcR/AlcA::WUS	apex and young leaves	transfection	EFO	EFO_0000726	seedling	EFO	EFO_0001992	P-MEXP-11345	P-MEXP-11329	AlcA_WUS_EtOH-1	P-MEXP-11413	P-MEXP-11414	E_AlcA_WUS_EtOH-1	total_RNA	P-AFFY-2	L_AlcA_WUS_EtOH-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_AlcA_WUS_EtOH-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ethanol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16236	35S::AlcR/AlcA::WUS	ebi.ac.uk:MIAMExpress:DerivedBioAssay:1760.GEM8	AlcA_WUS_EtOH-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.raw.1.zip	P-MEXP-12147	E-MEXP-432-processed-data-1343490842.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-432/E-MEXP-432.processed.1.zip
