Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Comment[stock code]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [infect]	FactorValue [time]	Unit[time unit]
GSM477956 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477956 extract 1	total RNA	P-GSE19264-4	GSM477956 LE 1	biotin	P-GSE19264-5	GSM477956	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477956.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477956_sample_table.txt norm	GSM477956_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	21	hour
GSM477955 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477955 extract 1	total RNA	P-GSE19264-4	GSM477955 LE 1	biotin	P-GSE19264-5	GSM477955	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477955.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477955_sample_table.txt norm	GSM477955_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	21	hour
GSM477954 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477954 extract 1	total RNA	P-GSE19264-4	GSM477954 LE 1	biotin	P-GSE19264-5	GSM477954	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477954_sample_table.txt norm	GSM477954_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	21	hour
GSM477953 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477953 extract 1	total RNA	P-GSE19264-4	GSM477953 LE 1	biotin	P-GSE19264-5	GSM477953	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477953.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477953_sample_table.txt norm	GSM477953_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	12	hour
GSM477952 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477952 extract 1	total RNA	P-GSE19264-4	GSM477952 LE 1	biotin	P-GSE19264-5	GSM477952	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477952_sample_table.txt norm	GSM477952_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	12	hour
GSM477951 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477951 extract 1	total RNA	P-GSE19264-4	GSM477951 LE 1	biotin	P-GSE19264-5	GSM477951	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477951.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477951_sample_table.txt norm	GSM477951_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	12	hour
GSM477950 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477950 extract 1	total RNA	P-GSE19264-4	GSM477950 LE 1	biotin	P-GSE19264-5	GSM477950	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477950.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477950_sample_table.txt norm	GSM477950_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	8	hour
GSM477949 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477949 extract 1	total RNA	P-GSE19264-4	GSM477949 LE 1	biotin	P-GSE19264-5	GSM477949	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477949_sample_table.txt norm	GSM477949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	8	hour
GSM477948 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477948 extract 1	total RNA	P-GSE19264-4	GSM477948 LE 1	biotin	P-GSE19264-5	GSM477948	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477948_sample_table.txt norm	GSM477948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	8	hour
GSM477947 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477947 extract 1	total RNA	P-GSE19264-4	GSM477947 LE 1	biotin	P-GSE19264-5	GSM477947	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477947_sample_table.txt norm	GSM477947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	21	hour
