Source Name	Material Type	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [compound]	Term Source REF	Term Accession Number	Factor Value[dose]	Unit[concentration unit]
GSM871271 1	organism part	intact root auxin 3	intact root auxin 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871271 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871271 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871271	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871271_sample_table.txt norm	GSM871271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871270 1	organism part	intact root auxin 2	intact root auxin 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871270 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871270 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871270	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871270_sample_table.txt norm	GSM871270_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871269 1	organism part	intact root auxin 1	intact root auxin 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871269 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871269 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871269	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871269_sample_table.txt norm	GSM871269_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871268 1	organism part	intact root control 3	intact root control 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871268 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871268 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871268	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871268_sample_table.txt norm	GSM871268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	none	  	    	    	        
GSM871267 1	organism part	intact root control 2	intact root control 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871267 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871267 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871267	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871267_sample_table.txt norm	GSM871267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	none	  	    	    	        
GSM871266 1	organism part	intact root control 1	intact root control 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole root	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871266 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871266 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871266	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871266_sample_table.txt norm	GSM871266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	whole root	none	  	    	    	        
GSM871265 1	organism part	columella auxin 3	columella auxin 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871265 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871265 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871265	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871265.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871265_sample_table.txt norm	GSM871265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871264 1	organism part	columella auxin 2	columella auxin 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871264 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871264 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871264	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871264.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871264_sample_table.txt norm	GSM871264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871263 1	organism part	columella auxin 1	columella auxin 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871263 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871263 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871263	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871263_sample_table.txt norm	GSM871263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871262 1	organism part	columella control 3	columella control 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871262 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871262 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871262	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871262_sample_table.txt norm	GSM871262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	none	  	    	    	        
