Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[accession]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [ACCESSION]	FactorValue [ECOTYPE]
GSM680371 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_SQ8_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22601	SQ8	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680371 extract 1	genomic DNA	P-GSE27549-4	GSM680371 LE 1	biotin	P-GSE27549-5	GSM680371	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680371.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22601	SQ8
GSM680370 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_SQ8_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22601	SQ8	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680370 extract 1	genomic DNA	P-GSE27549-4	GSM680370 LE 1	biotin	P-GSE27549-5	GSM680370	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680370.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22601	SQ8
GSM680369 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_SQ8_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22601	SQ8	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680369 extract 1	genomic DNA	P-GSE27549-4	GSM680369 LE 1	biotin	P-GSE27549-5	GSM680369	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680369.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22601	SQ8
GSM680368 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_NFA10_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22599	NFA10	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680368 extract 1	genomic DNA	P-GSE27549-4	GSM680368 LE 1	biotin	P-GSE27549-5	GSM680368	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680368.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22599	NFA10
GSM680367 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_NFA10_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22599	NFA10	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680367 extract 1	genomic DNA	P-GSE27549-4	GSM680367 LE 1	biotin	P-GSE27549-5	GSM680367	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680367.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22599	NFA10
GSM680366 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_NFA10_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22599	NFA10	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680366 extract 1	genomic DNA	P-GSE27549-4	GSM680366 LE 1	biotin	P-GSE27549-5	GSM680366	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680366.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22599	NFA10
GSM680365 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Knox18_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS28414	Knox18	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680365 extract 1	genomic DNA	P-GSE27549-4	GSM680365 LE 1	biotin	P-GSE27549-5	GSM680365	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680365.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS28414	Knox18
GSM680364 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Knox18_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS28414	Knox18	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680364 extract 1	genomic DNA	P-GSE27549-4	GSM680364 LE 1	biotin	P-GSE27549-5	GSM680364	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680364.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS28414	Knox18
GSM680363 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Knox18_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS28414	Knox18	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680363 extract 1	genomic DNA	P-GSE27549-4	GSM680363 LE 1	biotin	P-GSE27549-5	GSM680363	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680363.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS28414	Knox18
GSM680362 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_HR5_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22596	HR5	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680362 extract 1	genomic DNA	P-GSE27549-4	GSM680362 LE 1	biotin	P-GSE27549-5	GSM680362	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680362.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22596	HR5
GSM680361 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_HR5_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22596	HR5	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680361 extract 1	genomic DNA	P-GSE27549-4	GSM680361 LE 1	biotin	P-GSE27549-5	GSM680361	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680361.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22596	HR5
GSM680360 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_HR5_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22596	HR5	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680360 extract 1	genomic DNA	P-GSE27549-4	GSM680360 LE 1	biotin	P-GSE27549-5	GSM680360	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680360.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22596	HR5
GSM680359 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_CIBC17_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22603	CIBC17	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680359 extract 1	genomic DNA	P-GSE27549-4	GSM680359 LE 1	biotin	P-GSE27549-5	GSM680359	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680359.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22603	CIBC17
GSM680358 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_CIBC17_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22603	CIBC17	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680358 extract 1	genomic DNA	P-GSE27549-4	GSM680358 LE 1	biotin	P-GSE27549-5	GSM680358	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680358.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22603	CIBC17
GSM680357 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_CIBC17_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22603	CIBC17	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680357 extract 1	genomic DNA	P-GSE27549-4	GSM680357 LE 1	biotin	P-GSE27549-5	GSM680357	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680357.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS22603	CIBC17
GSM680356 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ts1_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6868	Ts1	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680356 extract 1	genomic DNA	P-GSE27549-4	GSM680356 LE 1	biotin	P-GSE27549-5	GSM680356	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680356.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6868	Ts1
GSM680355 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ts1_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6868	Ts1	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680355 extract 1	genomic DNA	P-GSE27549-4	GSM680355 LE 1	biotin	P-GSE27549-5	GSM680355	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680355.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6868	Ts1
GSM680354 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ts1_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6868	Ts1	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680354 extract 1	genomic DNA	P-GSE27549-4	GSM680354 LE 1	biotin	P-GSE27549-5	GSM680354	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680354.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6868	Ts1
GSM680353 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Col_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Col	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680353 extract 1	genomic DNA	P-GSE27549-4	GSM680353 LE 1	biotin	P-GSE27549-5	GSM680353	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680353.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6673	Col
GSM680352 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Col_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Col	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680352 extract 1	genomic DNA	P-GSE27549-4	GSM680352 LE 1	biotin	P-GSE27549-5	GSM680352	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680352.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6673	Col
GSM680351 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Col_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Col	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680351 extract 1	genomic DNA	P-GSE27549-4	GSM680351 LE 1	biotin	P-GSE27549-5	GSM680351	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680351.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6673	Col
GSM680350 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Bur0_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6643	Bur0	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680350 extract 1	genomic DNA	P-GSE27549-4	GSM680350 LE 1	biotin	P-GSE27549-5	GSM680350	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680350.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6643	Bur0
GSM680349 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Bur0_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6643	Bur0	leaf	EFO	EFO_0000993	P-GSE27549-2	P-GSE27549-1	P-GSE27549-3	GSM680349 extract 1	genomic DNA	P-GSE27549-4	GSM680349 LE 1	biotin	P-GSE27549-5	GSM680349	A-AFFY-2	  	P-GSE27549-6	P-GSE27549-7	GSM680349.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27549/E-GEOD-27549.raw.1.zip	CS6643	Bur0
