Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue [age]	Unit [time unit]
GSM1262614 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r1 mutant	myb3r1_seedling_9d	single mutant of myb3r1, seedling, 9d-old	single mutant of myb3r1, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262614 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262614 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262614	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262614_myb3r1_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262614_sample_table.txt norm	GSM1262614_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 mutant	whole organism	9	day
GSM1262622 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r1 myb3r3 myb3r4 myb3r5 quadruple mutant	myb3r1/3/4/5_seedling_9d	quaradple mutant of myb3r1 myb3r3 myb3r4 myb3r5, seedling, 9d-old	quaradple mutant of myb3r1 myb3r3 myb3r4 myb3r5, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262622 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262622 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262622	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262622_myb3r1_3_4_5_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262622_sample_table.txt norm	GSM1262622_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r4 myb3r5 quadruple mutant	whole organism	9	day
GSM1262629 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	5	day	seedling	leaf	myb3r1 myb3r3 myb3r5 triple mutant	myb3r1/3/5_leaf_5d-2	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 5d-old	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 5d-old, rep2	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262629 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262629 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262629	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262629_myb3r1_3_5_leaf_5d-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262629_sample_table.txt norm	GSM1262629_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r5 triple mutant	leaf	5	day
GSM1262628 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	5	day	seedling	leaf	myb3r1 myb3r3 myb3r5 triple mutant	myb3r1/3/5_leaf_5d-1	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 5d-old	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 5d-old, rep1	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262628 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262628 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262628	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262628_myb3r1_3_5_leaf_5d-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262628_sample_table.txt norm	GSM1262628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r5 triple mutant	leaf	5	day
GSM1262632 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	myb3r1 myb3r3 myb3r5 triple mutant	myb3r1/3/5_leaf_15d-3	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old, rep3	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262632 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262632 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262632	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262632_myb3r1_3_5_leaf_15d-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262632_sample_table.txt norm	GSM1262632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r5 triple mutant	leaf	15	day
GSM1262631 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	myb3r1 myb3r3 myb3r5 triple mutant	myb3r1/3/5_leaf_15d-2	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old, rep2	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262631 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262631 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262631	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262631_myb3r1_3_5_leaf_15d-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262631_sample_table.txt norm	GSM1262631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r5 triple mutant	leaf	15	day
GSM1262630 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	myb3r1 myb3r3 myb3r5 triple mutant	myb3r1/3/5_leaf_15d-1	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old	triple mutant of myb3r1 myb3r3 myb3r5, first leaf pairs, 15d-old, rep1	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262630 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262630 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262630	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262630_myb3r1_3_5_leaf_15d-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262630_sample_table.txt norm	GSM1262630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r3 myb3r5 triple mutant	leaf	15	day
GSM1262618 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r1 myb3r4 double mutant	myb3r1/4_seedling_9d	double mutant of myb3r1 myb3r4, seedling, 9d-old	double mutant of myb3r1 myb3r4, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262618 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262618 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262618	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262618_myb3r1_4_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262618_sample_table.txt norm	GSM1262618_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r1 myb3r4 double mutant	whole organism	9	day
GSM1262615 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r3 mutant	myb3r3_seedling_9d	single mutant of myb3r3, seedling, 9d-old	single mutant of myb3r3, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262615 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262615 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262615	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262615_myb3r3_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262615_sample_table.txt norm	GSM1262615_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r3 mutant	whole organism	9	day
GSM1262621 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r3 myb3r4 myb3r5 triple mutant	myb3r3/4/5_seedling_9d	triple mutant of myb3r3 myb3r4 myb3r5, seedling, 9d-old	triple mutant of myb3r3 myb3r4 myb3r5, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262621 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262621 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262621	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262621_myb3r3_4_5_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262621_sample_table.txt norm	GSM1262621_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r3 myb3r4 myb3r5 triple mutant	whole organism	9	day
