Source Name	Material Type	Characteristics [organism]	Characteristics[ecotype]	Description	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[infect]	Factor Value[genotype]
GSE6556GSM151702	organism part	Arabidopsis thaliana	Col-0	Arabidopsis thaliana Col-0 leaves, 48 hpi with Pst DC3000(avrRpt2):  Gene expression data of wild type Columbia-0 leaves after infection with Pst DC3000(avrRpt2). Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: 48 hpi with Pst DC3000(avrRpt2) leaves	wild type genotype	5	week	leaf	GSE6556GSM151702 sample	P-G6556-2	GSE6556GSM151702 extract	total RNA	P-G6556-1	GSE6556GSM151702 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 48 hpi, biological replicate 3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 48 hpi, biological replicate 3	GSM151702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	Pseudomonas syringae pv tomato DC3000(avrRpt2)	wild type genotype
GSE6556GSM151695	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana Col-0 leaves, uninoculated:  Gene expression data of wild type Columbia-0 leaves, uninoculated. Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: uninoculated leaves	wild type genotype	5	week	leaf	GSE6556GSM151695 sample	P-G6556-2	GSE6556GSM151695 extract	total RNA	P-G6556-1	GSE6556GSM151695 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 uninoculated, biological replicate 2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 uninoculated, biological replicate 2	GSM151695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	none	wild type genotype
GSE6556GSM151705	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana mutant gh3.5-1D leaves, 48 hpi with Pst DC3000(avrRpt2):  Gene expression data of mutant gh3.5-1D leaves after infection with Pst DC3000(avrRpt2). Genotype: gh3.5-1D, mutant Age: 5 week-old Tissue: 48 hpi with Pst DC3000(avrRpt2) leaves	gh3.5-1D heterozygous mutant	5	week	leaf	GSE6556GSM151705 sample	P-G6556-2	GSE6556GSM151705 extract	total RNA	P-G6556-1	GSE6556GSM151705 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	gh3.5-1D 48 hpi, biological replicate 3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	gh3.5-1D 48 hpi, biological replicate 3	GSM151705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	Pseudomonas syringae pv tomato DC3000(avrRpt2)	gh3.5-1D heterozygous mutant
GSE6556GSM151701	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana Col-0 leaves, 48 hpi with Pst DC3000(avrRpt2):  Gene expression data of wild type Columbia-0 leaves after infection with Pst DC3000(avrRpt2). Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: 48 hpi with Pst DC3000(avrRpt2) leaves	wild type genotype	5	week	leaf	GSE6556GSM151701 sample	P-G6556-2	GSE6556GSM151701 extract	total RNA	P-G6556-1	GSE6556GSM151701 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 48 hpi, biological replicate 2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 48 hpi, biological replicate 2	GSM151701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	Pseudomonas syringae pv tomato DC3000(avrRpt2)	wild type genotype
GSE6556GSM151700	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana Col-0 leaves, 48 hpi with Pst DC3000(avrRpt2):  Gene expression data of wild type Columbia-0 leaves after infection with Pst DC3000(avrRpt2). Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: 48 hpi with Pst DC3000(avrRpt2) leaves	wild type genotype	5	week	leaf	GSE6556GSM151700 sample	P-G6556-2	GSE6556GSM151700 extract	total RNA	P-G6556-1	GSE6556GSM151700 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 48 hpi, biological replicate 1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 48 hpi, biological replicate 1	GSM151700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	Pseudomonas syringae pv tomato DC3000(avrRpt2)	wild type genotype
GSE6556GSM151699	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana mutant gh3.5-1D leaves, uninoculated:  Gene expression data of mutant gh3.5-1D leaves, uninoculated. Genotype: gh3.5-1D, mutant Age: 5 week-old Tissue: uninoculated leaves	gh3.5-1D heterozygous mutant	5	week	leaf	GSE6556GSM151699 sample	P-G6556-2	GSE6556GSM151699 extract	total RNA	P-G6556-1	GSE6556GSM151699 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	gh3.5-1D uninoculated, biological replicate 3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	gh3.5-1D uninoculated, biological replicate 3	GSM151699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	none	gh3.5-1D heterozygous mutant
GSE6556GSM151698	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana mutant gh3.5-1D leaves, uninoculated:  Gene expression data of mutant gh3.5-1D leaves, uninoculated. Genotype: gh3.5-1D, mutant Age: 5 week-old Tissue: uninoculated leaves	gh3.5-1D heterozygous mutant	5	week	leaf	GSE6556GSM151698 sample	P-G6556-2	GSE6556GSM151698 extract	total RNA	P-G6556-1	GSE6556GSM151698 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	gh3.5-1D uninoculated, biological replicate 2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	gh3.5-1D uninoculated, biological replicate 2	GSM151698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	none	gh3.5-1D heterozygous mutant
GSE6556GSM151694	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana Col-0 leaves, uninoculated:  Gene expression data of wild type Columbia-0 leaves, uninoculated. Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: uninoculated leaves	wild type genotype	5	week	leaf	GSE6556GSM151694 sample	P-G6556-2	GSE6556GSM151694 extract	total RNA	P-G6556-1	GSE6556GSM151694 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 uninoculated, biological replicate 1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 uninoculated, biological replicate 1	GSM151694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	none	wild type genotype
GSE6556GSM151704	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana mutant gh3.5-1D leaves, 48 hpi with Pst DC3000(avrRpt2):  Gene expression data of mutant gh3.5-1D leaves after infection with Pst DC3000(avrRpt2). Genotype: gh3.5-1D, mutant Age: 5 week-old Tissue: 48 hpi with Pst DC3000(avrRpt2) leaves	gh3.5-1D heterozygous mutant	5	week	leaf	GSE6556GSM151704 sample	P-G6556-2	GSE6556GSM151704 extract	total RNA	P-G6556-1	GSE6556GSM151704 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	gh3.5-1D 48 hpi, biological replicate 2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	gh3.5-1D 48 hpi, biological replicate 2	GSM151704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	Pseudomonas syringae pv tomato DC3000(avrRpt2)	gh3.5-1D heterozygous mutant
GSE6556GSM151696	organism part	Arabidopsis thaliana	Col0	Arabidopsis thaliana Col-0 leaves, uninoculated:  Gene expression data of wild type Columbia-0 leaves, uninoculated. Genotype: Columbia-0, wild-type (Col-0) Age: 5 week-old Tissue: uninoculated leaves	wild type genotype	5	week	leaf	GSE6556GSM151696 sample	P-G6556-2	GSE6556GSM151696 extract	total RNA	P-G6556-1	GSE6556GSM151696 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 uninoculated, biological replicate 3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0 uninoculated, biological replicate 3	GSM151696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.raw.1.zip	E-GEOD-6556-processed-data-1629125260.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6556/E-GEOD-6556.processed.1.zip	none	wild type genotype
