Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue [growth condition]
GSM678851 1	Gene expression data from roots of HRE1-RNAi24 knock-down line in hypoxic condition	AtERF73/HRE1-RNAi20 seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678851 extract 1	total RNA	P-GSE27475-5	GSM678851 LE 1	biotin	P-GSE27475-6	GSM678851	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678851_BH0029-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678851_sample_table.txt norm	GSM678851_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	hypoxia
GSM678850 1	Gene expression data from roots of HRE1-RNAi23 knock-down line in hypoxic condition	AtERF73/HRE1-RNAi20 seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678850 extract 1	total RNA	P-GSE27475-5	GSM678850 LE 1	biotin	P-GSE27475-6	GSM678850	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678850_1979.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678850_sample_table.txt norm	GSM678850_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	hypoxia
GSM678849 1	Gene expression data from roots of HRE1-RNAi22 knock-down line in hypoxic condition	AtERF73/HRE1-RNAi20 seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678849 extract 1	total RNA	P-GSE27475-5	GSM678849 LE 1	biotin	P-GSE27475-6	GSM678849	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678849_BH0018-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678849_sample_table.txt norm	GSM678849_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	hypoxia
GSM678848 1	Gene expression data from roots of HRE1-RNAi21 knock-down line in hypoxic condition	AtERF73/HRE1-RNAi20 seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678848 extract 1	total RNA	P-GSE27475-5	GSM678848 LE 1	biotin	P-GSE27475-6	GSM678848	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678848_1977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678848_sample_table.txt norm	GSM678848_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	hypoxia
GSM678847 1	Gene expression data from roots of wild-type Arabidopsis seedling in hypoxic condition	wild-type Arabidopsis seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	control	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678847 extract 1	total RNA	P-GSE27475-5	GSM678847 LE 1	biotin	P-GSE27475-6	GSM678847	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678847_BH0029-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678847_sample_table.txt norm	GSM678847_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	wild type	hypoxia
GSM678846 1	Gene expression data from roots of wild-type Arabidopsis seedling in hypoxic condition	wild-type Arabidopsis seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	control	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678846 extract 1	total RNA	P-GSE27475-5	GSM678846 LE 1	biotin	P-GSE27475-6	GSM678846	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678846_BH0018-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678846_sample_table.txt norm	GSM678846_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	wild type	hypoxia
GSM678845 1	Gene expression data from roots of wild-type Arabidopsis seedling in hypoxic condition	wild-type Arabidopsis seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	control	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678845 extract 1	total RNA	P-GSE27475-5	GSM678845 LE 1	biotin	P-GSE27475-6	GSM678845	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678845_1975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678845_sample_table.txt norm	GSM678845_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	wild type	hypoxia
GSM678844 1	Gene expression data from roots of wild-type Arabidopsis seedling in hypoxic condition	wild-type Arabidopsis seedlings upon hypoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	control	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678844 extract 1	total RNA	P-GSE27475-5	GSM678844 LE 1	biotin	P-GSE27475-6	GSM678844	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678844_BH0018-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678844_sample_table.txt norm	GSM678844_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	wild type	hypoxia
GSM678843 1	Gene expression data from roots of HRE1-RNAi23 knock-down line in normoxic condition	AtERF73/HRE1-RNAi20 seedlings upon normoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678843 extract 1	total RNA	P-GSE27475-5	GSM678843 LE 1	biotin	P-GSE27475-6	GSM678843	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678843_BH0029-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678843_sample_table.txt norm	GSM678843_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	control
GSM678842 1	Gene expression data from roots of HRE1-RNAi22 knock-down line in normoxic condition	AtERF73/HRE1-RNAi20 seedlings upon normoxia 6 hrs	Arabidopsis thaliana	14-d-old seedling	Columbia	HRE1-RNAi20	root	seedling	P-GSE27475-2	P-GSE27475-3	P-GSE27475-4	GSM678842 extract 1	total RNA	P-GSE27475-5	GSM678842 LE 1	biotin	P-GSE27475-6	GSM678842	A-AFFY-2	P-GSE27475-7	P-GSE27475-8	GSM678842_1973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.raw.1.zip	P-GSE27475-1	GSM678842_sample_table.txt norm	GSM678842_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27475/E-GEOD-27475.processed.1.zip	HRE1-RNAi20	control
