Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[cell type]	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]
GSE17824GSM444750	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 100nM IXB, 6h, Control CEL files are the same as for the TA treatment.. agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 100nM IXB, 6h"	agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444750 sample	P-G17824-5	GSE17824GSM444750 extract	total_RNA	P-G17824-3	GSE17824GSM444750 LE biotin	biotin	synthetic_RNA	IXB_induced_Rep2	A-AFFY-2	P-AFFY-6	GSM444750.CEL	GSM444750.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	isoxaben	100	nanomolar
GSE17824GSM444749	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 100nM IXB, 6h, Control CEL files are the same as for the TA treatment.. agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 100nM IXB, 6h"	agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444749 sample	P-G17824-5	GSE17824GSM444749 extract	total_RNA	P-G17824-3	GSE17824GSM444749 LE biotin	biotin	synthetic_RNA	IXB_induced_Rep1	A-AFFY-2	P-AFFY-6	GSM444749.CEL	GSM444749.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	isoxaben	100	nanomolar
GSE17824GSM444752	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 100nM IXB, 6h, Control CEL files are the same as for the TA treatment.. agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 100nM IXB, 6h"	agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444752 sample	P-G17824-5	GSE17824GSM444752 extract	total_RNA	P-G17824-3	GSE17824GSM444752 LE biotin	biotin	synthetic_RNA	IXB_induced_Rep4	A-AFFY-2	P-AFFY-6	GSM444752.CEL	GSM444752.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	isoxaben	100	nanomolar
GSE17824GSM444751	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 100nM IXB, 6h, Control CEL files are the same as for the TA treatment.. agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 100nM IXB, 6h"	agent: 100nM IXB; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444751 sample	P-G17824-5	GSE17824GSM444751 extract	total_RNA	P-G17824-3	GSE17824GSM444751 LE biotin	biotin	synthetic_RNA	IXB_induced_Rep3	A-AFFY-2	P-AFFY-6	GSM444751.CEL	GSM444751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	isoxaben	100	nanomolar
GSE17824GSM444739	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the IXB treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-2	P-G17824-1	GSE17824GSM444739 sample	P-G17824-5	GSE17824GSM444739 extract	total_RNA	P-G17824-3	GSE17824GSM444739 LE biotin	biotin	synthetic_RNA	"Methanol_Rep3, TA"	A-AFFY-2	P-AFFY-6	GSM444739.CEL	GSM444739.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-4	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
GSE17824GSM444748	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the TA treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444748 sample	P-G17824-5	GSE17824GSM444748 extract	total_RNA	P-G17824-3	GSE17824GSM444748 LE biotin	biotin	synthetic_RNA	"Methanol_Rep4, IXB"	A-AFFY-2	P-AFFY-6	GSM444748.CEL	GSM444748.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
GSE17824GSM444745	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the TA treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444745 sample	P-G17824-5	GSE17824GSM444745 extract	total_RNA	P-G17824-3	GSE17824GSM444745 LE biotin	biotin	synthetic_RNA	"Methanol_Rep1, IXB"	A-AFFY-2	P-AFFY-6	GSM444745.CEL	GSM444745.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
GSE17824GSM444746	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the TA treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-6	P-G17824-1	GSE17824GSM444746 sample	P-G17824-5	GSE17824GSM444746 extract	total_RNA	P-G17824-3	GSE17824GSM444746 LE biotin	biotin	synthetic_RNA	"Methanol_Rep2, IXB"	A-AFFY-2	P-AFFY-6	GSM444746.CEL	GSM444746.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-7	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
GSE17824GSM444737	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the IXB treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-2	P-G17824-1	GSE17824GSM444737 sample	P-G17824-5	GSE17824GSM444737 extract	total_RNA	P-G17824-3	GSE17824GSM444737 LE biotin	biotin	synthetic_RNA	"Methanol_Rep1, TA"	A-AFFY-2	P-AFFY-6	GSM444737.CEL	GSM444737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-4	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
GSE17824GSM444738	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	suspension culture	"100mL suspension cells, 20�L methanol, 6h, Control CEL files are the same as for the IXB treatment.. agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture"	"100mL suspension cells, 20�L methanol, 6h"	agent: 20�L methanol; genotype: Ecotype Landsberg erecta; tissue: Suspension cells; age: Third day after subculture	P-G17824-2	P-G17824-1	GSE17824GSM444738 sample	P-G17824-5	GSE17824GSM444738 extract	total_RNA	P-G17824-3	GSE17824GSM444738 LE biotin	biotin	synthetic_RNA	"Methanol_Rep2, TA"	A-AFFY-2	P-AFFY-6	GSM444738.CEL	GSM444738.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.raw.1.zip	P-G17824-4	E-GEOD-17824-processed-data-1799392766.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17824/E-GEOD-17824.processed.1.zip	none	  	        
