Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[infect]	FactorValue[genotype]
GSE15236GSM380433	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, mock treatment, Expression data from Col-0 leaves harvested 48 hours after the Mock treatment.. genotype: WT; tissue: leaf; treatment: water	Col-0 leaves, mock treatment	genotype: WT; tissue: leaf; treatment: water	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380433 sample	organism_part	P-G15236-5	GSE15236GSM380433 extract	total_RNA	P-G15236-3	GSE15236GSM380433 LE biotin	synthetic_RNA	biotin	Mock Col-0 leaf, rep1	A-AFFY-2	GSM380433	GSM380433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380433 Norm	GSM380433_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	wild type
GSE15236GSM380434	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, mock treatment, Expression data from Col-0 leaves harvested 48 hours after the Mock treatment.. genotype: WT; tissue: leaf; treatment: water	Col-0 leaves, mock treatment	genotype: WT; tissue: leaf; treatment: water	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380434 sample	organism_part	P-G15236-5	GSE15236GSM380434 extract	total_RNA	P-G15236-3	GSE15236GSM380434 LE biotin	synthetic_RNA	biotin	Mock Col-0 leaf, rep2	A-AFFY-2	GSM380434	GSM380434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380434 Norm	GSM380434_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	wild type
GSE15236GSM380435	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, mock treatment, Expression data from Col-0 leaves harvested 48 hours after the Mock treatment.. genotype: WT; tissue: leaf; treatment: water	Col-0 leaves, mock treatment	genotype: WT; tissue: leaf; treatment: water	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380435 sample	organism_part	P-G15236-5	GSE15236GSM380435 extract	total_RNA	P-G15236-3	GSE15236GSM380435 LE biotin	synthetic_RNA	biotin	Mock Col-0 leaf, rep3	A-AFFY-2	GSM380435	GSM380435.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380435 Norm	GSM380435_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	wild type
GSE15236GSM380436	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, mock treatment, Expression data from Col-0 leaves harvested 48 hours after the Mock treatment.. genotype: WT; tissue: leaf; treatment: water	Col-0 leaves, mock treatment	genotype: WT; tissue: leaf; treatment: water	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380436 sample	organism_part	P-G15236-5	GSE15236GSM380436 extract	total_RNA	P-G15236-3	GSE15236GSM380436 LE biotin	synthetic_RNA	biotin	Mock Col-0 leaf, rep4	A-AFFY-2	GSM380436	GSM380436.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380436 Norm	GSM380436_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	wild type
GSE15236GSM380437	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pft1 leaves, mock treatment, Expression data from pft1 leaves harvested 48 hours after the Mock treatment.. genotype: pft1 mutant; tissue: leaf; treatment: water	pft1 leaves, mock treatment	genotype: pft1 mutant; tissue: leaf; treatment: water	Col-0	pft1 mutant	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380437 sample	organism_part	P-G15236-5	GSE15236GSM380437 extract	total_RNA	P-G15236-3	GSE15236GSM380437 LE biotin	synthetic_RNA	biotin	Mock pft1 leaf, rep1	A-AFFY-2	GSM380437	GSM380437.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380437 Norm	GSM380437_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	pft1 mutant
GSE15236GSM380438	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pft1 leaves, mock treatment, Expression data from pft1 leaves harvested 48 hours after the Mock treatment.. genotype: pft1 mutant; tissue: leaf; treatment: water	pft1 leaves, mock treatment	genotype: pft1 mutant; tissue: leaf; treatment: water	Col-0	pft1 mutant	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380438 sample	organism_part	P-G15236-5	GSE15236GSM380438 extract	total_RNA	P-G15236-3	GSE15236GSM380438 LE biotin	synthetic_RNA	biotin	Mock pft1 leaf, rep2	A-AFFY-2	GSM380438	GSM380438.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380438 Norm	GSM380438_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	pft1 mutant
GSE15236GSM380439	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pft1 leaves, mock treatment, Expression data from pft1 leaves harvested 48 hours after the Mock treatment.. genotype: pft1 mutant; tissue: leaf; treatment: water	pft1 leaves, mock treatment	genotype: pft1 mutant; tissue: leaf; treatment: water	Col-0	pft1 mutant	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380439 sample	organism_part	P-G15236-5	GSE15236GSM380439 extract	total_RNA	P-G15236-3	GSE15236GSM380439 LE biotin	synthetic_RNA	biotin	Mock pft1 leaf, rep3	A-AFFY-2	GSM380439	GSM380439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380439 Norm	GSM380439_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	pft1 mutant
GSE15236GSM380440	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pft1 leaves, mock treatment, Expression data from pft1 leaves harvested 48 hours after the Mock treatment.. genotype: pft1 mutant; tissue: leaf; treatment: water	pft1 leaves, mock treatment	genotype: pft1 mutant; tissue: leaf; treatment: water	Col-0	pft1 mutant	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380440 sample	organism_part	P-G15236-5	GSE15236GSM380440 extract	total_RNA	P-G15236-3	GSE15236GSM380440 LE biotin	synthetic_RNA	biotin	Mock pft1 leaf, rep4	A-AFFY-2	GSM380440	GSM380440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380440 Norm	GSM380440_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	none	pft1 mutant
GSE15236GSM380441	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, inoculation with F. oxysporum, Expression data from Col-0 leaves harvested 48 hours after inoculation with F. oxysporum.. genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0 leaves, inoculation with F. oxysporum	genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380441 sample	organism_part	P-G15236-5	GSE15236GSM380441 extract	total_RNA	P-G15236-3	GSE15236GSM380441 LE biotin	synthetic_RNA	biotin	Infected Col-0 leaf, rep1	A-AFFY-2	GSM380441	GSM380441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380441 Norm	GSM380441_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	Fusarium oxysporum	wild type
GSE15236GSM380442	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, inoculation with F. oxysporum, Expression data from Col-0 leaves harvested 48 hours after inoculation with F. oxysporum.. genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0 leaves, inoculation with F. oxysporum	genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380442 sample	organism_part	P-G15236-5	GSE15236GSM380442 extract	total_RNA	P-G15236-3	GSE15236GSM380442 LE biotin	synthetic_RNA	biotin	Infected Col-0 leaf, rep2	A-AFFY-2	GSM380442	GSM380442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380442 Norm	GSM380442_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	Fusarium oxysporum	wild type
GSE15236GSM380443	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 leaves, inoculation with F. oxysporum, Expression data from Col-0 leaves harvested 48 hours after inoculation with F. oxysporum.. genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0 leaves, inoculation with F. oxysporum	genotype: WT; tissue: leaf; treatment: F. oxysporum	Col-0	wild type	leaf	P-G15236-1	P-G15236-2	GSE15236GSM380443 sample	organism_part	P-G15236-5	GSE15236GSM380443 extract	total_RNA	P-G15236-3	GSE15236GSM380443 LE biotin	synthetic_RNA	biotin	Infected Col-0 leaf, rep3	A-AFFY-2	GSM380443	GSM380443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.raw.1.zip	P-G15236-4	GSE15236GSM380443 Norm	GSM380443_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15236/E-GEOD-15236.processed.1.zip	ATH1-121501.CDF	Fusarium oxysporum	wild type
