Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[TimeUnit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[organism part]	FactorValue[growth condition]
GSM744755 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 5.7, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744755 extract 1	total RNA	P-GSE30095-5	GSM744755 LE 1	biotin	P-GSE30095-6	GSM744755	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744755.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744755_sample_table.txt norm	GSM744755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	standard pH (pH 5.7) 
GSM744754 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 5.7, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744754 extract 1	total RNA	P-GSE30095-5	GSM744754 LE 1	biotin	P-GSE30095-6	GSM744754	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744754.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744754_sample_table.txt norm	GSM744754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	standard pH (pH 5.7) 
GSM744753 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 5.7, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744753 extract 1	total RNA	P-GSE30095-5	GSM744753 LE 1	biotin	P-GSE30095-6	GSM744753	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744753.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744753_sample_table.txt norm	GSM744753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	standard pH (pH 5.7) 
GSM744752 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 4.6, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744752 extract 1	total RNA	P-GSE30095-5	GSM744752 LE 1	biotin	P-GSE30095-6	GSM744752	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744752.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744752_sample_table.txt norm	GSM744752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	low pH (pH 4.6) 
GSM744751 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 4.6, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744751 extract 1	total RNA	P-GSE30095-5	GSM744751 LE 1	biotin	P-GSE30095-6	GSM744751	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744751_sample_table.txt norm	GSM744751_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	low pH (pH 4.6) 
GSM744750 1	Protoplasted and FACS sorted Arabidopsis root cells from the stele	"Arabidopsis root cells, stele, pH 4.6, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root stele	Col-0	pWOL::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744750 extract 1	total RNA	P-GSE30095-5	GSM744750 LE 1	biotin	P-GSE30095-6	GSM744750	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744750.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744750_sample_table.txt norm	GSM744750_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root stele	low pH (pH 4.6) 
GSM744749 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 5.7, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744749 extract 1	total RNA	P-GSE30095-5	GSM744749 LE 1	biotin	P-GSE30095-6	GSM744749	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744749.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744749_sample_table.txt norm	GSM744749_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	standard pH (pH 5.7) 
GSM744748 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 5.7, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744748 extract 1	total RNA	P-GSE30095-5	GSM744748 LE 1	biotin	P-GSE30095-6	GSM744748	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744748.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744748_sample_table.txt norm	GSM744748_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	standard pH (pH 5.7) 
GSM744747 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 5.7, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744747 extract 1	total RNA	P-GSE30095-5	GSM744747 LE 1	biotin	P-GSE30095-6	GSM744747	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744747.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744747_sample_table.txt norm	GSM744747_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	standard pH (pH 5.7) 
GSM744746 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 4.6, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744746 extract 1	total RNA	P-GSE30095-5	GSM744746 LE 1	biotin	P-GSE30095-6	GSM744746	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744746.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744746_sample_table.txt norm	GSM744746_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	low pH (pH 4.6) 
GSM744745 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 4.6, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744745 extract 1	total RNA	P-GSE30095-5	GSM744745 LE 1	biotin	P-GSE30095-6	GSM744745	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744745.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744745_sample_table.txt norm	GSM744745_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	low pH (pH 4.6) 
