Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM713260 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 30 μM DFPM and 10 μM ABA in water as a treatment for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with abscisic acid and DFPM	ABADFPM_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713260 extract 1	total RNA	P-GSE28800-3	  	GSM713260 LE 1	Biotin	P-GSE28800-4	  	GSM713260	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713260_sample_table.txt norm	GSM713260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713259 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 30 μM DFPM and 10 μM ABA in water as a treatment for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with abscisic acid and DFPM	ABADFPM_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713259 extract 1	total RNA	P-GSE28800-3	  	GSM713259 LE 1	Biotin	P-GSE28800-4	  	GSM713259	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713259.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713259_sample_table.txt norm	GSM713259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713258 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 30 μM DFPM and 10 μM ABA in water as a treatment for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with abscisic acid and DFPM	ABADFPM_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713258 extract 1	total RNA	P-GSE28800-3	  	GSM713258 LE 1	Biotin	P-GSE28800-4	  	GSM713258	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713258_sample_table.txt norm	GSM713258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713257 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 10 μM ABA in water as a treatment for 6 hours	whole seedling treated with abscisic acid	ABA_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713257 extract 1	total RNA	P-GSE28800-3	  	GSM713257 LE 1	Biotin	P-GSE28800-4	  	GSM713257	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713257_sample_table.txt norm	GSM713257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713256 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 10 μM ABA in water as a treatment for 6 hours	whole seedling treated with abscisic acid	ABA_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713256 extract 1	total RNA	P-GSE28800-3	  	GSM713256 LE 1	Biotin	P-GSE28800-4	  	GSM713256	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713256_sample_table.txt norm	GSM713256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713255 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 10 μM ABA in water as a treatment for 6 hours	whole seedling treated with abscisic acid	ABA_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713255 extract 1	total RNA	P-GSE28800-3	  	GSM713255 LE 1	Biotin	P-GSE28800-4	  	GSM713255	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713255_sample_table.txt norm	GSM713255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713254 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with  30 μM DFPM for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with [5-(3,4-Dichlorophenyl)Furan-2-yl]-Piperidin-1-ylMethanethione (DFPM)	DFPM_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713254 extract 1	total RNA	P-GSE28800-3	  	GSM713254 LE 1	Biotin	P-GSE28800-4	  	GSM713254	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713254_sample_table.txt norm	GSM713254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713253 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with  30 μM DFPM for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with [5-(3,4-Dichlorophenyl)Furan-2-yl]-Piperidin-1-ylMethanethione (DFPM)	DFPM_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713253 extract 1	total RNA	P-GSE28800-3	  	GSM713253 LE 1	Biotin	P-GSE28800-4	  	GSM713253	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713253_sample_table.txt norm	GSM713253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713252 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with  30 μM DFPM for 6 hours. DFPM was added 30 min prior to ABA treatment.	whole seedling treated with [5-(3,4-Dichlorophenyl)Furan-2-yl]-Piperidin-1-ylMethanethione (DFPM)	DFPM_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713252 extract 1	total RNA	P-GSE28800-3	  	GSM713252 LE 1	Biotin	P-GSE28800-4	  	GSM713252	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713252_sample_table.txt norm	GSM713252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
GSM713251 1	Plate grown 12-day-old seedlings were transferred into 6 well plates with 1:5000 (V/V) DMSO in water as a control	whole seedling	control_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12 day old plate grown seedling	Col0	P-GSE28800-2	  	GSM713251 extract 1	total RNA	P-GSE28800-3	  	GSM713251 LE 1	Biotin	P-GSE28800-4	  	GSM713251	A-AFFY-2	  	P-GSE28800-5	  	P-GSE28800-6	  	GSM713251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.raw.1.zip	P-GSE28800-1	  	GSM713251_sample_table.txt norm	GSM713251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28800/E-GEOD-28800.processed.1.zip
