Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [cultivar]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1520725 1	3 biological replicates: Replicate 1 = AFFY577B.CEL Replicate 1 = AFFY577B.CHP Replicate 2 = AFFY585B.CEL Replicate 2 = AFFY585B.CHP Replicate 3 = AFFY651B.CEL Replicate 3 = AFFY651B.CHP	Arabidopsis seedlings 6 hR, 1 �M EBR for 21 days	6E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520725 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520725 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520725	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520725_AFFY651B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520725_sample_table.txt norm	GSM1520725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520725 1	3 biological replicates: Replicate 1 = AFFY577B.CEL Replicate 1 = AFFY577B.CHP Replicate 2 = AFFY585B.CEL Replicate 2 = AFFY585B.CHP Replicate 3 = AFFY651B.CEL Replicate 3 = AFFY651B.CHP	Arabidopsis seedlings 6 hR, 1 �M EBR for 21 days	6E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520725 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520725 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520725	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520725_AFFY585B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520725_sample_table.txt norm	GSM1520725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520725 1	3 biological replicates: Replicate 1 = AFFY577B.CEL Replicate 1 = AFFY577B.CHP Replicate 2 = AFFY585B.CEL Replicate 2 = AFFY585B.CHP Replicate 3 = AFFY651B.CEL Replicate 3 = AFFY651B.CHP	Arabidopsis seedlings 6 hR, 1 �M EBR for 21 days	6E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520725 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520725 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520725	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520725_AFFY577B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520725_sample_table.txt norm	GSM1520725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520724 1	3 biological replicates: Replicate 1 = AFFY576B.CEL Replicate 1 = AFFY576B.CHP Replicate 2 = AFFY584B.CEL Replicate 2 = AFFY584B.CHP Replicate 3 = AFFY650B.CEL Replicate 3 = AFFY650B.CHP	Arabidopsis seedlings 6 hR, no-EBR	6C	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520724 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520724 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520724	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520724_AFFY650B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520724_sample_table.txt norm	GSM1520724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520724 1	3 biological replicates: Replicate 1 = AFFY576B.CEL Replicate 1 = AFFY576B.CHP Replicate 2 = AFFY584B.CEL Replicate 2 = AFFY584B.CHP Replicate 3 = AFFY650B.CEL Replicate 3 = AFFY650B.CHP	Arabidopsis seedlings 6 hR, no-EBR	6C	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520724 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520724 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520724	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520724_AFFY584B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520724_sample_table.txt norm	GSM1520724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520724 1	3 biological replicates: Replicate 1 = AFFY576B.CEL Replicate 1 = AFFY576B.CHP Replicate 2 = AFFY584B.CEL Replicate 2 = AFFY584B.CHP Replicate 3 = AFFY650B.CEL Replicate 3 = AFFY650B.CHP	Arabidopsis seedlings 6 hR, no-EBR	6C	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520724 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520724 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520724	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520724_AFFY576B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520724_sample_table.txt norm	GSM1520724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520723 1	3 biological replicates: Replicate 1 = AFFY575B.CEL Replicate 1 = AFFY575B.CHP Replicate 2 = AFFY583B.CEL Replicate 2 = AFFY583B.CHP Replicate 3 = AFFY649B.CEL Replicate 3 = AFFY649B.CHP	Arabidopsis seedlings 3 h HS, 1 �M EBR for 21 days	3E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520723 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520723 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520723	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520723_AFFY649B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520723_sample_table.txt norm	GSM1520723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520723 1	3 biological replicates: Replicate 1 = AFFY575B.CEL Replicate 1 = AFFY575B.CHP Replicate 2 = AFFY583B.CEL Replicate 2 = AFFY583B.CHP Replicate 3 = AFFY649B.CEL Replicate 3 = AFFY649B.CHP	Arabidopsis seedlings 3 h HS, 1 �M EBR for 21 days	3E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520723 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520723 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520723	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520723_AFFY583B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520723_sample_table.txt norm	GSM1520723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520723 1	3 biological replicates: Replicate 1 = AFFY575B.CEL Replicate 1 = AFFY575B.CHP Replicate 2 = AFFY583B.CEL Replicate 2 = AFFY583B.CHP Replicate 3 = AFFY649B.CEL Replicate 3 = AFFY649B.CHP	Arabidopsis seedlings 3 h HS, 1 �M EBR for 21 days	3E	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520723 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520723 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520723	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520723_AFFY575B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520723_sample_table.txt norm	GSM1520723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
GSM1520722 1	3 biological replicates: Replicate 1 = AFFY574B.CEL Replicate 1 = AFFY574B.CHP Replicate 2 = AFFY582B.CEL Replicate 2 = AFFY582B.CHP Replicate 3 = AFFY648B.CEL Replicate 3 = AFFY648B.CHP	Arabidopsis seedlings 3 h HS, no-EBR	3C	21 days	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot tissue above medium	P-GSE62163-2	ArrayExpress	P-GSE62163-3	ArrayExpress	P-GSE62163-4	ArrayExpress	GSM1520722 extract 1	total RNA	P-GSE62163-5	ArrayExpress	GSM1520722 LE 1	biotin	P-GSE62163-6	ArrayExpress	GSM1520722	A-AFFY-2	ArrayExpress	array assay	P-GSE62163-7	ArrayExpress	GSM1520722_AFFY648B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.raw.1.zip	P-GSE62163-1	ArrayExpress	GSM1520722_sample_table.txt norm	GSM1520722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62163/E-GEOD-62163.processed.1.zip
