Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[ecotype]
GSE6203GSM143304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Col-0	~6 week-old leaves:  DNA sample for Bulk Segregant analysis from http://naturalsystems.uchicago.edu/naturalvariation/methods/ColLerCEL.zip Borevitz J. Array Genotyping and Mapping, Arabidopsis Protocols. Age:~6 weeks Tissue:Leaves	GSE6203GSM143304 sample	P-G6203-2	GSE6203GSM143304 extract	genomic_DNA	P-G6203-1	GSE6203GSM143304 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	col1DNA	A-AFFY-2	P-AFFY-6	col1DNA	GSM143304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Col-0
GSE6203GSM143310	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Tsu-1	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143310 sample	P-G6203-2	GSE6203GSM143310 extract	genomic_DNA	P-G6203-1	GSE6203GSM143310 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Tsu_genomic_hyb_1	A-AFFY-2	P-AFFY-6	Tsu_genomic_hyb_1	GSM143310.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Tsu-1
GSE6203GSM143298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Ts-1 x Col-0	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143298 sample	P-G6203-2	GSE6203GSM143298 extract	genomic_DNA	P-G6203-1	GSE6203GSM143298 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Low_Na_seg_pool_ts_col_F2	A-AFFY-2	P-AFFY-6	Low_Na_seg_pool_ts_col_F2	GSM143298.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Ts-1 x Col-0
GSE6203GSM143309	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Tsu-1	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143309 sample	P-G6203-2	GSE6203GSM143309 extract	genomic_DNA	P-G6203-1	GSE6203GSM143309 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Tsu_genomic_hyb_2	A-AFFY-2	P-AFFY-6	Tsu_genomic_hyb_2	GSM143309.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Tsu-1
GSE6203GSM143299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Ts-1 x Col-0	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143299 sample	P-G6203-2	GSE6203GSM143299 extract	genomic_DNA	P-G6203-1	GSE6203GSM143299 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	High_Na_seg_pool_ts_col_F2	A-AFFY-2	P-AFFY-6	High_Na_seg_pool_ts_col_F2	GSM143299.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Ts-1 x Col-0
GSE6203GSM143301	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Ts-1	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143301 sample	P-G6203-2	GSE6203GSM143301 extract	genomic_DNA	P-G6203-1	GSE6203GSM143301 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Ts_genomic_hyb_2	A-AFFY-2	P-AFFY-6	Ts_genomic_hyb_2	GSM143301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Ts-1
GSE6203GSM143307	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Tsu-1 x Col-0	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143307 sample	P-G6203-2	GSE6203GSM143307 extract	genomic_DNA	P-G6203-1	GSE6203GSM143307 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Low_Na_seg_pool_tsu_col_F2	A-AFFY-2	P-AFFY-6	Low_Na_seg_pool_tsu_col_F2	GSM143307.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Tsu-1 x Col-0
GSE6203GSM143308	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Tsu-1	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143308 sample	P-G6203-2	GSE6203GSM143308 extract	genomic_DNA	P-G6203-1	GSE6203GSM143308 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Tsu_genomic_hyb_3	A-AFFY-2	P-AFFY-6	Tsu_genomic_hyb_3	GSM143308.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Tsu-1
GSE6203GSM143305	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Col-0	~6 week-old leaves:  DNA sample for Bulk Segregant analysis from http://naturalsystems.uchicago.edu/naturalvariation/methods/ColLerCEL.zip Borevitz J. Array Genotyping and Mapping, Arabidopsis Protocols. Age:~6 weeks Tissue:Leaves	GSE6203GSM143305 sample	P-G6203-2	GSE6203GSM143305 extract	genomic_DNA	P-G6203-1	GSE6203GSM143305 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	col2DNA	A-AFFY-2	P-AFFY-6	col2DNA	GSM143305.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Col-0
GSE6203GSM143300	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	week	leaf	Ts-1	~6 week-old leaves:  DNA sample for Bulk Segregant analysis. Age:~6 weeks Tissue:Leaves	GSE6203GSM143300 sample	P-G6203-2	GSE6203GSM143300 extract	genomic_DNA	P-G6203-1	GSE6203GSM143300 LE	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	Ts_genomic_hyb_3	A-AFFY-2	P-AFFY-6	Ts_genomic_hyb_3	GSM143300.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6203/E-GEOD-6203.raw.1.zip	Ts-1
