Source Name	Characteristics[organism part]	Characteristics[organism]	Characteristics[genotype]	Material Type	Protocol REF	Performer	Extract Name	Protocol REF	Performer	Labeled Extract Name	Label	Protocol REF	Performer	Assay Name	Technology Type	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[organism part]	Factor Value[genotype]
fax1_1_2	flower	Arabidopsis thaliana	fax1-1 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_1_2	P-MTAB-42168	Dr. Katrin Philippar	fax1_1_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_1_2	array assay	A-AFFY-2	ArrayExpress	fax1_1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	fax1-1 knockout
fax1_1_3	flower	Arabidopsis thaliana	fax1-1 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_1_3	P-MTAB-42168	Dr. Katrin Philippar	fax1_1_3:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_1_3	array assay	A-AFFY-2	ArrayExpress	fax1_1_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	fax1-1 knockout
WT2_1	flower	Arabidopsis thaliana	wild type, segregated from fax1-2	organism part	P-MTAB-42167	Dr. Katrin Philippar	WT2_1	P-MTAB-42168	Dr. Katrin Philippar	WT2_1:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	WT2_1	array assay	A-AFFY-2	ArrayExpress	WT2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	wild type, segregated from fax1-2
WT2_2	flower	Arabidopsis thaliana	wild type, segregated from fax1-2	organism part	P-MTAB-42167	Dr. Katrin Philippar	WT2_2	P-MTAB-42168	Dr. Katrin Philippar	WT2_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	WT2_2	array assay	A-AFFY-2	ArrayExpress	WT2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	wild type, segregated from fax1-2
fax1_2_1	flower	Arabidopsis thaliana	fax1-2 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_2_1	P-MTAB-42168	Dr. Katrin Philippar	fax1_2_1:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_2_1	array assay	A-AFFY-2	ArrayExpress	fax1_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	fax1-2 knockout
fax1_2_2	flower	Arabidopsis thaliana	fax1-2 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_2_2	P-MTAB-42168	Dr. Katrin Philippar	fax1_2_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_2_2	array assay	A-AFFY-2	ArrayExpress	fax1_2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	fax1-2 knockout
fax1_2_3	flower	Arabidopsis thaliana	fax1-2 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_2_3	P-MTAB-42168	Dr. Katrin Philippar	fax1_2_3:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_2_3	array assay	A-AFFY-2	ArrayExpress	fax1_2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	fax1-2 knockout
WT2_3	flower	Arabidopsis thaliana	wild type, segregated from fax1-2	organism part	P-MTAB-42167	Dr. Katrin Philippar	WT2_3	P-MTAB-42168	Dr. Katrin Philippar	WT2_3:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	WT2_3	array assay	A-AFFY-2	ArrayExpress	WT2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	wild type, segregated from fax1-2
Col_0_2	flower	Arabidopsis thaliana	Col-0 wild type	organism part	P-MTAB-42167	Dr. Katrin Philippar	Col_0_2	P-MTAB-42168	Dr. Katrin Philippar	Col_0_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	Col_0_2	array assay	A-AFFY-2	ArrayExpress	Col_0_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	Col-0 wild type
FAX1ox#2_1	flower	Arabidopsis thaliana	FAX1 over-expressor line #2	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#2_1	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#2_1:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox2_1	array assay	A-AFFY-2	ArrayExpress	FAX1ox2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #2
