PROBE	TID	ID	AGI	ENSEMBL	UNIGENE
254473_s_at	AT4G20530	AT4G20530	AT4G20520;AT4G20530;AT4G20540;AT4G20550;AT4G20560;AT4G20570;AT4G20580;AT4G20590;AT4G20600;AT4G20610;AT4G20620;AT4G20630;AT4G20640;AT4G20700	AT4G20520;AT4G20530;AT4G20540;AT4G20550;AT4G20560;AT4G20570;AT4G20580;AT4G20590;AT4G20600;AT4G20610;AT4G20620;AT4G20630;AT4G20640;AT4G20700;AT4G20710	AT4G20520;AT4G20530;AT4G20540;AT4G20550;AT4G20560;AT4G20570;AT4G20580;AT4G20590;AT4G20600;AT4G20610;AT4G20620;AT4G20630;AT4G20640;AT4G20700;AT4G20710
252756_s_at	AT3G43550	AT3G43550	AT1G58520;AT1G58725;AT1G59030;AT1G59406;AT3G43550;AT3G43570	AT1G58520;AT1G58725;AT1G59030;AT1G59406;AT3G43550;AT3G43570	AT1G58520;AT1G58725;AT1G59030;AT1G59406;AT3G43550;AT3G43570
247864_s_at	AT5G57890	AT5G57890	AT1G24807;AT1G24909;AT1G25083;AT1G25155;AT1G25220;AT5G57890	AT1G24807;AT1G24909;AT1G25083;AT1G25155;AT1G25220;AT5G57890	AT1G24807;AT1G24909;AT1G25083;AT1G25155;AT1G25220;AT5G57890
255755_s_at	AT1G43080	AT1G43080	AT1G43080;AT1G43090;AT1G43100	AT1G43050;AT1G43080;AT1G43090;AT1G43100;AT1G43110	AT1G43050;AT1G43080;AT1G43090;AT1G43100;AT1G43110
266251_s_at	AT2G27540	AT2G27540	AT2G18320;AT2G27540;AT5G48000;AT5G52080;AT5G53410	AT2G18320;AT2G27540;AT5G48000;AT5G52080;AT5G53410	AT2G18320;AT2G27540;AT5G48000;AT5G52080;AT5G53410
261034_s_at	AT1G17450	AT1G17450	AT1G17450;AT1G58766;AT1G59077;AT1G59453	AT1G17450;AT1G58766;AT1G59077;AT1G59453	AT1G17450;AT1G58766;AT1G59077;AT1G59453
245651_s_at	AT1G24793	AT1G24793	AT1G24800;AT1G24881;AT1G25055;AT1G25150;AT1G25211	AT1G24793;AT1G24800;AT1G24880;AT1G24881;AT1G25054;AT1G25055;AT1G25141;AT1G25210;AT1G25211	AT1G25150;AT1G24800;AT1G25055;AT1G25211
245646_x_at	AT1G25025	AT1G25025	AT1G24851;AT1G25025;AT1G25112;AT1G25180	AT1G24851;AT1G25025;AT1G25112;AT1G25180	AT1G24851;AT1G25025;AT1G25112;AT1G25180
245841_s_at	AT1G58380	AT1G58380	AT1G58380;AT1G58684;AT1G58983;AT1G59359	AT1G58380;AT1G58684;AT1G58983;AT1G59359	AT1G58380;AT1G58684;AT1G58983;AT1G59359
264885_s_at	AT1G61180	AT1G61180	AT1G61180;AT1G61190;AT1G61300;AT1G61310	AT1G61180;AT1G61190;AT1G61300;AT1G61310	AT1G61180;AT1G61190;AT1G61300;AT1G61310
264735_s_at	AT1G62060	AT1G62060	AT1G62000;AT1G62060;AT1G62080;AT1G62220	AT1G62000;AT1G62060;AT1G62080;AT1G62220	AT1G62000;AT1G62060;AT1G62080;AT1G62220
264474_s_at	AT1G67090	AT1G67090	AT1G67090;AT5G38410;AT5G38420;AT5G38430	AT1G06820;AT1G67090;AT2G44010;AT4G32620;AT4G36870;AT4G37510;AT5G38410;AT5G38420;AT5G38430;AT5G42010	AT1G67090;AT5G38420;AT5G38430;AT5G42010
266834_s_at	AT2G30020	AT2G30020	AT2G30020;AT3G27140;AT4G08260	AT2G05050;AT2G30020;AT3G27140;AT4G08260	AT2G05050;AT2G30020;AT3G27140;AT4G08260
256438_s_at	AT3G11120	AT3G11120	AT2G40205;AT3G08520;AT3G11120;AT3G56020	AT2G40205;AT3G08520;AT3G11120;AT3G56020	AT2G40205;AT3G08520;AT3G11120;AT3G56020
257286_s_at	AT3G29763	AT3G29763	AT1G19260;AT3G29763;AT3G29765;AT4G09660	AT1G19260;AT3G29763;AT3G29765;AT4G09660	AT1G19260;AT3G29763;AT3G29765;AT4G09660
251951_s_at	AT3G53630	AT3G53630	AT1G55710;AT3G53630;AT4G18692	AT1G55710;AT3G53630;AT4G18690;AT4G18692	AT1G55710;AT3G53630;AT4G18690;AT4G18692
254050_s_at	AT4G25670	AT4G25670	AT4G25670;AT4G25672;AT4G25690;AT4G25692	AT4G25670;AT4G25672;AT4G25690;AT4G25692	AT4G25670;AT4G25672;AT4G25690;AT4G25692
246641_s_at	AT5G34885	AT5G34885	AT5G34883;AT5G34885;AT5G34908	AT5G34883;AT5G34885;AT5G34908;AT5G34910	AT5G34883;AT5G34885;AT5G34908;AT5G34910
249490_s_at	AT5G39110	AT5G39110	AT5G39110;AT5G39120;AT5G39150;AT5G39180	AT5G39110;AT5G39120;AT5G39150;AT5G39180	AT5G39110;AT5G39120;AT5G39150;AT5G39180
247644_s_at	AT5G60390	AT5G60390	AT1G07920;AT1G07930;AT1G07940;AT5G60390	AT1G07920;AT1G07930;AT1G07940;AT5G60390	AT1G07920;AT1G07930;AT1G07940;AT5G60390
245638_s_at	AT1G24996	AT1G24996	AT1G24822;AT1G24996;AT1G25097	AT1G24822;AT1G24996;AT1G25097	AT1G24822;AT1G24996;AT1G25097
259770_s_at	AT1G29410	AT1G29410	AT1G07780;AT1G29410;AT5G05590	AT1G07780;AT1G29410;AT5G05590	AT1G07780;AT1G29410;AT5G05590
255997_s_at	AT1G29910	AT1G29910	AT1G29910;AT1G29920;AT1G29930	AT1G29910;AT1G29920;AT1G29930	AT1G29910;AT1G29920;AT1G29930
