Source Name	Characteristics [Ecotype]	Characteristics [StrainOrLine]	Characteristics [IndividualGeneticCharacteristics]	Characteristics [GeneticModification]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [CellLine]	Protocol REF	Parameter Value [Lighting]	Parameter Value [Medium]	Parameter Value [Humidity]	Parameter Value [Temperature]	Parameter Value [location]	Parameter Value [Atmosphere]	Parameter Value [Stratification]	Parameter Value [Treatment]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Greville_A-12-grevi-AT3_SRC	Columbia-7	ACN1-2	T-DNA insert into At3g16910	gene_knock_in	The MGED Ontology	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:686	  	  	  	  	  	  	  	  	Greville_A-12-grevi-AT3_SRC	seedling	seedling	NASCExtractProtocol:11	370565445	total_RNA	NASCLabelProtocol:1	Greville_A-12-grevi-AT3_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A12-grevi-AT3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A12-grevi-AT3	E-NASC-29-raw-data-370565779.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-08-grevi-CT2_SRC	Columbia-7	  	  	  	  	Arabidopsis thaliana	ncbitax	NASC_N3731	NASCSampleTreatmentProt:389	  	  	  	  	  	  	  	  	Greville_A-08-grevi-CT2_SRC	seedling	seedling	NASCExtractProtocol:11	370565413	total_RNA	NASCLabelProtocol:1	Greville_A-08-grevi-CT2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A8-grevi-CT2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A8-grevi-CT2	E-NASC-29-raw-data-370565707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-01-grevi-CC1_SRC	Columbia-7	  	  	  	  	Arabidopsis thaliana	ncbitax	NASC_N3731	NASCSampleTreatmentProt:382	  	  	  	  	  	  	  	  	Greville_A-01-grevi-CC1_SRC	seedling	seedling	NASCExtractProtocol:11	370565357	total_RNA	NASCLabelProtocol:1	Greville_A-01-grevi-CC1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A1-grevi-CC1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A1-grevi-CC1	E-NASC-29-raw-data-370565581.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-06-grevi-AC3_SRC	Columbia-7	ACN1-2	T-DNA insert into At3g16910	gene_knock_in	The MGED Ontology	Arabidopsis thaliana	ncbitax	  	NASCGrowProt:387	Continual	"agar, 1/2-strength MS salts  pH 5.7"	Not controlled	20C	Growth Room	Normal	"4C, 4 days in dark"	None	Greville_A-06-grevi-AC3_SRC	seedling	seedling	NASCExtractProtocol:11	370565397	total_RNA	NASCLabelProtocol:1	Greville_A-06-grevi-AC3_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A6-grevi-AC3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A6-grevi-AC3	E-NASC-29-raw-data-370565671.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-04-grevi-AC1_SRC	Columbia-7	ACN1-2	T-DNA insert into At3g16910	gene_knock_in	The MGED Ontology	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:385	  	  	  	  	  	  	  	  	Greville_A-04-grevi-AC1_SRC	seedling	seedling	NASCExtractProtocol:11	370565381	total_RNA	NASCLabelProtocol:1	Greville_A-04-grevi-AC1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A4-grevi-AC1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A4-grevi-AC1	E-NASC-29-raw-data-370565635.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-11-grevi-AT2_SRC	Columbia-7	ACN1-2	T-DNA insert into At3g16910	gene_knock_in	The MGED Ontology	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:685	  	  	  	  	  	  	  	  	Greville_A-11-grevi-AT2_SRC	seedling	seedling	NASCExtractProtocol:11	370565437	total_RNA	NASCLabelProtocol:1	Greville_A-11-grevi-AT2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A11-grevi-AT2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A11-grevi-AT2	E-NASC-29-raw-data-370565761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-09-grevi-CT3_SRC	Columbia-7	  	  	  	  	Arabidopsis thaliana	ncbitax	NASC_N3731	NASCSampleTreatmentProt:390	  	  	  	  	  	  	  	  	Greville_A-09-grevi-CT3_SRC	seedling	seedling	NASCExtractProtocol:11	370565421	total_RNA	NASCLabelProtocol:1	Greville_A-09-grevi-CT3_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A9-grevi-CT3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A9-grevi-CT3	E-NASC-29-raw-data-370565725.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-07-grevi-CT1_SRC	Columbia-7	  	  	  	  	Arabidopsis thaliana	ncbitax	NASC_N3731	NASCGrowProt:388	Continual	agar  1/2-strength MS salts  pH 5.7	Not controlled	20C	Growth Room	Normal	4C  4 days in dark	100 mM sucrose	Greville_A-07-grevi-CT1_SRC	seedling	seedling	NASCExtractProtocol:11	370565405	total_RNA	NASCLabelProtocol:1	Greville_A-07-grevi-CT1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A7-grevi-CT1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A7-grevi-CT1	E-NASC-29-raw-data-370565689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-02-grevi-CC2_SRC	Columbia-7	  	  	  	  	Arabidopsis thaliana	ncbitax	NASC_N3731	NASCSampleTreatmentProt:383	  	  	  	  	  	  	  	  	Greville_A-02-grevi-CC2_SRC	seedling	seedling	NASCExtractProtocol:11	370565365	total_RNA	NASCLabelProtocol:1	Greville_A-02-grevi-CC2_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A2-grevi-CC2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A2-grevi-CC2	E-NASC-29-raw-data-370565599.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
Greville_A-10-grevi-AT1_SRC	Columbia-7	ACN1-2	T-DNA insert into At3g16910	gene_knock_in	The MGED Ontology	Arabidopsis thaliana	ncbitax	  	NASCSampleTreatmentProt:684	  	  	  	  	  	  	  	  	Greville_A-10-grevi-AT1_SRC	seedling	seedling	NASCExtractProtocol:11	370565429	total_RNA	NASCLabelProtocol:1	Greville_A-10-grevi-AT1_EXT	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	MH001_ATH1_A10-grevi-AT1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	MH001_ATH1_A10-grevi-AT1	E-NASC-29-raw-data-370565743.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679	Affymetrix:Protocol:ExpressionStat	E-NASC-29-processed-data-1342169638.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-29/E-NASC-29.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=370566679
