Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [genotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM911868 1	C24 plant, 4oC for 24h	C24_24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911868 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911868 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911868	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911868_C24_24h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911868_sample_table.txt norm	GSM911868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911867 1	C24 plant, 4oC for 24h	C24_24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911867 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911867 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911867	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911867_C24_24h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911867_sample_table.txt norm	GSM911867_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911866 1	C24 plant, 4oC for 3h	C24_3h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911866 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911866 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911866	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911866_C24_3h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911866_sample_table.txt norm	GSM911866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911865 1	C24 plant, 4oC for 3h	C24_3h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911865 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911865 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911865	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911865_C24_3h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911865_sample_table.txt norm	GSM911865_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911864 1	C24 plant, room temperature	C24_RT-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911864 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911864 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911864	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911864_C24_RT2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911864_sample_table.txt norm	GSM911864_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911863 1	C24 plant, room temperature	C24_RT-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	C24	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911863 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911863 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911863	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911863_C24_RT1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911863_sample_table.txt norm	GSM911863_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	C24
GSM911862 1	Col plant, 4oC for 24h	Col_24h-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	Col	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911862 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911862 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911862	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911862_Col-24h-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911862_sample_table.txt norm	GSM911862_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	Col
GSM911861 1	Col plant, 4oC for 24h	Col_24h-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	Col	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911861 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911861 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911861	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911861_Col-24h-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911861_sample_table.txt norm	GSM911861_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	Col
GSM911860 1	Col plant, room temperature	Col_RT-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	Col	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911860 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911860 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911860	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911860_Col-RT-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911860_sample_table.txt norm	GSM911860_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	Col
GSM911859 1	Col plant, room temperature	Col_RT-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20-day-old seedlings on plate	Col	leaf	EFO	EFO_0000993	P-GSE37130-2	ArrayExpress	P-GSE37130-3	ArrayExpress	GSM911859 extract 1	total RNA	P-GSE37130-4	ArrayExpress	GSM911859 LE 1	biotin	P-GSE37130-5	ArrayExpress	GSM911859	A-AFFY-2	ArrayExpress	array assay	P-GSE37130-6	ArrayExpress	P-GSE37130-7	ArrayExpress	GSM911859_Col-RT-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.raw.1.zip	P-GSE37130-1	ArrayExpress	GSM911859_sample_table.txt norm	GSM911859_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37130/E-GEOD-37130.processed.1.zip	Col
