Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM626552 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, safener treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626552 extract 1	total RNA	P-GSE25489-5	GSM626552 LE 1	biotin	P-GSE25489-6	GSM626552	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626552.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626552_sample_table.txt norm	GSM626552_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	safener
GSM626551 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, safener treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626551 extract 1	total RNA	P-GSE25489-5	GSM626551 LE 1	biotin	P-GSE25489-6	GSM626551	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626551.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626551_sample_table.txt norm	GSM626551_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	safener
GSM626550 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, safener treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626550 extract 1	total RNA	P-GSE25489-5	GSM626550 LE 1	biotin	P-GSE25489-6	GSM626550	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626550.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626550_sample_table.txt norm	GSM626550_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	safener
GSM626549 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, mock treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626549 extract 1	total RNA	P-GSE25489-5	GSM626549 LE 1	biotin	P-GSE25489-6	GSM626549	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626549.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626549_sample_table.txt norm	GSM626549_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	none
GSM626548 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, mock treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626548 extract 1	total RNA	P-GSE25489-5	GSM626548 LE 1	biotin	P-GSE25489-6	GSM626548	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626548_sample_table.txt norm	GSM626548_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	none
GSM626547 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; sid2-2 mutant (Nawrath and Metraux, 1999 [PMID 10449575])."	"rosette leaves, sid2-2 mutant, mock treated"	Arabidopsis thaliana	4 weeks	sid2-2 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626547 extract 1	total RNA	P-GSE25489-5	GSM626547 LE 1	biotin	P-GSE25489-6	GSM626547	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626547_sample_table.txt norm	GSM626547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	sid2-2 mutant	none
GSM626546 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; tga2tga3tga5tga6 mutant (Kesarwani et al., 2007 [PMID 17369431])."	"rosette leaves, tga2tga3tga5tga6 mutant, safener treated"	Arabidopsis thaliana	4 weeks	tga2tga3tga5tga6 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626546 extract 1	total RNA	P-GSE25489-5	GSM626546 LE 1	biotin	P-GSE25489-6	GSM626546	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626546_sample_table.txt norm	GSM626546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	tga2tga3tga5tga6 mutant	safener
GSM626545 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; tga2tga3tga5tga6 mutant (Kesarwani et al., 2007 [PMID 17369431])."	"rosette leaves, tga2tga3tga5tga6 mutant, safener treated"	Arabidopsis thaliana	4 weeks	tga2tga3tga5tga6 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626545 extract 1	total RNA	P-GSE25489-5	GSM626545 LE 1	biotin	P-GSE25489-6	GSM626545	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626545_sample_table.txt norm	GSM626545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	tga2tga3tga5tga6 mutant	safener
GSM626544 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; tga2tga3tga5tga6 mutant (Kesarwani et al., 2007 [PMID 17369431])."	"rosette leaves, tga2tga3tga5tga6 mutant, safener treated"	Arabidopsis thaliana	4 weeks	tga2tga3tga5tga6 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626544 extract 1	total RNA	P-GSE25489-5	GSM626544 LE 1	biotin	P-GSE25489-6	GSM626544	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626544_sample_table.txt norm	GSM626544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	tga2tga3tga5tga6 mutant	safener
GSM626543 1	"Gene expression data from rosette leaves of 4-week-old Arabidopsis thaliana plants ; tga2tga3tga5tga6 mutant (Kesarwani et al., 2007 [PMID 17369431])."	"rosette leaves, tga2tga3tga5tga6 mutant, mock treated"	Arabidopsis thaliana	4 weeks	tga2tga3tga5tga6 mutant	rosette leaf	P-GSE25489-2	P-GSE25489-3	P-GSE25489-4	GSM626543 extract 1	total RNA	P-GSE25489-5	GSM626543 LE 1	biotin	P-GSE25489-6	GSM626543	A-AFFY-2	P-GSE25489-7	P-GSE25489-8	GSM626543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.raw.1.zip	P-GSE25489-1	GSM626543_sample_table.txt norm	GSM626543_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25489/E-GEOD-25489.processed.1.zip	tga2tga3tga5tga6 mutant	none
