Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics[developmental stage]	Characteristics[stress]	Characteristics[age]	Unit[time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [stress]
GSM1202387 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, WT, whole seedlings without root, at HL 3h	Col-0, WT, at HL 3h, biological rep3	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202387 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202387 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202387	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202387_7659_RD77_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202387_sample_table.txt norm	GSM1202387_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	high light
GSM1202386 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, WT, whole seedlings without root, at HL 3h	Col-0, WT, at HL 3h, biological rep2	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202386 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202386 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202386	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202386_7659_RD90_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202386_sample_table.txt norm	GSM1202386_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	high light
GSM1202385 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, WT, whole seedlings without root, at HL 3h	Col-0, WT, at HL 3h, biological rep1	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202385 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202385 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202385	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202385_7659_RD70_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202385_sample_table.txt norm	GSM1202385_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	high light
GSM1202384 1	seedlings grown on agar plates, without high light treatment	Col-0, WT, whole seedlings without root, at HL 0h	Col-0, WT, at HL 0h, biological rep3	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202384 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202384 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202384	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202384_7659_RD31_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202384_sample_table.txt norm	GSM1202384_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	unstressed control
GSM1202383 1	seedlings grown on agar plates, without high light treatment	Col-0, WT, whole seedlings without root, at HL 0h	Col-0, WT, at HL 0h, biological rep2	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202383 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202383 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202383	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202383_7659_RD71_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202383_sample_table.txt norm	GSM1202383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	unstressed control
GSM1202382 1	seedlings grown on agar plates, without high light treatment	Col-0, WT, whole seedlings without root, at HL 0h	Col-0, WT, at HL 0h, biological rep1	Col-0	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202382 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202382 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202382	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202382_7659_RD51_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202382_sample_table.txt norm	GSM1202382_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	wild type genotype	unstressed control
GSM1202381 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 3h	Col-0, RNAi-MBS2/mbs1-1, at HL 3h, biological rep3	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202381 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202381 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202381	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202381_7659_RD40_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202381_sample_table.txt norm	GSM1202381_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	high light
GSM1202380 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 3h	Col-0, RNAi-MBS2/mbs1-1, at HL 3h, biological rep2	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202380 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202380 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202380	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202380_7659_RD80_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202380_sample_table.txt norm	GSM1202380_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	high light
GSM1202379 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 3h	Col-0, RNAi-MBS2/mbs1-1, at HL 3h, biological rep1	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202379 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202379 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202379	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202379_7659_RD60_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202379_sample_table.txt norm	GSM1202379_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	high light
GSM1202378 1	seedlings grown on agar plates, without high light treatment	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 0h	Col-0, RNAi-MBS2/mbs1-1, at HL 0h, biological rep3	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202378 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202378 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202378	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202378_7659_RD54_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202378_sample_table.txt norm	GSM1202378_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	unstressed control
