Source Name	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Characteristics [Genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Factor Value [DevelopmentalStage]	Factor Value [Genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE2848GSM62700	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 13-14	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8 flowers, stage 13-14	P-G2848-4	GSE2848GSM62700 sample	P-G2848-2	GSE2848GSM62700 extract	total_RNA	P-G2848-3	GSE2848GSM62700 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6/arf6 ARF8/arf8 flowers_stage 13-14	A-AFFY-2	P-AFFY-6	flower	  	  	stages 13-14	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8 flowers_stage 13-14	GSM62700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62702	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 1-10	arf6 arf8	arf6 arf8 flowers, stage 1-10	P-G2848-4	GSE2848GSM62702 sample	P-G2848-2	GSE2848GSM62702 extract	total_RNA	P-G2848-3	GSE2848GSM62702 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6 arf8 flowers_stage 1-10	A-AFFY-2	P-AFFY-6	flower	  	  	stages 1-10	arf6 arf8	arf6 arf8 flowers_stage 1-10	GSM62702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62698	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 1-10	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8 flowers, stage 1-10	P-G2848-4	GSE2848GSM62698 sample	P-G2848-2	GSE2848GSM62698 extract	total_RNA	P-G2848-3	GSE2848GSM62698 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6/arf6 ARF8/arf8 flowers_stage 1-10	A-AFFY-2	P-AFFY-6	flower	  	  	stages 1-10	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8 flowers_stage 1-10	GSM62698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62697	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	stem	EFO	EFO_0001040	  	wild_type	Columbia stem, approximately 0.5 cm of stem tissue immediately below the inflorescence	P-G2848-4	GSE2848GSM62697 sample	P-G2848-2	GSE2848GSM62697 extract	total_RNA	P-G2848-3	GSE2848GSM62697 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Columbia_stem	A-AFFY-2	P-AFFY-6	stem	EFO	EFO_0001040	  	wild_type	Columbia_stem	GSM62697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62704	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 13-14	arf6 arf8	arf6 arf8 flowers, stage 13-14	P-G2848-4	GSE2848GSM62704 sample	P-G2848-2	GSE2848GSM62704 extract	total_RNA	P-G2848-3	GSE2848GSM62704 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6 arf8 flowers_stage 13-14	A-AFFY-2	P-AFFY-6	flower	  	  	stages 13-14	arf6 arf8	arf6 arf8 flowers_stage 13-14	GSM62704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62694	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 1-10	wild_type	Columbia flowers, stage 1-10, untreated	P-G2848-4	GSE2848GSM62694 sample	P-G2848-2	GSE2848GSM62694 extract	total_RNA	P-G2848-3	GSE2848GSM62694 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Columbia flowers_stage 1-10	A-AFFY-2	P-AFFY-6	flower	  	  	stages 1-10	wild_type	Columbia flowers_stage 1-10	GSM62694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62701	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	stem	EFO	EFO_0001040	  	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8 stem, approximately 0.5 cm of stem tissue immediately below the inflorescence	P-G2848-4	GSE2848GSM62701 sample	P-G2848-2	GSE2848GSM62701 extract	total_RNA	P-G2848-3	GSE2848GSM62701 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6/arf6 ARF8/arf8_stem	A-AFFY-2	P-AFFY-6	stem	EFO	EFO_0001040	  	arf6/arf6 ARF8/arf8	arf6/arf6 ARF8/arf8_stem	GSM62701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62695	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 11-12	wild_type	Columbia flowers, stage 11-12, untreated	P-G2848-4	GSE2848GSM62695 sample	P-G2848-2	GSE2848GSM62695 extract	total_RNA	P-G2848-3	GSE2848GSM62695 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Columbia flowers_stage 11-12	A-AFFY-2	P-AFFY-6	flower	  	  	stages 11-12	wild_type	Columbia flowers_stage 11-12	GSM62695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62703	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	flower	  	  	stages 11-12	arf6 arf8	arf6 arf8 flowers, stage 11-12	P-G2848-4	GSE2848GSM62703 sample	P-G2848-2	GSE2848GSM62703 extract	total_RNA	P-G2848-3	GSE2848GSM62703 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6 arf8 flowers_stage 11-12	A-AFFY-2	P-AFFY-6	flower	  	  	stages 11-12	arf6 arf8	arf6 arf8 flowers_stage 11-12	GSM62703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
GSE2848GSM62705	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	stem	EFO	EFO_0001040	  	arf6 arf8	arf6 arf8 stem, approximately 0.5 cm of stem tissue immediately below the inflorescence	P-G2848-4	GSE2848GSM62705 sample	P-G2848-2	GSE2848GSM62705 extract	total_RNA	P-G2848-3	GSE2848GSM62705 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf6 arf8_stem	A-AFFY-2	P-AFFY-6	stem	EFO	EFO_0001040	  	arf6 arf8	arf6 arf8_stem	GSM62705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.raw.1.zip	E-GEOD-2848-processed-data-1436971089.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-2848/E-GEOD-2848.processed.1.zip
