Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cultivar]	Characteristics [genotype]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM1111409 1	Gene expression data from  wounding treated JAV1 RNAi plant	Ri17 treated with wound for 60min	Ri17 treated with wound for 60min	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	JAV1 RNAi transgenic plant (Ri17)	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111409 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111409 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111409	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111409_Ri17_W_60_min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111409_sample_table.txt norm	GSM1111409_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	JAV1 RNAi transgenic plant (Ri17)
GSM1111408 1	Gene expression data from  wounding treated JAV1 RNAi plant	Ri17 treated with wound for 30min	Ri17 treated with wound for 30min	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	JAV1 RNAi transgenic plant (Ri17)	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111408 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111408 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111408	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111408_Ri17_W_30_min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111408_sample_table.txt norm	GSM1111408_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	JAV1 RNAi transgenic plant (Ri17)
GSM1111407 1	Gene expression data from  JA treated JAV1 RNAi plant	Ri17 treated with 100uM MeJA for 4 hour	Ri17 treated with 100uM MeJA for 4 hour	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	JAV1 RNAi transgenic plant (Ri17)	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111407 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111407 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111407	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111407_Ri17_JA_4h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111407_sample_table.txt norm	GSM1111407_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	JAV1 RNAi transgenic plant (Ri17)
GSM1111406 1	Gene expression data from  JA treated JAV1 RNAi plant	Ri17 treated with 100uM MeJA for 1 hour	Ri17 treated with 100uM MeJA for 1 hour	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	JAV1 RNAi transgenic plant (Ri17)	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111406 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111406 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111406	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111406_Ri17_JA_1h_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111406_sample_table.txt norm	GSM1111406_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	JAV1 RNAi transgenic plant (Ri17)
GSM1111405 1	Gene expression data from  untreated JAV1 RNAi plant	Ri17 untreated	Ri17 untreated	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	JAV1 RNAi transgenic plant (Ri17)	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111405 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111405 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111405	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111405_Ri17_JA-W_0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111405_sample_table.txt norm	GSM1111405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	JAV1 RNAi transgenic plant (Ri17)
GSM1111404 1	Gene expression data from  wounding treated wild type	Col-0 treated with wound for 60min	Col-0 treated with wound for 60min	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	Wild type	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111404 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111404 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111404	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111404_col-0_W_60_min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111404_sample_table.txt norm	GSM1111404_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	Wild type
GSM1111403 1	Gene expression data from  wounding treated wild type	Col-0 treated with wound for 30min	Col-0 treated with wound for 30min	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	Wild type	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111403 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111403 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111403	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111403_col-0_W_30_min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111403_sample_table.txt norm	GSM1111403_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	Wild type
GSM1111402 1	Gene expression data from  JA treated wild type	Col-0 treated with 100uM MeJA for 4 hour	Col-0 treated with 100uM MeJA for 4 hour	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	Wild type	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111402 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111402 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111402	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111402_col-0_JA_4h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111402_sample_table.txt norm	GSM1111402_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	Wild type
GSM1111401 1	Gene expression data from  JA treated wild type	Col-0 treated with 100uM MeJA for 1 hour	Col-0 treated with 100uM MeJA for 1 hour	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	Wild type	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111401 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111401 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111401	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111401_col-0_JA_1h_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111401_sample_table.txt norm	GSM1111401_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	Wild type
GSM1111400 1	Gene expression data from  untreated wild type	Col-0 untreated	Col-0 untreated	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	Wild type	Arabidopsis leaves	P-GSE45662-2	ArrayExpress	P-GSE45662-3	ArrayExpress	P-GSE45662-4	ArrayExpress	GSM1111400 extract 1	total RNA	P-GSE45662-5	ArrayExpress	GSM1111400 LE 1	biotin	P-GSE45662-6	ArrayExpress	GSM1111400	A-AFFY-2	ArrayExpress	array assay	P-GSE45662-7	ArrayExpress	P-GSE45662-8	ArrayExpress	GSM1111400_col-0_JA-W0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.raw.1.zip	P-GSE45662-1	ArrayExpress	GSM1111400_sample_table.txt norm	GSM1111400_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45662/E-GEOD-45662.processed.1.zip	Wild type
