Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [infect]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [infect]	Factor Value [genotype]
GSE431GSM6584	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pmr4-1	Columbia-0	none	callose synthase deficient mutant	P-G431-1	GSE431GSM6584 sample	GSE431GSM6584 extract	total RNA	GSE431GSM6584 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	PU4	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	PU4	GSM6584.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	pmr4-1
GSE431GSM6227	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type genotype	Columbia-0	none	  	P-G431-1	GSE431GSM6227 sample	GSE431GSM6227 extract	total RNA	GSE431GSM6227 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	CU4	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	CU4	GSM6227.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	wild type genotype
GSE431GSM6574	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type genotype	Columbia-0	powdery mildew	  	P-G431-1	GSE431GSM6574 sample	GSE431GSM6574 extract	total RNA	GSE431GSM6574 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	CI2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	CI2	GSM6574.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	powdery mildew	wild type genotype
GSE431GSM6578	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pmr4-1	Columbia-0	powdery mildew	callose synthase deficient mutant	P-G431-1	GSE431GSM6578 sample	GSE431GSM6578 extract	total RNA	GSE431GSM6578 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	PI2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	PI2	GSM6578.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	powdery mildew	pmr4-1
GSE431GSM6572	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type genotype	Columbia-0	none	  	P-G431-1	GSE431GSM6572 sample	GSE431GSM6572 extract	total RNA	GSE431GSM6572 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	CU1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	CU1	GSM6572.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	wild type genotype
GSE431GSM6571	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type genotype	Columbia-0	none	  	P-G431-1	GSE431GSM6571 sample	GSE431GSM6571 extract	total RNA	GSE431GSM6571 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	CU2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	CU2	GSM6571.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	wild type genotype
GSE431GSM6580	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pmr4-1	Columbia-0	powdery mildew	callose synthase deficient mutant	P-G431-1	GSE431GSM6580 sample	GSE431GSM6580 extract	total RNA	GSE431GSM6580 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	PI4	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	PI4	GSM6580.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	powdery mildew	pmr4-1
GSE431GSM6582	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pmr4-1	Columbia-0	none	callose synthase deficient mutant	P-G431-1	GSE431GSM6582 sample	GSE431GSM6582 extract	total RNA	GSE431GSM6582 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	PU2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	PU2	GSM6582.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	pmr4-1
GSE431GSM6583	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pmr4-1	Columbia-0	none	  	P-G431-1	GSE431GSM6583 sample	GSE431GSM6583 extract	total RNA	GSE431GSM6583 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	PU3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	PU3	GSM6583.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	pmr4-1
GSE431GSM6544	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type genotype	Columbia-0	none	  	P-G431-1	GSE431GSM6544 sample	GSE431GSM6544 extract	total RNA	GSE431GSM6544 LE.biotin	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	CU3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	CU3	GSM6544.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-GEOD-431-processed-data-1448000270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-431/E-GEOD-431.processed.1.zip	none	wild type genotype
