Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[specimen with known storage state]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[time]	Unit[time unit]
CPIB_LRPTC_0hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	primary root	P-MTAB-39060	P-MTAB-39061	P-MTAB-39060	CPIB_LRP_extract_1	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_1	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_1	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-1_0h_after-lateral-root-initiation_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	0	hour
CPIB_LRPTC_0hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	primary root	P-MTAB-39060	P-MTAB-39061	P-MTAB-39060	CPIB_LRP_extract_2	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_2	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_2	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-19_0h_after-lateral-root-initiation_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	0	hour
CPIB_LRPTC_0hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	primary root	P-MTAB-39060	P-MTAB-39061	P-MTAB-39060	CPIB_LRP_extract_3	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_3	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_3	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-37_0h_after-lateral-root-initiation_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	0	hour
CPIB_LRPTC_0hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	primary root	P-MTAB-39060	P-MTAB-39061	P-MTAB-39060	CPIB_LRP_extract_4	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_4	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_4	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-55_0h_after-lateral-root-initiation_Rep4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	0	hour
CPIB_LRPTC_6hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39062	P-MTAB-39060	CPIB_LRP_extract_5	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_5	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_5	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-2_6h_after-lateral-root-initiation_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	6	hour
CPIB_LRPTC_6hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39062	P-MTAB-39060	CPIB_LRP_extract_6	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_6	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_6	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-20_6h_after-lateral-root-initiation_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	6	hour
CPIB_LRPTC_6hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39062	P-MTAB-39060	CPIB_LRP_extract_7	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_7	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_7	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-38_6h_after-lateral-root-initiation_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	6	hour
CPIB_LRPTC_6hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39062	P-MTAB-39060	CPIB_LRP_extract_8	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_8	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_8	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-56_6h_after-lateral-root-initiation_Rep4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	6	hour
CPIB_LRPTC_9hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39063	P-MTAB-39060	CPIB_LRP_extract_9	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_9	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_9	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-3_9h_after-lateral-root-initiation_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	9	hour
CPIB_LRPTC_9hr	organism_part	Nottingham Arabidopsis Stock Centre	Arabidopsis thaliana	lateral root primordium formation stage	fresh specimen	lateral root primordium	P-MTAB-39060	P-MTAB-39063	P-MTAB-39060	CPIB_LRP_extract_10	RNA	P-MTAB-39080	CPIB_LRP_labelledextract_10	biotin	P-AFFY-3	ArrayExpress	CPIB_LRP_hyb_10	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	Voss_1-21_9h_after-lateral-root-initiation_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2565/E-MTAB-2565.raw.1.zip	9	hour
