Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE7743GSM187418	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, 3 hours blue light treatment:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. For blue light exposure HQI-T 400 W lamps were filtered through color filter #74, 400-540 nm, absorption maximum: 470 nm (Night Blue; Rosco International). Air temperature was 22Â°C. Seedlings (at least 10) were harvested and directly frozen in liquid nitrogen."	cry1	seedling	7	day	  	P-G7743-1	GSE7743GSM187418 sample	P-G7743-7	GSE7743GSM187418 extract	total_RNA	P-G7743-3	GSE7743GSM187418 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_LL_B	A-AFFY-2	P-AFFY-6	cry1_LL_B	GSM187418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	blue light	cry1
GSE7743GSM187251	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. cry1, 7 d old seedlings"	cry1	seedling	7	day	  	P-G7743-1	GSE7743GSM187251 sample	P-G7743-4	GSE7743GSM187251 extract	total_RNA	P-G7743-3	GSE7743GSM187251 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_LL_A	A-AFFY-2	P-AFFY-6	cry1_LL_A	GSM187251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	cry1
GSE7743GSM187252	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. cry1, 7 d old seedlings"	cry1	seedling	7	day	  	P-G7743-1	GSE7743GSM187252 sample	P-G7743-4	GSE7743GSM187252 extract	total_RNA	P-G7743-3	GSE7743GSM187252 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_LL_C	A-AFFY-2	P-AFFY-6	cry1_LL_C	GSM187252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	cry1
GSE7743GSM187250	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. cry1, 7 d old seedlings"	cry1	seedling	7	day	P-G7743-6	P-G7743-1	GSE7743GSM187250 sample	P-G7743-4	GSE7743GSM187250 extract	total_RNA	P-G7743-3	GSE7743GSM187250 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_HL_C	A-AFFY-2	P-AFFY-6	cry1_HL_C	GSM187250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	cry1
GSE7743GSM187249	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. cry1, 7 d old seedlings"	cry1	seedling	7	day	  	P-G7743-1	GSE7743GSM187249 sample	P-G7743-4	GSE7743GSM187249 extract	total_RNA	P-G7743-3	GSE7743GSM187249 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_HL_B	A-AFFY-2	P-AFFY-6	cry1_HL_B	GSM187249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	cry1
GSE7743GSM187248	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"cry1, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. cry1, 7 d old seedlings"	cry1	seedling	7	day	  	P-G7743-1	GSE7743GSM187248 sample	P-G7743-4	GSE7743GSM187248 extract	total_RNA	P-G7743-3	GSE7743GSM187248 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	cry1_HL_A	A-AFFY-2	P-AFFY-6	cry1_HL_A	GSM187248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	cry1
GSE7743GSM187256	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	  	P-G7743-1	GSE7743GSM187256 sample	P-G7743-4	GSE7743GSM187256 extract	total_RNA	P-G7743-3	GSE7743GSM187256 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_LL_A	A-AFFY-2	P-AFFY-6	hy5_LL_A	GSM187256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	hy5
GSE7743GSM187257	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	  	P-G7743-1	GSE7743GSM187257 sample	P-G7743-4	GSE7743GSM187257 extract	total_RNA	P-G7743-3	GSE7743GSM187257 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_LL_B	A-AFFY-2	P-AFFY-6	hy5_LL_B	GSM187257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	hy5
GSE7743GSM187258	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	  	P-G7743-1	GSE7743GSM187258 sample	P-G7743-4	GSE7743GSM187258 extract	total_RNA	P-G7743-3	GSE7743GSM187258 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_LL_C	A-AFFY-2	P-AFFY-6	hy5_LL_C	GSM187258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	hy5
GSE7743GSM187253	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	P-G7743-6	P-G7743-1	GSE7743GSM187253 sample	P-G7743-4	GSE7743GSM187253 extract	total_RNA	P-G7743-3	GSE7743GSM187253 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_HL_A	A-AFFY-2	P-AFFY-6	hy5_HL_A	GSM187253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	hy5
