Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[age]	Unit[time unit]	FactorValue[growth condition]
GSM679548 1	Gene expression data from 35-day-old hypocotyls with auxin treatment for 1 day biological rep 3	35-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679548 extract 1	total RNA	P-GSE27508-5	GSM679548 LE 1	Biotin	P-GSE27508-6	GSM679548	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679548_sample_table.txt norm	GSM679548_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	auxin
GSM679547 1	Gene expression data from 35-day-old hypocotyls with auxin treatment for 1 day biological rep 2	35-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679547 extract 1	total RNA	P-GSE27508-5	GSM679547 LE 1	Biotin	P-GSE27508-6	GSM679547	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679547_sample_table.txt norm	GSM679547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	auxin
GSM679546 1	Gene expression data from 35-day-old hypocotyls with auxin treatment for 1 day biological rep 1	35-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679546 extract 1	total RNA	P-GSE27508-5	GSM679546 LE 1	Biotin	P-GSE27508-6	GSM679546	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679546_sample_table.txt norm	GSM679546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	auxin
GSM679545 1	Gene expression data from 35-day-old hypocotyls without auxin treatment biological rep 3	35-day-old hypocotyls without auxin treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679545 extract 1	total RNA	P-GSE27508-5	GSM679545 LE 1	Biotin	P-GSE27508-6	GSM679545	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679545_sample_table.txt norm	GSM679545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	none
GSM679544 1	Gene expression data from 35-day-old hypocotyls without auxin treatment biological rep 2	35-day-old hypocotyls without auxin treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679544 extract 1	total RNA	P-GSE27508-5	GSM679544 LE 1	Biotin	P-GSE27508-6	GSM679544	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679544_sample_table.txt norm	GSM679544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	none
GSM679543 1	Gene expression data from 35-day-old hypocotyls without auxin treatment biological rep 1	35-day-old hypocotyls without auxin treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679543 extract 1	total RNA	P-GSE27508-5	GSM679543 LE 1	Biotin	P-GSE27508-6	GSM679543	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679543_sample_table.txt norm	GSM679543_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	35	day	none
GSM679542 1	Gene expression data from 7-day-old hypocotyls with auxin treatment for 1 day biological rep 3	7-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679542 extract 1	total RNA	P-GSE27508-5	GSM679542 LE 1	Biotin	P-GSE27508-6	GSM679542	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679542.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679542_sample_table.txt norm	GSM679542_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	7	day	auxin
GSM679541 1	Gene expression data from 7-day-old hypocotyls with auxin treatment for 1 day biological rep 2	7-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679541 extract 1	total RNA	P-GSE27508-5	GSM679541 LE 1	Biotin	P-GSE27508-6	GSM679541	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679541.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679541_sample_table.txt norm	GSM679541_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	7	day	auxin
GSM679540 1	Gene expression data from 7-day-old hypocotyls with auxin treatment for 1 day biological rep 1	7-day-old hypocotyls with auxin treatment for 1 day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679540 extract 1	total RNA	P-GSE27508-5	GSM679540 LE 1	Biotin	P-GSE27508-6	GSM679540	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679540.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679540_sample_table.txt norm	GSM679540_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	7	day	auxin
GSM679539 1	Gene expression data from 7-day-old hypocotyls without auxin treatment biological rep 3	7-day-old hypocotyls without auxin treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	day	Col-0	hypocotyl	EFO	EFO_0001931	P-GSE27508-2	P-GSE27508-3	P-GSE27508-4	GSM679539 extract 1	total RNA	P-GSE27508-5	GSM679539 LE 1	Biotin	P-GSE27508-6	GSM679539	A-AFFY-2	P-GSE27508-7	P-GSE27508-8	GSM679539.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.raw.1.zip	P-GSE27508-1	GSM679539_sample_table.txt norm	GSM679539_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27508/E-GEOD-27508.processed.1.zip	7	day	none
