Source Name	Characteristics [CellType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [genome/variation]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [CELL TYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM501164 1	chalazal seed coat	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Laser capture microdissected (LCM) chalazal seed coat at the bending cotyledon stage, biological replicate 2	Arabidopsis bending cotyledon stage chalazal seed coat captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501164 extract 1	total_RNA	P-GSE20039-5	GSM501164 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501164	A-AFFY-2	P-GSE20039-8	chalazal seed coat	GSM501164.CEL	GSM501164.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501158 1	embryo proper	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Embryo proper collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon stage embryo proper captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501158 extract 1	total_RNA	P-GSE20039-5	GSM501158 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501158	A-AFFY-2	P-GSE20039-8	embryo proper	GSM501158.CEL	GSM501158.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501159 1	peripherial endosperm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Peripherial endosperm collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon stage peripherial endosperm captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501159 extract 1	total_RNA	P-GSE20039-5	GSM501159 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501159	A-AFFY-2	P-GSE20039-8	peripherial endosperm	GSM501159.CEL	GSM501159.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501165 1	general seed coat	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	General seed coat collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon stage general seed coat captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501165 extract 1	total_RNA	P-GSE20039-5	GSM501165 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501165	A-AFFY-2	P-GSE20039-8	general seed coat	GSM501165.CEL	GSM501165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501167 1	whole seeds	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Laser capture microdissected (LCM) whole seeds at the bending cotyledon stage, biological replicate 1	Arabidopsis bending cotyledon whole seeds captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501167 extract 1	total_RNA	P-GSE20039-5	GSM501167 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501167	A-AFFY-2	P-GSE20039-8	whole seeds	GSM501167.CEL	GSM501167.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501160 1	peripherial endosperm	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Laser capture microdissected (LCM) peripherial endosperm at the bending cotyledon stage, biological replicate 2	Arabidopsis bending cotyledon stage peripherial endosperm captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501160 extract 1	total_RNA	P-GSE20039-5	GSM501160 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501160	A-AFFY-2	P-GSE20039-8	peripherial endosperm	GSM501160.CEL	GSM501160.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501163 1	chalazal seed coat	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Chalazal seed coat collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon stage chalazal seed coat captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501163 extract 1	total_RNA	P-GSE20039-5	GSM501163 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501163	A-AFFY-2	P-GSE20039-8	chalazal seed coat	GSM501163.CEL	GSM501163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501157 1	embryo proper	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Laser capture microdissected (LCM) embryo proper at the bending cotyledon stage, biological replicate 1	Arabidopsis bending cotyledon stage embryo proper captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501157 extract 1	total_RNA	P-GSE20039-5	GSM501157 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501157	A-AFFY-2	P-GSE20039-8	embryo proper	GSM501157.CEL	GSM501157.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501166 1	general seed coat	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	General seed coat collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon stage general seed coat captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501166 extract 1	total_RNA	P-GSE20039-5	GSM501166 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501166	A-AFFY-2	P-GSE20039-8	general seed coat	GSM501166.CEL	GSM501166.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
GSM501168 1	whole seeds	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	bending cotyledon stage	Ws-0	Serial sections of whole seeds collected from seeds containing embryo proper with both 100 -140 um long cotyledons bent at an angle relative to the embryo axis and pockets of cellularized endosperm between the cotyledons and chalazal endosperm when examined using the LEICA LMD6000 system for microdissection.	Arabidopsis bending cotyledon whole seeds captured by LCM	P-GSE20039-4	P-GSE20039-2	P-GSE20039-3	GSM501168 extract 1	total_RNA	P-GSE20039-5	GSM501168 LE 1	biotin	unknown	P-GSE20039-6	P-GSE20039-7	GSM501168	A-AFFY-2	P-GSE20039-8	whole seeds	GSM501168.CEL	GSM501168.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.raw.1.zip	P-GSE20039-1	E-GEOD-20039-processed-data-2196632253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20039/E-GEOD-20039.processed.1.zip
