Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5730GSM133767	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, basal tissue	GSE5730GSM133767 sample	GSE5730GSM133767 extract	total_RNA	GSE5730GSM133767 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-19_torpedo-basal_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-19_torpedo-basal_Rep4_ATH1	GSM133767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	basal tissue
GSE5730GSM133778	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: globular embryo, apical tissue	GSE5730GSM133778 sample	GSE5730GSM133778 extract	total_RNA	GSE5730GSM133778 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-2_globular-apical_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-2_globular-apical_Rep2_ATH1	GSM133778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	apical tissue
GSE5730GSM133781	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: globular embryo, basal tissue	GSE5730GSM133781 sample	GSE5730GSM133781 extract	total_RNA	GSE5730GSM133781 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-6_globular-basal_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-6_globular-basal_Rep3_ATH1	GSM133781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	basal tissue
GSE5730GSM133776	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 23oC Lighting: 16h day 8h night Medium: compost Water: every 2 days Stratification: 4oC 72hrs dark. Stock Code: N1092; Tissue: globular embryo, apical tissue	GSE5730GSM133776 sample	GSE5730GSM133776 extract	total_RNA	GSE5730GSM133776 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-1_globular-apical_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-1_globular-apical_Rep1_ATH1	GSM133776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	apical tissue
GSE5730GSM133766	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo root	GSE5730GSM133766 sample	GSE5730GSM133766 extract	total_RNA	GSE5730GSM133766 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-18_torpedo-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-18_torpedo-root_Rep3_ATH1	GSM133766.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	root
GSE5730GSM133756	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	heart stage embryo	root pole	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: heart stage embryo, root pole	GSE5730GSM133756 sample	GSE5730GSM133756 extract	total_RNA	GSE5730GSM133756 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-10_heart-stage-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-10_heart-stage-root_Rep1_ATH1	GSM133756.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	heart stage embryo	root pole
GSE5730GSM133772	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, apical tissue	GSE5730GSM133772 sample	GSE5730GSM133772 extract	total_RNA	GSE5730GSM133772 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-24_torpedo-apical_Rep6_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-24_torpedo-apical_Rep6_ATH1	GSM133772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	apical tissue
GSE5730GSM133779	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: globular embryo, basal tissue	GSE5730GSM133779 sample	GSE5730GSM133779 extract	total_RNA	GSE5730GSM133779 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-5_globular-basal_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-5_globular-basal_Rep2_ATH1	GSM133779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	basal tissue
GSE5730GSM133757	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	heart stage embryo	cotyledon pole	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: heart stage embryo, cotyledon pole	GSE5730GSM133757 sample	GSE5730GSM133757 extract	total_RNA	GSE5730GSM133757 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-8_heart-stage-cotyledon_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-8_heart-stage-cotyledon_Rep2_ATH1	GSM133757.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	heart stage embryo	cotyledon pole
GSE5730GSM133758	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	heart stage embryo	root pole	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: heart stage embryo, root pole	GSE5730GSM133758 sample	GSE5730GSM133758 extract	total_RNA	GSE5730GSM133758 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-11_heart-stage-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-11_heart-stage-root_Rep2_ATH1	GSM133758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	heart stage embryo	root pole
