Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[CellType]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE10501GSM266666	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	columella root cap	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266666 sample	P-G10501-4	GSE10501GSM266666 extract	total_RNA	P-G10501-3	GSE10501GSM266666 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 1	GSM266666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	columella root cap
GSE10501GSM266667	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	columella root cap	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266667 sample	P-G10501-4	GSE10501GSM266667 extract	total_RNA	P-G10501-3	GSE10501GSM266667 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 2	GSM266667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	columella root cap
GSE10501GSM266668	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	columella root cap	Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266668 sample	P-G10501-4	GSE10501GSM266668 extract	total_RNA	P-G10501-3	GSE10501GSM266668 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, columella root cap, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, columella root cap, -Fe, replicate 3	GSM266668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	columella root cap
GSE10501GSM266669	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root cortex	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266669 sample	P-G10501-4	GSE10501GSM266669 extract	total_RNA	P-G10501-3	GSE10501GSM266669 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 1	GSM266669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root cortex
GSE10501GSM266670	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root cortex	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266670 sample	P-G10501-4	GSE10501GSM266670 extract	total_RNA	P-G10501-3	GSE10501GSM266670 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 2	GSM266670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root cortex
GSE10501GSM266671	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root cortex	Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266671 sample	P-G10501-4	GSE10501GSM266671 extract	total_RNA	P-G10501-3	GSE10501GSM266671 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, cortex, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, cortex, -Fe, replicate 3	GSM266671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root cortex
GSE10501GSM266672	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root endodermis and quiescent centre	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266672 sample	P-G10501-4	GSE10501GSM266672 extract	total_RNA	P-G10501-3	GSE10501GSM266672 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 1	GSM266672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root endodermis and quiescent centre
GSE10501GSM266673	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root endodermis and quiescent centre	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266673 sample	P-G10501-4	GSE10501GSM266673 extract	total_RNA	P-G10501-3	GSE10501GSM266673 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 2	GSM266673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root endodermis and quiescent centre
GSE10501GSM266674	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root endodermis and quiescent centre	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266674 sample	P-G10501-4	GSE10501GSM266674 extract	total_RNA	P-G10501-3	GSE10501GSM266674 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 3	GSM266674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root endodermis and quiescent centre
GSE10501GSM266662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	protoplast	Columbia	root epidermis and lateral root cap	Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10501-1	P-G10501-2	GSE10501GSM266662 sample	P-G10501-4	GSE10501GSM266662 extract	total_RNA	P-G10501-3	GSE10501GSM266662 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 1	GSM266662.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10501-processed-data-1626141560.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10501/E-GEOD-10501.processed.1.zip	root epidermis and lateral root cap
