Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]
GSM1113278 1	101038-48	Arabidopsis petioles, 2h low R/FR + SA treatment	low R/FR_SA spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113278 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113278 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113278	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113278_101038-48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113278_sample_table.txt norm	GSM1113278_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, salicylic acid spray
GSM1113277 1	101038-47	Arabidopsis petioles, 2h low R/FR + SA treatment	low R/FR_SA spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113277 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113277 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113277	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113277_101038-47.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113277_sample_table.txt norm	GSM1113277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, salicylic acid spray
GSM1113276 1	101038-46	Arabidopsis petioles, 2h low R/FR + SA treatment	low R/FR_SA spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113276 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113276 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113276	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113276_101038-46.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113276_sample_table.txt norm	GSM1113276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, salicylic acid spray
GSM1113275 1	101038-45	Arabidopsis petioles, 2h low R/FR treatment	low R/FR_mock spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113275 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113275 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113275	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113275_101038-45.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113275_sample_table.txt norm	GSM1113275_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, mock spray
GSM1113274 1	101038-30	Arabidopsis petioles, 2h low R/FR treatment	low R/FR_mock spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113274 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113274 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113274	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113274_101038-30.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113274_sample_table.txt norm	GSM1113274_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, mock spray
GSM1113273 1	101038-29	Arabidopsis petioles, 2h low R/FR treatment	low R/FR_mock spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113273 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113273 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113273	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113273_101038-29.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113273_sample_table.txt norm	GSM1113273_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	low red/far-red ratio, mock spray
GSM1113272 1	101038-28	Arabidopsis petioles, 2h SA treatment	high R/FR_SA spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113272 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113272 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113272	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113272_101038-28.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113272_sample_table.txt norm	GSM1113272_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	high red/far-red ratio (control), salicylic acid spray
GSM1113271 1	101038-27_2	Arabidopsis petioles, 2h SA treatment	high R/FR_SA spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113271 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113271 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113271	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113271_101038-27_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113271_sample_table.txt norm	GSM1113271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	high red/far-red ratio (control), salicylic acid spray
GSM1113270 1	101038-12	Arabidopsis petioles, 2h SA treatment	high R/FR_SA spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113270 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113270 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113270	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113270_101038-12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113270_sample_table.txt norm	GSM1113270_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	high red/far-red ratio (control), salicylic acid spray
GSM1113269 1	101038-11	Arabidopsis petioles, 2h control treatment	high R/FR_mock spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	petiole	P-GSE45728-2	ArrayExpress	P-GSE45728-3	ArrayExpress	P-GSE45728-4	ArrayExpress	GSM1113269 extract 1	total RNA	P-GSE45728-5	ArrayExpress	GSM1113269 LE 1	biotin	P-GSE45728-6	ArrayExpress	GSM1113269	A-AFFY-2	ArrayExpress	array assay	P-GSE45728-7	ArrayExpress	P-GSE45728-8	ArrayExpress	GSM1113269_101038-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.raw.1.zip	P-GSE45728-1	ArrayExpress	GSM1113269_sample_table.txt norm	GSM1113269_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-45728/E-GEOD-45728.processed.1.zip	high red/far-red ratio (control), mock spray
