Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype/ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM828866 1	Arabidopsis-L-3 Gene expression data from leafminer directly damaged Arabidopsis leaves	leafminer damaged A.thaliana seedling	Leafminer damaged A.thaliana seedlings rep3	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828866 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828866 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828866	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828866_080722-ATH1-08370A_L-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828866_sample_table.txt norm	GSM828866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828865 1	Arabidopsis-L-2 Gene expression data from leafminer directly damaged Arabidopsis leaves	leafminer damaged A.thaliana seedling	Leafminer damaged A.thaliana seedlings rep2	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828865 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828865 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828865	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828865_080722-ATH1-08370A_L-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828865_sample_table.txt norm	GSM828865_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828864 1	Arabidopsis-L-1 Gene expression data from leafminer directly damaged Arabidopsis leaves	leafminer damaged A.thaliana seedling	Leafminer damaged A.thaliana seedlings rep1	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828864 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828864 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828864	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828864_080722-ATH1-08370A_L-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828864_sample_table.txt norm	GSM828864_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828863 1	Arabidopsis-H-3 Gene expression data from control healthy Arabidopsis leaves	healthy A.thaliana seedling	Healthy A.thaliana seedlings rep3	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828863 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828863 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828863	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828863_080722-ATH1-08370A_H-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828863_sample_table.txt norm	GSM828863_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828862 1	Arabidopsis-H-2 Gene expression data from control healthy Arabidopsis leaves	healthy A.thaliana seedling	Healthy A.thaliana seedlings rep2	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828862 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828862 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828862	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828862_080722-ATH1-08370A_H-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828862_sample_table.txt norm	GSM828862_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828861 1	Arabidopsis-H-1 Gene expression data from control healthy Arabidopsis leaves	healthy A.thaliana seedling	Healthy A.thaliana seedlings rep1	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828861 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828861 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828861	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828861_080722-ATH1-08370A_H-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828861_sample_table.txt norm	GSM828861_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828860 1	Arabidopsis-LH-48h-3 Gene expression data from leaves treated by volatiles from leafminer damaged lima bean for 48h	A.thaliana seedling_volatile treated_48h	A.thaliana seedlings treated by volatiles from leafminer damaged Lima bean plants for 48h rep3	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828860 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828860 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828860	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828860_090117-ATH1-08666A_LH-48h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828860_sample_table.txt norm	GSM828860_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828859 1	Arabidopsis-LH-48h-2 Gene expression data from leaves treated by volatiles from leafminer damaged lima bean for 48h	A.thaliana seedling_volatile treated_48h	A.thaliana seedlings treated by volatiles from leafminer damaged Lima bean plants for 48h rep2	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828859 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828859 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828859	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828859_090117-ATH1-08666A_LH-48h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828859_sample_table.txt norm	GSM828859_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828858 1	Arabidopsis-LH-48h-1 Gene expression data from leaves treated by volatiles from leafminer damaged lima bean for 48h	A.thaliana seedling_volatile treated_48h	A.thaliana seedlings treated by volatiles from leafminer damaged Lima bean plants for 48h rep1	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828858 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828858 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828858	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828858_090117-ATH1-08666A_LH-48h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828858_sample_table.txt norm	GSM828858_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
GSM828857 1	Arabidopsis-LH-24h-2 Gene expression data from leaves treated by volatiles from leafminer damaged lima bean for 24h	A.thaliana seedling_volatile treated_24h	A.thaliana seedlings treated by volatiles from leafminer damaged Lima bean plants for 24h rep2	4-week old	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaves	P-GSE33505-2	ArrayExpress	P-GSE33505-3	ArrayExpress	P-GSE33505-4	ArrayExpress	GSM828857 extract 1	total RNA	P-GSE33505-5	ArrayExpress	GSM828857 LE 1	biotin	P-GSE33505-6	ArrayExpress	GSM828857	A-AFFY-2	ArrayExpress	array assay	P-GSE33505-7	ArrayExpress	GSM828857_090117-ATH1-08666A_LH-24h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.raw.1.zip	P-GSE33505-1	ArrayExpress	GSM828857_sample_table.txt norm	GSM828857_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33505/E-GEOD-33505.processed.1.zip
