Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[tissue]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [AGENT]	FactorValue [TIME]
GSM865985 1	Seedlings_R3089_24h_B	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 24h	seedling at T24, exp. to volatiles Sm. R3089, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865985 extract 1	total RNA	P-GSE35325-5	  	GSM865985 LE 1	biotin	P-GSE35325-6	  	GSM865985	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865985_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865985_sample_table.txt norm	GSM865985_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	volatiles from Stenotrophomonas maltophilia R3089	24 hrs
GSM865984 1	Seedlings_R3089_24h_A	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 24h	seedling at T24, exp. to volatiles Sm. R3089, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865984 extract 1	total RNA	P-GSE35325-5	  	GSM865984 LE 1	biotin	P-GSE35325-6	  	GSM865984	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865984_19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865984_sample_table.txt norm	GSM865984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	volatiles from Stenotrophomonas maltophilia R3089	24 hrs
GSM865983 1	Seedlings_HRO-C48_24h_B	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 24h	seedling at T24, exp. to volatiles Sp. HRO-C48, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865983 extract 1	total RNA	P-GSE35325-5	  	GSM865983 LE 1	biotin	P-GSE35325-6	  	GSM865983	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865983_18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865983_sample_table.txt norm	GSM865983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	volatiles from Serratia plymuthica HRO-C48	24 hrs
GSM865982 1	Seedlings_HRO-C48_24h_A	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 24h	seedling at T24, exp. to volatiles Sp. HRO-C48, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865982 extract 1	total RNA	P-GSE35325-5	  	GSM865982 LE 1	biotin	P-GSE35325-6	  	GSM865982	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865982_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865982_sample_table.txt norm	GSM865982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	volatiles from Serratia plymuthica HRO-C48	24 hrs
GSM865981 1	Seedlings_untreated_24h_B	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 24h	seedling at T24, untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865981 extract 1	total RNA	P-GSE35325-5	  	GSM865981 LE 1	biotin	P-GSE35325-6	  	GSM865981	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865981_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865981_sample_table.txt norm	GSM865981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	untreated	24 hrs
GSM865980 1	Seedlings_untreated_24h_A	Gene expression data from 5 days old seedlings, 24 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 24h	seedling at T24, untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865980 extract 1	total RNA	P-GSE35325-5	  	GSM865980 LE 1	biotin	P-GSE35325-6	  	GSM865980	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865980_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865980_sample_table.txt norm	GSM865980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	5 days	untreated	24 hrs
GSM865979 1	Seedlings_R3089_12h_B	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 12h	seedling at T12, exp. to volatiles Sm. R3089, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865979 extract 1	total RNA	P-GSE35325-5	  	GSM865979 LE 1	biotin	P-GSE35325-6	  	GSM865979	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865979_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865979_sample_table.txt norm	GSM865979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Stenotrophomonas maltophilia R3089	12 hrs
GSM865978 1	Seedlings_R3089_12h_A	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 12h	seedling at T12, exp. to volatiles Sm. R3089, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865978 extract 1	total RNA	P-GSE35325-5	  	GSM865978 LE 1	biotin	P-GSE35325-6	  	GSM865978	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865978_13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865978_sample_table.txt norm	GSM865978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Stenotrophomonas maltophilia R3089	12 hrs
GSM865977 1	Seedlings_HRO-C48_12h_B	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 12h	seedling at T12, exp. to volatiles Sp. HRO-C48, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865977 extract 1	total RNA	P-GSE35325-5	  	GSM865977 LE 1	biotin	P-GSE35325-6	  	GSM865977	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865977_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865977_sample_table.txt norm	GSM865977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Serratia plymuthica HRO-C48	12 hrs
GSM865976 1	Seedlings_HRO-C48_12h_A	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 12h	seedling at T12, exp. to volatiles Sp. HRO-C48, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865976 extract 1	total RNA	P-GSE35325-5	  	GSM865976 LE 1	biotin	P-GSE35325-6	  	GSM865976	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865976_11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865976_sample_table.txt norm	GSM865976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Serratia plymuthica HRO-C48	12 hrs
