Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics[organism part]	Characteristics [genotype]	Comment [genetic background]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue[dose]	Unit [concentration unit]	FactorValue[time]	Unit [time unit]
GSM958489 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants with salt stress for 24 h	Arabidopsis rsa1-1, salt, 24 h.	rsa1 salt 12 h rep3	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958489 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958489 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958489	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958489_rsa1-24_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958489_sample_table.txt norm	GSM958489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	sodium chloride	120	millimolar	24	hour
GSM958488 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants with salt stress for 24 h	Arabidopsis rsa1-1, salt, 24 h.	rsa1 salt 12 h rep2	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958488 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958488 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958488	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958488_rsa1-24_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958488_sample_table.txt norm	GSM958488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	sodium chloride	120	millimolar	24	hour
GSM958487 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants with salt stress for 24 h	Arabidopsis rsa1-1, salt, 24 h.	rsa1 salt 12 h rep1	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958487 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958487 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958487	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958487_rsa1-24_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958487_sample_table.txt norm	GSM958487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	sodium chloride	120	millimolar	24	hour
GSM958486 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants without salt stress	Arabidopsis rsa1-1, salt, 0 h.	rsa1 salt 0 h rep3	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958486 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958486 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958486	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958486_rsa1-0_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958486_sample_table.txt norm	GSM958486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	control	0	millimolar	0	hour
GSM958485 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants without salt stress	Arabidopsis rsa1-1, salt, 0 h.	rsa1 salt 0 h rep2	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958485 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958485 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958485	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958485_rsa1-0_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958485_sample_table.txt norm	GSM958485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	control	0	millimolar	0	hour
GSM958484 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	rsa1-1 mutant	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis rsa1-1 plants without salt stress	Arabidopsis rsa1-1, salt, 0 h.	rsa1 salt 0 h rep1	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958484 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958484 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958484	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958484_rsa1-0_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958484_sample_table.txt norm	GSM958484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	rsa1-1 mutant	control	0	millimolar	0	hour
GSM958483 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	wild type	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis wild type plants with salt stress for 24 h	Arabidopsis wild type, salt, 24 h.	WT salt 12 h rep3	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958483 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958483 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958483	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958483_WT-24_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958483_sample_table.txt norm	GSM958483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	wild type	sodium chloride	120	millimolar	24	hour
GSM958482 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	wild type	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis wild type plants with salt stress for 24 h	Arabidopsis wild type, salt, 24 h.	WT salt 12 h rep2	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958482 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958482 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958482	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958482_WT-24_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958482_sample_table.txt norm	GSM958482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	wild type	sodium chloride	120	millimolar	24	hour
GSM958481 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	wild type	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis wild type plants with salt stress for 24 h	Arabidopsis wild type, salt, 24 h.	WT salt 12 h rep1	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958481 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958481 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958481	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958481_WT-24_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958481_sample_table.txt norm	GSM958481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	wild type	sodium chloride	120	millimolar	24	hour
GSM958480 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7	day	seedling	whole organism	wild type	Columbia gl1 expressing RD29A::LUC transgene	Gene expression data from Arabidopsis wild type plants without salt stress	Arabidopsis wild type, salt, 0 h.	WT salt 0 h rep3	P-GSE39236-2	ArrayExpress	P-GSE39236-3	ArrayExpress	P-GSE39236-4	ArrayExpress	GSM958480 extract 1	total RNA	P-GSE39236-5	ArrayExpress	GSM958480 LE 1	biotin	P-GSE39236-6	ArrayExpress	GSM958480	A-AFFY-2	ArrayExpress	array assay	P-GSE39236-7	ArrayExpress	GSM958480_WT-0_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.raw.1.zip	P-GSE39236-1	ArrayExpress	GSM958480_sample_table.txt norm	GSM958480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39236/E-GEOD-39236.processed.1.zip	wild type	control	0	millimolar	0	hour
