Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]
GSM1516669 1	12am_T_3	wild type_12am	wild type, 12am, total RNA, replicate 3	10 days	Columbia	wild type	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516669 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516669 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516669	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516669_12_12AM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516669_sample_table.txt norm	GSM1516669_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	12am
GSM1516668 1	6pm_T_3	wild type_6pm	wild type, 6pm, total RNA, replicate 3	10 days	Columbia	wild type	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516668 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516668 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516668	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516668_11_6PM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516668_sample_table.txt norm	GSM1516668_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	6pm
GSM1516667 1	12pm_T_3	wild type_12pm	wild type, 12pm, total RNA, replicate 3	10 days	Columbia	wild type	12pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516667 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516667 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516667	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516667_10_12PM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516667_sample_table.txt norm	GSM1516667_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	12pm
GSM1516666 1	6am_T_3	wild type_6am	wild type, 6am, total RNA, replicate 3	10 days	Columbia	wild type	6am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516666 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516666 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516666	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516666_9_6AM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516666_sample_table.txt norm	GSM1516666_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	6am
GSM1516665 1	12am_T_2	wild type_12am	wild type, 12am, total RNA, replicate 2	10 days	Columbia	wild type	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516665 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516665 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516665	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516665_8_12AM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516665_sample_table.txt norm	GSM1516665_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	12am
GSM1516664 1	6pm_T_2	wild type_6pm	wild type, 6pm, total RNA, replicate 2	10 days	Columbia	wild type	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516664 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516664 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516664	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516664_7_6PM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516664_sample_table.txt norm	GSM1516664_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	6pm
GSM1516663 1	12pm_T_2	wild type_12pm	wild type, 12pm, total RNA, replicate 2	10 days	Columbia	wild type	12pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516663 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516663 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516663	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516663_6_12PM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516663_sample_table.txt norm	GSM1516663_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	12pm
GSM1516662 1	6am_T_2	wild type_6am	wild type, 6am, total RNA, replicate 2	10 days	Columbia	wild type	6am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516662 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516662 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516662	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516662_5_6AM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516662_sample_table.txt norm	GSM1516662_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	6am
GSM1516661 1	12am_T_1	wild type_12am	wild type, 12am, total RNA, replicate 1	10 days	Columbia	wild type	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516661 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516661 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516661	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516661_4_12AM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516661_sample_table.txt norm	GSM1516661_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	12am
GSM1516660 1	6pm_T_1	wild type_6pm	wild type, 6pm, total RNA, replicate 1	10 days	Columbia	wild type	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61895-2	ArrayExpress	P-GSE61895-3	ArrayExpress	GSM1516660 extract 1	total RNA	P-GSE61895-4	ArrayExpress	GSM1516660 LE 1	biotin	P-GSE61895-5	ArrayExpress	GSM1516660	A-AFFY-2	ArrayExpress	array assay	P-GSE61895-6	ArrayExpress	GSM1516660_3_6PM_T.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.raw.1.zip	P-GSE61895-1	ArrayExpress	GSM1516660_sample_table.txt norm	GSM1516660_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61895/E-GEOD-61895.processed.1.zip	6pm
