Source Name	Characteristics [NASC:Growth Stage]	Characteristics [Organism]	Characteristics [Ecotype]	Characteristics [GeneticVariation]	Characteristics [StrainOrLine]	Protocol REF	Parameter Value [location]	Parameter Value [Humidity]	Parameter Value [Atmosphere]	Parameter Value [Temperature]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Walters_A-01-Kruger-WL1_SRC	3.7	Arabidopsis thaliana	Ws-2	  	  	NASC:GrowthProtocol:509	Growth Room	50%	Normal	20C day/15C night	1590663764	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663612	total_RNA	NASC:LabellingProtocol	Walters_A-01-Kruger-WL1_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:707:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-01-Kruger-WL1_REP1	external-data-2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-02-Kruger-WL2_SRC	3.7	Arabidopsis thaliana	Ws-2	  	  	NASC:GrowthProtocol:510	Growth Room	50%	Normal	20C day/15C night	1590663783	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663625	total_RNA	NASC:LabellingProtocol	Walters_A-02-Kruger-WL2_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:708:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-02-Kruger-WL2_REP2	external-data-10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-08-Kruger-ML1_SRC	3.7	Arabidopsis thaliana	Ws-2	T-DNA insert	ape2	NASC:GrowthProtocol:515	Growth Room	50%	Normal	20C day/15C night	1590663854	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663690	total_RNA	NASC:LabellingProtocol	Walters_A-07-Kruger-ML1_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:713:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-07-Kruger-ML1_REP1	external-data-6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-12_Kruger-MH3_SRC	3.7	Arabidopsis thaliana	Ws-2	T-DNA insert	ape2	NASC:GrowthProtocol:663	Growth Room	50%	Normal	20C day/15C night	1590663917	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663756	total_RNA	NASC:LabellingProtocol	Walters_A-12-Kruger-MH3_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:751:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-12-Kruger-MH3_REP3	external-data-24.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-07-Kruger-WH3_SRC	3.7	Arabidopsis thaliana	Ws-2	  	  	NASC:GrowthProtocol:514	Growth Room	50%	Normal	20C day/15C night	1590663840	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663677	total_RNA	NASC:LabellingProtocol	Walters_A-06-Kruger-WH3_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:712:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-06-Kruger-WH3_REP3	external-data-20.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-06-Kruger-WH2_SRC	3.7	Arabidopsis thaliana	Ws-2	  	  	NASC:GrowthProtocol:513	Growth Room	50%	Normal	20C day/15C night	1590663826	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663664	total_RNA	NASC:LabellingProtocol	Walters_A-05-Kruger-WH2_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:711:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-05-Kruger-WH2_REP2	external-data-12.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-11_Kruger-MH2_SRC	3.7	Arabidopsis thaliana	Ws-2	T-DNA insert	ape2	NASC:GrowthProtocol:662	Growth Room	50%	Normal	20C day/15C night	1590663905	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663743	total_RNA	NASC:LabellingProtocol	Walters_A-11-Kruger-MH2_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:750:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-11-Kruger-MH2_REP2	external-data-16.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-04-Kruger-WH1_SRC	3.7	Arabidopsis thaliana	Ws-2	  	  	NASC:GrowthProtocol:512	Growth Room	50%	Normal	20C day/15C night	1590663811	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663651	total_RNA	NASC:LabellingProtocol	Walters_A-04-Kruger-WH1_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:710:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-04-Kruger-WH1_REP1	external-data-4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-10_Kruger-MH1_SRC	3.7	Arabidopsis thaliana	Ws-2	T-DNA insert	ape2	NASC:GrowthProtocol:661	Growth Room	50%	Normal	20C day/15C night	1590663893	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663729	total_RNA	NASC:LabellingProtocol	Walters_A-10-Kruger-MH1_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:749:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-10-Kruger-MH1_REP1	external-data-8.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
Walters_A-09-Kruger-ML3_SRC	3.7	Arabidopsis thaliana	Ws-2	T-DNA insert	ape2	NASC:GrowthProtocol:517	Growth Room	50%	Normal	20C day/15C night	1590663881	unshaded mature rosette leaves	unshaded mature rosette leaves	NASC:ExtractProtocol:3	1590663716	total_RNA	NASC:LabellingProtocol	Walters_A-09-Kruger-ML3_EXT	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:715:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Walters_A-09-Kruger-ML3_REP3	external-data-22.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.raw.2.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-69-processed-data-1590664862.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-69/E-NASC-69.processed.1.zip
