Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1362226 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Ambient CO2 fully expanded leaf replicate 4	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362226 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362226 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362226	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362226_5137_E_AF7_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362226_sample_table.txt norm	GSM1362226_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362225 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Elevated CO2 fully expanded leaf replicate 4	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362225 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362225 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362225	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362225_5136_E_EF8_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362225_sample_table.txt norm	GSM1362225_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362224 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Ambient CO2 fully expanded leaf replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362224 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362224 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362224	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362224_5135_E_AF6_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362224_sample_table.txt norm	GSM1362224_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362223 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Elevated CO2 fully expanded leaf replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362223 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362223 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362223	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362223_5134_E_EF7_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362223_sample_table.txt norm	GSM1362223_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362222 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Elevated CO2 fully expanded leaf replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362222 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362222 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362222	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362222_5133_E_EF6_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362222_sample_table.txt norm	GSM1362222_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362221 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Ambient CO2 fully expanded leaf replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362221 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362221 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362221	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362221_5132_E_AF3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362221_sample_table.txt norm	GSM1362221_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362220 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Elevated CO2 fully expanded leaf replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362220 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362220 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362220	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362220_5131_E_EF2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362220_sample_table.txt norm	GSM1362220_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362219 1	gene expression data from mature, youngest most fully expanded leaf 10	Leaf 10 fully expanded	Ambient CO2 fully expanded leaf replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362219 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362219 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362219	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362219_5130_E_AF2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362219_sample_table.txt norm	GSM1362219_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362218 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Elevated CO2 leaf primordia replicate 4	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362218 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362218 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362218	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362218_5117_E_E32_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362218_sample_table.txt norm	GSM1362218_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362217 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Ambient CO2 leaf primordia replicate 4	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362217 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362217 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362217	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362217_5116_E_A31_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362217_sample_table.txt norm	GSM1362217_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
