Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics [ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]	FactorValue [time]	Unit [time unit]
M0 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M0 rep2	total_RNA	P-AFFY-2	L_M0 rep2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M0 rep2	A-AFFY-2	P-AFFY-6	M0rep2ATH1.CEL	M0rep2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	0	hour
M0 rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M0 rep1	total_RNA	P-AFFY-2	L_M0 rep1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M0 rep1	A-AFFY-2	P-AFFY-6	M0rep1ATH1.CEL	M0rep1ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	0	hour
M0 rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M0 rep3	total_RNA	P-AFFY-2	L_M0 rep3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M0 rep3	A-AFFY-2	P-AFFY-6	M0rep3ATH1.CEL	M0rep3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	0	hour
M3 rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M3 rep3	total_RNA	P-AFFY-2	L_M3 rep3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M3 rep3	A-AFFY-2	P-AFFY-6	M3rep3ATH1.CEL	M3rep3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	3	hour
M3 rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M3 rep1	total_RNA	P-AFFY-2	L_M3 rep1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M3 rep1	A-AFFY-2	P-AFFY-6	M3rep1ATH1.CEL	M3rep1ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	3	hour
M3 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M3 rep2	total_RNA	P-AFFY-2	L_M3 rep2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M3 rep2	A-AFFY-2	P-AFFY-6	M3rep2ATH1.CEL	M3rep2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	3	hour
M12 rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M12 rep3	total_RNA	P-AFFY-2	L_M12 rep3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M12 rep3	A-AFFY-2	P-AFFY-6	M12rep3ATH1.CEL	M12rep3ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	12	hour
M12 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M12 rep2	total_RNA	P-AFFY-2	L_M12 rep2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M12 rep2	A-AFFY-2	P-AFFY-6	M12rep2ATH1.CEL	M12rep2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	12	hour
M12 rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_M12 rep1	total_RNA	P-AFFY-2	L_M12 rep1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_M12 rep1	A-AFFY-2	P-AFFY-6	M12rep1ATH1.CEL	M12rep1ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	methanol	0.25	percent	12	hour
R0 rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cell culture	Landsberg erecta	P-MTAB-1693	P-MTAB-1694	P-MTAB-1695	E_R0 rep2	total_RNA	P-AFFY-2	L_R0 rep2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_R0 rep2	A-AFFY-2	P-AFFY-6	R0rep2ATH1.CEL	R0rep2ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1797-processed-data-1669768673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1797/E-MEXP-1797.processed.1.zip	rotenone	40	micromolar	0	hour
