Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[GeneticModification]	Characteristics[Genotype]	Characteristics[DiseaseState]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[DISEASE_STATE]	Factor Value[GENOTYPE]
aba1-6 Mock	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_aba1.6 Mock	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 Mock	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_1_aba1-6 Mock	A-AFFY-2	P-MTAB-28289	Mutante2MOCKH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	aba1-6
aba1-6 Mock II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_aba1-6 Mock II	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 Mock II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 Mock II	A-AFFY-2	P-MTAB-28289	Mutant2MOCKH3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	aba1-6
aba1-6 Mock III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_aba1-6 Mock III	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 Mock III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 Mock III	A-AFFY-2	P-MTAB-28289	Mutante2MOCKH5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	aba1-6
aba1-6 Pc	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_aba1-6 Pc	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 Pc_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 Pc_1	A-AFFY-2	P-MTAB-28289	Mutante2InoculadoI1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	aba1-6
aba1-6 Pc III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_aba1-6 Pc III	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 Pc III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 Pc III	A-AFFY-2	P-MTAB-28289	Mutante2InoculadoI5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	aba1-6
aba1-6 t0	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	normal	P-MTAB-28290	  	P-MTAB-28287	E_aba1-6 t0	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 t0	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 t0	A-AFFY-2	P-MTAB-28289	Mutante2t0G1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	aba1-6
aba1-6 t0 II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	normal	P-MTAB-28290	  	P-MTAB-28287	E_aba1-6 t0 II	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 t0 II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 t0 II	A-AFFY-2	P-MTAB-28289	Mutante2t0G3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	aba1-6
aba1-6 t0 III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	gene_knock_out	aba1-6	normal	P-MTAB-28290	  	P-MTAB-28287	E_aba1-6 t0 III	total_RNA	P-AFFY-2	ArrayExpress	L_aba1-6 t0 III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_aba1-6 t0 III	A-AFFY-2	P-MTAB-28289	Mutante2t0G5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	aba1-6
Col-0 Mock	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Mock	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Mock	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Mock	A-AFFY-2	P-MTAB-28289	wtMOCKB1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	wild_type
Col-0 Mock II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Mock II	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Mock II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Mock II	A-AFFY-2	P-MTAB-28289	wtMOCKB3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	wild_type
Col-0 Mock III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	Mock infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Mock III	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Mock III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Mock III	A-AFFY-2	P-MTAB-28289	wtMOCKB5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	Mock infected	wild_type
Col-0 Pc	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Pc	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Pc	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Pc	A-AFFY-2	P-MTAB-28289	wtinoculadoC1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	wild_type
Col-0 Pc II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Pc II	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Pc II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_1_aba1-6 Pc II	A-AFFY-2	P-MTAB-28289	Mutante2InoculadoI3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	wild_type
Col-0 Pc II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Pc II	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Pc II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Pc II	A-AFFY-2	P-MTAB-28289	wtInoculadoC3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	wild_type
Col-0 Pc III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	P. cucumerina infected	P-MTAB-28290	P-MTAB-28288	P-MTAB-28287	E_Col-0 Pc III	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 Pc III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 Pc III	A-AFFY-2	P-MTAB-28289	wtInoculadoC5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	P. cucumerina infected	wild_type
Col-0 t0	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	normal	P-MTAB-28290	  	P-MTAB-28287	E_Col-0 t0	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 t0	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 t0	A-AFFY-2	P-MTAB-28289	wtt0A1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	wild_type
Col-0 t0 II	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	normal	P-MTAB-28290	  	P-MTAB-28287	E_Col-0 t0 II	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 t0 II	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 t0 II	A-AFFY-2	P-MTAB-28289	wtt0A3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	wild_type
Col-0 t0 III	whole organism	Arabidopsis thaliana	frozen_sample	3	week	  	wild_type	normal	P-MTAB-28290	  	P-MTAB-28287	E_Col-0 t0 III	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 t0 III	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 t0 III	A-AFFY-2	P-MTAB-28289	wtt0A5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3733/E-MEXP-3733.raw.1.zip	normal	wild_type
