Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM594720 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 6hrs was isolated to use for control. Replicate 5 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 6hrs	10d seedlings harboring empty vector treated with CHX, rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594720 extract 1	total RNA	P-GSE24169-5	GSM594720 LE 1	Biotin	P-GSE24169-6	GSM594720	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594720_sample_table.txt norm	GSM594720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 6hrs
GSM594719 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 6hrs was isolated to use for control. Replicate 4 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 6hrs	10d seedlings harboring empty vector treated with CHX, rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594719 extract 1	total RNA	P-GSE24169-5	GSM594719 LE 1	Biotin	P-GSE24169-6	GSM594719	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594719.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594719_sample_table.txt norm	GSM594719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 6hrs
GSM594718 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 6hrs was isolated to use for control. Replicate 3 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 6hrs	10d seedlings harboring empty vector treated with CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594718 extract 1	total RNA	P-GSE24169-5	GSM594718 LE 1	Biotin	P-GSE24169-6	GSM594718	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594718_sample_table.txt norm	GSM594718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 6hrs
GSM594717 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 6hrs was isolated to use for control. Replicate 2 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 6hrs	10d seedlings harboring empty vector treated with CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594717 extract 1	total RNA	P-GSE24169-5	GSM594717 LE 1	Biotin	P-GSE24169-6	GSM594717	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594717_sample_table.txt norm	GSM594717_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 6hrs
GSM594716 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 6hrs was isolated to use for control. Replicate 1 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 6hrs	10d seedlings harboring empty vector treated with CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594716 extract 1	total RNA	P-GSE24169-5	GSM594716 LE 1	Biotin	P-GSE24169-6	GSM594716	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594716_sample_table.txt norm	GSM594716_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 6hrs
GSM594715 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by DEX without new protein synthesis. Replicate 5 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings harboring empty vector treated with DEX plus CHX, rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594715 extract 1	total RNA	P-GSE24169-5	GSM594715 LE 1	Biotin	P-GSE24169-6	GSM594715	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594715.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594715_sample_table.txt norm	GSM594715_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594714 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by DEX without new protein synthesis. Replicate 4 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings harboring empty vector treated with DEX plus CHX, rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594714 extract 1	total RNA	P-GSE24169-5	GSM594714 LE 1	Biotin	P-GSE24169-6	GSM594714	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594714.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594714_sample_table.txt norm	GSM594714_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594713 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by DEX without new protein synthesis. Replicate 3 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings harboring empty vector treated with DEX plus CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594713 extract 1	total RNA	P-GSE24169-5	GSM594713 LE 1	Biotin	P-GSE24169-6	GSM594713	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594713_sample_table.txt norm	GSM594713_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594712 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by DEX without new protein synthesis. Replicate 2 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings harboring empty vector treated with DEX plus CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594712 extract 1	total RNA	P-GSE24169-5	GSM594712 LE 1	Biotin	P-GSE24169-6	GSM594712	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594712_sample_table.txt norm	GSM594712_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594711 1	Total RNA from 10d whole seedlings expressing 35S:VP16-GR (empty vector) treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by DEX without new protein synthesis. Replicate 1 of 5.	10d whole seedlings harboring empty vector treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings harboring empty vector treated with DEX plus CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	control	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594711 extract 1	total RNA	P-GSE24169-5	GSM594711 LE 1	Biotin	P-GSE24169-6	GSM594711	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594711.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594711_sample_table.txt norm	GSM594711_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	control	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
