Source Name	Characteristics [age]	Unit[time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [specimen with known storage state]	Characteristics [genotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [time unit]	Factor Value [growth condition]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]
GSE3416GSM77065	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77065 sample	P-G3416-1	GSE3416GSM77065 extract	total_RNA	P-G3416-2	GSE3416GSM77065 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	12h Col-0 replicate B	A-AFFY-2	P-AFFY-6	12	hour	dark	  	  	12h Col-0 replicate B	gsm77065.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77064	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77064 sample	P-G3416-1	GSE3416GSM77064 extract	total_RNA	P-G3416-2	GSE3416GSM77064 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	12h Col-0 replicate A	A-AFFY-2	P-AFFY-6	12	hour	dark	  	  	12h Col-0 replicate A	gsm77064.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77066	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77066 sample	P-G3416-1	GSE3416GSM77066 extract	total_RNA	P-G3416-2	GSE3416GSM77066 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	12h Col-0 replicate C	A-AFFY-2	P-AFFY-6	12	hour	dark	  	  	12h Col-0 replicate C	gsm77066.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77068	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77068 sample	P-G3416-1	GSE3416GSM77068 extract	total_RNA	P-G3416-2	GSE3416GSM77068 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	16h Col-0 replicate B	A-AFFY-2	P-AFFY-6	16	hour	dark	  	  	16h Col-0 replicate B	gsm77068.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77069	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77069 sample	P-G3416-1	GSE3416GSM77069 extract	total_RNA	P-G3416-2	GSE3416GSM77069 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	16h Col-0 replicate C	A-AFFY-2	P-AFFY-6	16	hour	dark	  	  	16h Col-0 replicate C	gsm77069.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77067	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77067 sample	P-G3416-1	GSE3416GSM77067 extract	total_RNA	P-G3416-2	GSE3416GSM77067 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	16h Col-0 replicate A	A-AFFY-2	P-AFFY-6	16	hour	dark	  	  	16h Col-0 replicate A	gsm77067.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77071	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77071 sample	P-G3416-1	GSE3416GSM77071 extract	total_RNA	P-G3416-2	GSE3416GSM77071 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	20h Col-0 replicate B	A-AFFY-2	P-AFFY-6	20	hour	dark	  	  	20h Col-0 replicate B	gsm77071.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77070	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77070 sample	P-G3416-1	GSE3416GSM77070 extract	total_RNA	P-G3416-2	GSE3416GSM77070 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	20h Col-0 replicate A	A-AFFY-2	P-AFFY-6	20	hour	dark	  	  	20h Col-0 replicate A	gsm77070.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77072	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77072 sample	P-G3416-1	GSE3416GSM77072 extract	total_RNA	P-G3416-2	GSE3416GSM77072 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	20h Col-0 replicate C	A-AFFY-2	P-AFFY-6	20	hour	dark	  	  	20h Col-0 replicate C	gsm77072.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77057	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77057 sample	P-G3416-1	GSE3416GSM77057 extract	total_RNA	P-G3416-2	GSE3416GSM77057 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	00h Col-0 replicate C	A-AFFY-2	P-AFFY-6	0	hour	light	EFO	EFO_0000568	00h Col-0 replicate C	gsm77057.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77056	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77056 sample	P-G3416-1	GSE3416GSM77056 extract	total_RNA	P-G3416-2	GSE3416GSM77056 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	00h Col-0 replicate B	A-AFFY-2	P-AFFY-6	0	hour	light	EFO	EFO_0000568	00h Col-0 replicate B	gsm77056.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
GSE3416GSM77055	5 to 6	week	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	frozen sample	wild type	rosette leaf	EFO	EFO_0001984	GSE3416GSM77055 sample	P-G3416-1	GSE3416GSM77055 extract	total_RNA	P-G3416-2	GSE3416GSM77055 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	00h Col-0 replicate A	A-AFFY-2	P-AFFY-6	0	hour	light	EFO	EFO_0000568	00h Col-0 replicate A	gsm77055.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.raw.1.zip	E-GEOD-3416-processed-data-1436971272.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3416/E-GEOD-3416.processed.1.zip
