Source Name	Characteristics [Organism]	Characteristics [DevelopmentalStage]	Characteristics [Genotype]	Term Source REF	Characteristics [BioSourceProvider]	Description	Protocol REF	Parameter Value [Water]	Parameter Value [Lighting]	Parameter Value [Medium]	Parameter Value [Humidity]	Parameter Value [Temperature]	Parameter Value [location]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Newbury_1-7_Halleri-control-leaves(HLO)_Rep1_ATH1	Arabidopsis halleri	10-16 rosette leaves	wild_type	mo	  	"Arabidopsis halleri collected from Harz mountains, Germany."	NASCGrowProt:520	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-7_Halleri-control-leaves(HLO)_Rep1_ATH1	rosette leaves	rosette leaves	NASCExtractProtocol:3	393101261	total_RNA	NASCLabelProtocol:1	Newbury_1-7_Halleri-control-leaves(HLO)_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A7-NEWBU-HLO	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A7-NEWBU-HLO	E-NASC-44-raw-data-393101691.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-24_Petraea-highZn-leaves(PLH)_Rep3_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCSampleTreatmentProt:523	  	  	  	  	  	  	Newbury_1-24_Petraea-highZn-leaves(PLH)_Rep3_ATH1	rosette leaves	rosette leaves	NASCExtractProtocol:3	393101221	total_RNA	NASCLabelProtocol:1	Newbury_1-24_Petraea-highZn-leaves(PLH)_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A24-NEWBU-PLH	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A24-NEWBU-PLH	E-NASC-44-raw-data-393101997.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-3_Halleri-control-roots(HRO)_Rep1_ATH1	Arabidopsis halleri	10-16 rosette leaves	wild_type	mo	  	"Arabidopsis halleri collected from Harz mountains, Germany."	NASCGrowProt:519	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-3_Halleri-control-roots(HRO)_Rep1_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101229	total_RNA	NASCLabelProtocol:1	Newbury_1-3_Halleri-control-roots(HRO)_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A3-NEWBU-HRO	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A3-NEWBU-HRO	E-NASC-44-raw-data-393101619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-14_Petraea-control-roots(PRO)_Rep2_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCGrowProt:519	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-14_Petraea-control-roots(PRO)_Rep2_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101133	total_RNA	NASCLabelProtocol:1	Newbury_1-14_Petraea-control-roots(PRO)_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A14-NEWBU-PR0	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A14-NEWBU-PR0	E-NASC-44-raw-data-393101817.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-21_Petraea-control-leaves(PLO)_Rep3_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCGrowProt:520	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-21_Petraea-control-leaves(PLO)_Rep3_ATH1	rosette leaves	rosette leaves	NASCExtractProtocol:3	393101197	total_RNA	NASCLabelProtocol:1	Newbury_1-21_Petraea-control-leaves(PLO)_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A21-NEWBU-PLO	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A21-NEWBU-PLO	E-NASC-44-raw-data-393101943.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-18_Petraea-highZn-roots(PRH)_Rep3_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCGrowProt:518	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-18_Petraea-highZn-roots(PRH)_Rep3_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101165	total_RNA	NASCLabelProtocol:1	Newbury_1-18_Petraea-highZn-roots(PRH)_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A18-NEWBU-PRH	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A18-NEWBU-PRH	E-NASC-44-raw-data-393101889.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-17_Petraea-highZn-roots(PRH)_Rep2_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCGrowProt:518	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-17_Petraea-highZn-roots(PRH)_Rep2_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101157	total_RNA	NASCLabelProtocol:1	Newbury_1-17_Petraea-highZn-roots(PRH)_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A17-NEWBU-PRH	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A17-NEWBU-PRH	E-NASC-44-raw-data-393101871.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-4_Halleri-highZn-roots(HRH)_Rep1_ATH1	Arabidopsis halleri	10-16 rosette leaves	wild_type	mo	  	"Arabidopsis halleri collected from Harz mountains, Germany."	NASCGrowProt:518	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-4_Halleri-highZn-roots(HRH)_Rep1_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101237	total_RNA	NASCLabelProtocol:1	Newbury_1-4_Halleri-highZn-roots(HRH)_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A4-NEWBU-HRH	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A4-NEWBU-HRH	E-NASC-44-raw-data-393101637.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-6_Halleri-highZn-roots(HRH)_Rep3_ATH1	Arabidopsis halleri	10-16 rosette leaves	wild_type	mo	  	"Arabidopsis halleri collected from Harz mountains, Germany."	NASCGrowProt:518	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-6_Halleri-highZn-roots(HRH)_Rep3_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101253	total_RNA	NASCLabelProtocol:1	Newbury_1-6_Halleri-highZn-roots(HRH)_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A6-NEWBU-HRH	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A6-NEWBU-HRH	E-NASC-44-raw-data-393101673.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
Newbury_1-13_Petraea-control-roots(PRO)_Rep1_ATH1	Arabidopsis petraea	10-16 rosette leaves	wild_type	mo	Arabidopsis petraea collected from Bohemia	  	NASCGrowProt:519	weekly	10hrs	Full mineral medium	80	25	Growth Room	Newbury_1-13_Petraea-control-roots(PRO)_Rep1_ATH1	whole root system	whole root system	NASCExtractProtocol:3	393101125	total_RNA	NASCLabelProtocol:1	Newbury_1-13_Petraea-control-roots(PRO)_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JN001_ATH1_A13-NEWBU-PRO	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JN001_ATH1_A13-NEWBU-PRO	E-NASC-44-raw-data-393101799.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741	Affymetrix:Protocol:ExpressionStat	E-NASC-44-processed-data-1342344317.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-44/E-NASC-44.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=393103741
