Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE14374GSM359418	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359418 sample	P-G14374-5	GSE14374GSM359418 extract	total_RNA	P-G14374-3	GSE14374GSM359418 LE biotin	biotin	synthetic_RNA	"pil5, dark, biological rep1"	A-AFFY-2	P-AFFY-6	GSM359418.CEL	GSM359418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red light
GSE14374GSM359422	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359422 sample	P-G14374-5	GSE14374GSM359422 extract	total_RNA	P-G14374-3	GSE14374GSM359422 LE biotin	biotin	synthetic_RNA	"pil5, dark, biological rep2"	A-AFFY-2	P-AFFY-6	GSM359422.CEL	GSM359422.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red light
GSE14374GSM359426	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359426 sample	P-G14374-5	GSE14374GSM359426 extract	total_RNA	P-G14374-3	GSE14374GSM359426 LE biotin	biotin	synthetic_RNA	"pil5, dark, biological rep3"	A-AFFY-2	P-AFFY-6	GSM359426.CEL	GSM359426.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red light
GSE14374GSM359427	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359427 sample	P-G14374-5	GSE14374GSM359427 extract	total_RNA	P-G14374-3	GSE14374GSM359427 LE biotin	biotin	synthetic_RNA	"pil5, red light, biological rep3"	A-AFFY-2	P-AFFY-6	GSM359427.CEL	GSM359427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red/red light
GSE14374GSM359419	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359419 sample	P-G14374-5	GSE14374GSM359419 extract	total_RNA	P-G14374-3	GSE14374GSM359419 LE biotin	biotin	synthetic_RNA	"pil5, red light, biological rep1"	A-AFFY-2	P-AFFY-6	GSM359419.CEL	GSM359419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red/red light
GSE14374GSM359423	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from pil5 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : pil5 (Salk_072677)"	Genotype : pil5 (Salk_072677)	pil5 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	pil5-1	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359423 sample	P-G14374-5	GSE14374GSM359423 extract	total_RNA	P-G14374-3	GSE14374GSM359423 LE biotin	biotin	synthetic_RNA	"pil5, red light, biological rep2"	A-AFFY-2	P-AFFY-6	GSM359423.CEL	GSM359423.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	pil5-1	far-red/red light
GSE14374GSM359424	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359424 sample	P-G14374-5	GSE14374GSM359424 extract	total_RNA	P-G14374-3	GSE14374GSM359424 LE biotin	biotin	synthetic_RNA	"Col-0, dark, biological rep3"	A-AFFY-2	P-AFFY-6	GSM359424.CEL	GSM359424.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red light
GSE14374GSM359416	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359416 sample	P-G14374-5	GSE14374GSM359416 extract	total_RNA	P-G14374-3	GSE14374GSM359416 LE biotin	biotin	synthetic_RNA	"Col-0, dark, biological rep1"	A-AFFY-2	P-AFFY-6	GSM359416.CEL	GSM359416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red light
GSE14374GSM359420	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359420 sample	P-G14374-5	GSE14374GSM359420 extract	total_RNA	P-G14374-3	GSE14374GSM359420 LE biotin	biotin	synthetic_RNA	"Col-0, dark, biological rep2"	A-AFFY-2	P-AFFY-6	GSM359420.CEL	GSM359420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red light
GSE14374GSM359425	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359425 sample	P-G14374-5	GSE14374GSM359425 extract	total_RNA	P-G14374-3	GSE14374GSM359425 LE biotin	biotin	synthetic_RNA	"Col-0, red light, biological rep3"	A-AFFY-2	P-AFFY-6	GSM359425.CEL	GSM359425.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red/red light
GSE14374GSM359421	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359421 sample	P-G14374-5	GSE14374GSM359421 extract	total_RNA	P-G14374-3	GSE14374GSM359421 LE biotin	biotin	synthetic_RNA	"Col-0, red light, biological rep2"	A-AFFY-2	P-AFFY-6	GSM359421.CEL	GSM359421.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red/red light
GSE14374GSM359417	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation, Gene expression data from Col-0 imbibied seeds incubated in the dark for 12 hours after far-red/red light irradiation. Genotype : Col-0 wild type"	Genotype : Col-0 wild type	Col-0 imbibed seeds incubated in the dark for 12 hours after far-red/red light irradiation	wild type	Col-0	seed	whole organism	P-G14374-2	P-G14374-1	GSE14374GSM359417 sample	P-G14374-5	GSE14374GSM359417 extract	total_RNA	P-G14374-3	GSE14374GSM359417 LE biotin	biotin	synthetic_RNA	"Col-0, red light, biological rep1"	A-AFFY-2	P-AFFY-6	GSM359417.CEL	GSM359417.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.raw.1.zip	P-G14374-4	E-GEOD-14374-processed-data-1897122685.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14374/E-GEOD-14374.processed.1.zip	wild type	far-red/red light
