Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [strain]	Factor Value [UV-B wavelength]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Ler_305_1	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Landsberg erecta	  	  	  	P-MEXP-9939	P-MEXP-9942	Ler_305_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Ler_305_1	total_RNA	P-MEXP-9944	biotin	10	none	L_Ler_305_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Ler_305_1	A-AFFY-2	P-AFFY-6	Landsberg erecta	305nm cut-off	wild_type	H_Ler_305_1	ba26062003ath1_05_305-Ler_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
Ler_327_1	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Landsberg erecta	  	  	  	P-MEXP-9939	P-MEXP-9942	Ler_327_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Ler_327_1	total_RNA	P-MEXP-9944	biotin	10	none	L_Ler_327_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Ler_327_1	A-AFFY-2	P-AFFY-6	Landsberg erecta	327nm cut-off	wild_type	H_Ler_327_1	ba26062003ath1_01_327-Ler_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
Col_327_2	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	  	  	  	P-MEXP-9939	P-MEXP-9942	Col_327_2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Col_327_2	total_RNA	P-MEXP-9944	biotin	10	none	L_Col_327_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col_327_2	A-AFFY-2	P-AFFY-6	Columbia	327nm cut-off	wild_type	H_Col_327_2	ba26062003ath1_11_327-Col_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
Col_305_2	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	  	  	  	P-MEXP-9939	P-MEXP-9942	Col_305_2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Col_305_2	total_RNA	P-MEXP-9944	biotin	10	none	L_Col_305_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col_305_2	A-AFFY-2	P-AFFY-6	Columbia	305nm cut-off	wild_type	H_Col_305_2	ba26062003ath1_15_305-Col_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
cop1-4_305_2	7	days	germination	cop1-4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	truncation	  	  	P-MEXP-9939	P-MEXP-9942	cop1-4_305_2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_cop1-4_305_2	total_RNA	P-MEXP-9944	biotin	10	none	L_cop1-4_305_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_cop1-4_305_2	A-AFFY-2	P-AFFY-6	Columbia	305nm cut-off	cop1-4 mutant	H_cop1-4_305_2	ba26062003ath1_16_305-Cop1-4_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
cop1-4_327_2	7	days	germination	cop1-4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	truncation	  	  	P-MEXP-9939	P-MEXP-9942	cop1-4_327_2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_cop1-4_327_2	total_RNA	P-MEXP-9944	biotin	10	none	L_cop1-4_327_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_cop1-4_327_2	A-AFFY-2	P-AFFY-6	Columbia	327nm cut-off	cop1-4 mutant	H_cop1-4_327_2	ba26062003ath1_12_327-Cop1-4_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
Col_327_1	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	  	  	  	P-MEXP-9939	P-MEXP-9942	Col_327_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Col_327_1	total_RNA	P-MEXP-9944	biotin	10	none	L_Col_327_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col_327_1	A-AFFY-2	P-AFFY-6	Columbia	327nm cut-off	wild_type	H_Col_327_1	ba26062003ath1_03_327-Col_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
hy5-1_305_1	7	days	germination	hy5-1 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Landsberg erecta	gene_knock_out	EFO	EFO_0000506	P-MEXP-9939	P-MEXP-9942	hy5-1_305_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_hy5-1_305_1	total_RNA	P-MEXP-9944	biotin	10	none	L_hy5-1_305_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_hy5-1_305_1	A-AFFY-2	P-AFFY-6	Landsberg erecta	305nm cut-off	hy5-1 mutant	H_hy5-1_305_1	ba26062003ath1_06_305-Hy-5_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
hy5-1_327_1	7	days	germination	hy5-1 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Landsberg erecta	gene_knock_out	EFO	EFO_0000506	P-MEXP-9939	P-MEXP-9942	hy5-1_327_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_hy5-1_327_1	total_RNA	P-MEXP-9944	biotin	10	none	L_hy5-1_327_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_hy5-1_327_1	A-AFFY-2	P-AFFY-6	Landsberg erecta	327nm cut-off	hy5-1 mutant	H_hy5-1_327_1	ba26062003ath1_02_327-Hy-5_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
Col_305_1	7	days	germination	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Columbia	  	  	  	P-MEXP-9939	P-MEXP-9942	Col_305_1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_Col_305_1	total_RNA	P-MEXP-9944	biotin	10	none	L_Col_305_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col_305_1	A-AFFY-2	P-AFFY-6	Columbia	305nm cut-off	wild_type	H_Col_305_1	ba26062003ath1_07_305-Col_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-557-processed-data-1343524676.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-557/E-MEXP-557.processed.1.zip
