Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[developmental stage]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]
GSE5617GSM131171	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 4 h darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-3	GSE5617GSM131171 sample	GSE5617GSM131171 extract	total_RNA	GSE5617GSM131171 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-3_1-PL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-3_1-PL_REP1_ATH1	GSM131171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 4 h darkness
GSE5617GSM131186	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 4 h darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-3	GSE5617GSM131186 sample	GSE5617GSM131186 extract	total_RNA	GSE5617GSM131186 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-19_2-PL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-19_2-PL_REP2_ATH1	GSM131186.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 4 h darkness
GSE5617GSM131201	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 4 h darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-3	GSE5617GSM131201 sample	GSE5617GSM131201 extract	total_RNA	GSE5617GSM131201 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-35_3-PL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-35_3-PL_REP3_ATH1	GSM131201.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 4 h darkness
GSE5617GSM131179	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 44 min darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-11	GSE5617GSM131179 sample	GSE5617GSM131179 extract	total_RNA	GSE5617GSM131179 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-11_1-PS_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-11_1-PS_REP1_ATH1	GSM131179.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 44 min darkness
GSE5617GSM131193	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 44 min darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-11	GSE5617GSM131193 sample	GSE5617GSM131193 extract	total_RNA	GSE5617GSM131193 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-27_2-PS_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-27_2-PS_REP2_ATH1	GSM131193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 44 min darkness
GSE5617GSM131209	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 1 min red light --> 44 min darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-11	GSE5617GSM131209 sample	GSE5617GSM131209 extract	total_RNA	GSE5617GSM131209 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-43_3-PS_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-43_3-PS_REP3_ATH1	GSM131209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	1 min red light pulse + 44 min darkness
GSE5617GSM131169	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-1	GSE5617GSM131169 sample	GSE5617GSM131169 extract	total_RNA	GSE5617GSM131169 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-1_1-DL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-1_1-DL_REP1_ATH1	GSM131169.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h complete darkness
GSE5617GSM131199	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-19	GSE5617GSM131199 sample	GSE5617GSM131199 extract	total_RNA	GSE5617GSM131199 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-33_3-DL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-33_3-DL_REP3_ATH1	GSM131199.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h complete darkness
GSE5617GSM131215	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-20	GSE5617GSM131215 sample	GSE5617GSM131215 extract	total_RNA	GSE5617GSM131215 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-17_2-DL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-17_2-DL_REP2_ATH1	GSM131215.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h complete darkness
GSE5617GSM131173	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous blue light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-5	GSE5617GSM131173 sample	GSE5617GSM131173 extract	total_RNA	GSE5617GSM131173 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-5_1-BL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-5_1-BL_REP1_ATH1	GSM131173.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous blue light
GSE5617GSM131188	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous blue light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-5	GSE5617GSM131188 sample	GSE5617GSM131188 extract	total_RNA	GSE5617GSM131188 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-21_2-BL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-21_2-BL_REP2_ATH1	GSM131188.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous blue light
GSE5617GSM131203	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous blue light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-5	GSE5617GSM131203 sample	GSE5617GSM131203 extract	total_RNA	GSE5617GSM131203 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-37_3-BL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-37_3-BL_REP3_ATH1	GSM131203.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous blue light
