Source Name	Characteristics [initial time point]	Characteristics [genetic modification]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
2set LBD16M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	2set LBD16M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_2set LBD16M	genomic_DNA	P-AFFY-2	L_2set LBD16M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_2set LBD16M	A-AFFY-2	P-AFFY-6	H_2set LBD16M	set2LBD16M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	none	  	        
1set LBD16M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	1set LBD16M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_1set LBD16M	genomic_DNA	P-AFFY-2	L_1set LBD16M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_1set LBD16M	A-AFFY-2	P-AFFY-6	H_1set LBD16M	1setLBD16M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	none	  	        
3set LBD16M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	3set LBD16M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_3set LBD16M	genomic_DNA	P-AFFY-2	L_3set LBD16M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_3set LBD16M	A-AFFY-2	P-AFFY-6	H_3set LBD16M	set3LBD16M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	none	  	        
2set LBD16D	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	2set LBD16D	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_2set LBD16D	genomic_DNA	P-AFFY-2	L_2set LBD16D	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_2set LBD16D	A-AFFY-2	P-AFFY-6	H_2set LBD16D	set2LBD16D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	dexamethasone	10	micromolar
3set LBD16D	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	3set LBD16D	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_3set LBD16D	genomic_DNA	P-AFFY-2	L_3set LBD16D	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_3set LBD16D	A-AFFY-2	P-AFFY-6	H_3set LBD16D	set3LBD16D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	dexamethasone	10	micromolar
1set LBD16D	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD16 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	1set LBD16D	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_1set LBD16D	genomic_DNA	P-AFFY-2	L_1set LBD16D	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_1set LBD16D	A-AFFY-2	P-AFFY-6	H_1set LBD16D	1setLBD16D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD16 over-expression	dexamethasone	10	micromolar
3set LBD18M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD18 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	3set LBD18M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_3set LBD18M	genomic_DNA	P-AFFY-2	L_3set LBD18M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_3set LBD18M	A-AFFY-2	P-AFFY-6	H_3set LBD18M	set3LBD18M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD18 over-expression	none	  	        
1set LBD18M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD18 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	1set LBD18M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_1set LBD18M	genomic_DNA	P-AFFY-2	L_1set LBD18M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_1set LBD18M	A-AFFY-2	P-AFFY-6	H_1set LBD18M	1setLBD18M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD18 over-expression	none	  	        
2set LBD18M	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD18 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	2set LBD18M	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_2set LBD18M	genomic_DNA	P-AFFY-2	L_2set LBD18M	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_2set LBD18M	A-AFFY-2	P-AFFY-6	H_2set LBD18M	set2LBD18M.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD18 over-expression	none	  	        
1set LBD18D	germination	induced_mutation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	LBD18 over-expression	seedling	EFO	EFO_0001992	whole organism	P-MEXP-122157	P-MEXP-122156	1set LBD18D	P-MEXP-122159	genomic DNA	none	P-MEXP-122158	E_1set LBD18D	genomic_DNA	P-AFFY-2	L_1set LBD18D	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-FS450_0004[]	H_1set LBD18D	A-AFFY-2	P-AFFY-6	H_1set LBD18D	1setLBD18D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1400-processed-data-1576678445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1400/E-MEXP-1400.processed.1.zip	LBD18 over-expression	dexamethasone	10	micromolar
