Source Name	Material Type	Characteristics [Organism]	Description	Comment[Sample_source_name]	Characteristics[OrganismPart]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM]
GSE13641GSM343416	whole_organism	Rorippa amphibia	R. amphibia, air, roots, gene expression data from roots of air controls of R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, air, roots	root	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343416 sample	organism_part	P-G13641-5	GSE13641GSM343416 extract	total_RNA	P-G13641-3	GSE13641GSM343416 LE biotin	synthetic_RNA	biotin	R. amphibia, air, rep1	A-AFFY-2	GSM343416	GSM343416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343416 Norm	GSM343416_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia
GSE13641GSM343417	whole_organism	Rorippa amphibia	R. amphibia, air, roots, gene expression data from roots of air controls of R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: clonal plants derived from a r. amphibia rhizome collected along the yssel river near doesburg, the netherlands (n: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, air, roots	root	clonal plant origin: clonal plants derived from a r. amphibia rhizome collected along the yssel river near doesburg, the netherlands (n: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343417 sample	organism_part	P-G13641-5	GSE13641GSM343417 extract	total_RNA	P-G13641-3	GSE13641GSM343417 LE biotin	synthetic_RNA	biotin	R. amphibia, air, rep2	A-AFFY-2	GSM343417	GSM343417.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343417 Norm	GSM343417_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia
GSE13641GSM343418	whole_organism	Rorippa amphibia	R. amphibia, air, roots, gene expression data from roots of air controls of R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, air, roots	root	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343418 sample	organism_part	P-G13641-5	GSE13641GSM343418 extract	total_RNA	P-G13641-3	GSE13641GSM343418 LE biotin	synthetic_RNA	biotin	R. amphibia, air, rep3	A-AFFY-2	GSM343418	GSM343418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343418 Norm	GSM343418_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia
GSE13641GSM343419	whole_organism	Rorippa sylvestris	R. sylvestris, air, roots, gene expression data from roots of air controls of R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, air, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343419 sample	organism_part	P-G13641-5	GSE13641GSM343419 extract	total_RNA	P-G13641-3	GSE13641GSM343419 LE biotin	synthetic_RNA	biotin	R. sylvestris, air, rep1	A-AFFY-2	GSM343419	GSM343419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343419 Norm	GSM343419_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa sylvestris
GSE13641GSM343420	whole_organism	Rorippa sylvestris	R. sylvestris, air, roots, gene expression data from roots of air controls of R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, air, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343420 sample	organism_part	P-G13641-5	GSE13641GSM343420 extract	total_RNA	P-G13641-3	GSE13641GSM343420 LE biotin	synthetic_RNA	biotin	R. sylvestris, air, rep2	A-AFFY-2	GSM343420	GSM343420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343420 Norm	GSM343420_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa sylvestris
GSE13641GSM343421	whole_organism	Rorippa sylvestris	R. sylvestris, air, roots, gene expression data from roots of air controls of R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, air, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343421 sample	organism_part	P-G13641-5	GSE13641GSM343421 extract	total_RNA	P-G13641-3	GSE13641GSM343421 LE biotin	synthetic_RNA	biotin	R. sylvestris, air, rep3	A-AFFY-2	GSM343421	GSM343421.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343421 Norm	GSM343421_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa sylvestris
GSE13641GSM343422	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, air, roots, gene expression data from roots of air controls of F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, air, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343422 sample	organism_part	P-G13641-5	GSE13641GSM343422 extract	total_RNA	P-G13641-3	GSE13641GSM343422 LE biotin	synthetic_RNA	biotin	F1 hybrid, air, rep1	A-AFFY-2	GSM343422	GSM343422.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343422 Norm	GSM343422_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343423	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, air, roots, gene expression data from roots of air controls of F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, air, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343423 sample	organism_part	P-G13641-5	GSE13641GSM343423 extract	total_RNA	P-G13641-3	GSE13641GSM343423 LE biotin	synthetic_RNA	biotin	F1 hybrid, air, rep2	A-AFFY-2	GSM343423	GSM343423.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343423 Norm	GSM343423_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343424	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, air, roots, gene expression data from roots of air controls of F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, air, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343424 sample	organism_part	P-G13641-5	GSE13641GSM343424 extract	total_RNA	P-G13641-3	GSE13641GSM343424 LE biotin	synthetic_RNA	biotin	F1 hybrid, air, rep3	A-AFFY-2	GSM343424	GSM343424.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343424 Norm	GSM343424_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	in air	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343425	whole_organism	Rorippa amphibia	R. amphibia, submerged, roots, gene expression data from roots of 24 h submerged R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343425 sample	organism_part	P-G13641-5	GSE13641GSM343425 extract	total_RNA	P-G13641-3	GSE13641GSM343425 LE biotin	synthetic_RNA	biotin	R. amphibia, submerged, rep1	A-AFFY-2	GSM343425	GSM343425.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343425 Norm	GSM343425_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia
