Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[initial time point]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [treatment]
GSM861436 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	PIF5ox low R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861436 extract 1	total RNA	P-GSE35057-5	GSM861436 LE 1	biotin	P-GSE35057-6	GSM861436	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861436_PIF5ox_low_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861436_sample_table.txt norm	GSM861436_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	low red/far-red light ratio
GSM861435 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	PIF5ox low R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861435 extract 1	total RNA	P-GSE35057-5	GSM861435 LE 1	biotin	P-GSE35057-6	GSM861435	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861435_PIF5ox_low_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861435_sample_table.txt norm	GSM861435_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	low red/far-red light ratio
GSM861434 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	PIF5ox low R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861434 extract 1	total RNA	P-GSE35057-5	GSM861434 LE 1	biotin	P-GSE35057-6	GSM861434	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861434_PIF5ox_low_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861434_sample_table.txt norm	GSM861434_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	low red/far-red light ratio
GSM861433 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	PIF5ox high R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861433 extract 1	total RNA	P-GSE35057-5	GSM861433 LE 1	biotin	P-GSE35057-6	GSM861433	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861433_PIF5ox_high_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861433_sample_table.txt norm	GSM861433_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	high red/far-red light ratio
GSM861432 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	PIF5ox high R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861432 extract 1	total RNA	P-GSE35057-5	GSM861432 LE 1	biotin	P-GSE35057-6	GSM861432	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861432_PIF5ox_high_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861432_sample_table.txt norm	GSM861432_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	high red/far-red light ratio
GSM861431 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	PIF5ox high R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	PIF5 overexpressing	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861431 extract 1	total RNA	P-GSE35057-5	GSM861431 LE 1	biotin	P-GSE35057-6	GSM861431	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861431_PIF5ox_high_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861431_sample_table.txt norm	GSM861431_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	PIF5 overexpressing	high red/far-red light ratio
GSM861430 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif5 low R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861430 extract 1	total RNA	P-GSE35057-5	GSM861430 LE 1	biotin	P-GSE35057-6	GSM861430	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861430_pif5_low_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861430_sample_table.txt norm	GSM861430_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	low red/far-red light ratio
GSM861429 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif5 low R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861429 extract 1	total RNA	P-GSE35057-5	GSM861429 LE 1	biotin	P-GSE35057-6	GSM861429	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861429_pif5_low_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861429_sample_table.txt norm	GSM861429_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	low red/far-red light ratio
GSM861428 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif5 low R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861428 extract 1	total RNA	P-GSE35057-5	GSM861428 LE 1	biotin	P-GSE35057-6	GSM861428	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861428_pif5_low_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861428_sample_table.txt norm	GSM861428_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	low red/far-red light ratio
GSM861427 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif5 high R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861427 extract 1	total RNA	P-GSE35057-5	GSM861427 LE 1	biotin	P-GSE35057-6	GSM861427	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861427_pif5_high_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861427_sample_table.txt norm	GSM861427_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	high red/far-red light ratio
